qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,spa-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:858:1:1,1,1603:45:16:858:0,1603:45:16:858:1:1,Artigas,UY01,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:2,2,1603:45:16:858:0,1603:45:16:858:1:2,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:3,3,1603:45:16:858:0,1603:45:16:858:1:3,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:4,4,1603:45:16:858:0,1603:45:16:858:1:4,Colonia,UY04,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:5,5,1603:45:16:858:0,1603:45:16:858:1:5,Durazno,UY05,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:6,6,1603:45:16:858:0,1603:45:16:858:1:6,Flores,UY06,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:7,7,1603:45:16:858:0,1603:45:16:858:1:7,Florida,UY07,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:8,8,1603:45:16:858:0,1603:45:16:858:1:8,Lavalleja,UY08,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:9,9,1603:45:16:858:0,1603:45:16:858:1:9,Maldonado,UY09,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:10,10,1603:45:16:858:0,1603:45:16:858:1:10,Montevideo,UY10,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:11,11,1603:45:16:858:0,1603:45:16:858:1:11,Paysandú,UY11,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:12,12,1603:45:16:858:0,1603:45:16:858:1:12,Río Negro,UY12,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:13,13,1603:45:16:858:0,1603:45:16:858:1:13,Rivera,UY13,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:14,14,1603:45:16:858:0,1603:45:16:858:1:14,Rocha,UY14,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:15,15,1603:45:16:858:0,1603:45:16:858:1:15,Salto,UY15,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:16,16,1603:45:16:858:0,1603:45:16:858:1:16,San José,UY16,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:17,17,1603:45:16:858:0,1603:45:16:858:1:17,Soriano,UY17,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:18,18,1603:45:16:858:0,1603:45:16:858:1:18,Tacuarembó,UY18,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:19,19,1603:45:16:858:0,1603:45:16:858:1:19,Treinta y Tres,UY19,Uraguay,UY,2017-10-11,2020-07-27,
