#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_spa+is_latn,#adm1+name+alt2+i_spa+is_latn,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:858:1:1,1,Artigas,UY01,,,,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:2,2,Canelones,UY02,,,,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:3,3,Cerro Largo,UY03,,,,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:4,4,Colonia,UY04,,,,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:5,5,Durazno,UY05,,,,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:6,6,Flores,UY06,,,,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:7,7,Florida,UY07,,,,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:8,8,Lavalleja,UY08,,,,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:9,9,Maldonado,UY09,,,,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:10,10,Montevideo,UY10,,,,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:11,11,Paysandú,UY11,,,,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:12,12,Río Negro,UY12,,,,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:13,13,Rivera,UY13,,,,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:14,14,Rocha,UY14,,,,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:15,15,Salto,UY15,,,,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:16,16,San José,UY16,,,,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:17,17,Soriano,UY17,,,,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:18,18,Tacuarembó,UY18,,,,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:1:19,19,Treinta y Tres,UY19,,,,Uraguay,UY,2017-10-11,2020-07-27,
