#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_tha+is_thai+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_tha+is_thai+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_tha+is_thai+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_tha+is_thai+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:764:1:37,37,1603:45:16:764:0,1603:45:16:764:1:37,Amnat Charoen,อำนาจเจริญ,TH37,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:38,38,1603:45:16:764:0,1603:45:16:764:1:38,Bueng Kan,บึงกาฬ,TH38,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:39,39,1603:45:16:764:0,1603:45:16:764:1:39,Nong Bua Lam Phu,หนองบัวลำภู,TH39,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:40,40,1603:45:16:764:0,1603:45:16:764:1:40,Khon Kaen,ขอนแก่น,TH40,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:41,41,1603:45:16:764:0,1603:45:16:764:1:41,Udon Thani,อุดรธานี,TH41,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:42,42,1603:45:16:764:0,1603:45:16:764:1:42,Loei,เลย,TH42,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:43,43,1603:45:16:764:0,1603:45:16:764:1:43,Nong Khai,หนองคาย,TH43,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:44,44,1603:45:16:764:0,1603:45:16:764:1:44,Maha Sarakham,มหาสารคาม,TH44,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:45,45,1603:45:16:764:0,1603:45:16:764:1:45,Roi Et,ร้อยเอ็ด,TH45,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:46,46,1603:45:16:764:0,1603:45:16:764:1:46,Kalasin,กาฬสินธุ์,TH46,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:47,47,1603:45:16:764:0,1603:45:16:764:1:47,Sakon Nakhon,สกลนคร,TH47,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:48,48,1603:45:16:764:0,1603:45:16:764:1:48,Nakhon Phanom,นครพนม,TH48,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:49,49,1603:45:16:764:0,1603:45:16:764:1:49,Mukdahan,มุกดาหาร,TH49,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:50,50,1603:45:16:764:0,1603:45:16:764:1:50,Chiang Mai,เชียงใหม่,TH50,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:51,51,1603:45:16:764:0,1603:45:16:764:1:51,Lamphun,ลำพูน,TH51,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:52,52,1603:45:16:764:0,1603:45:16:764:1:52,Lampang,ลำปาง,TH52,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:53,53,1603:45:16:764:0,1603:45:16:764:1:53,Uttaradit,อุตรดิตถ์,TH53,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:54,54,1603:45:16:764:0,1603:45:16:764:1:54,Phrae,แพร่,TH54,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:55,55,1603:45:16:764:0,1603:45:16:764:1:55,Nan,น่าน,TH55,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:56,56,1603:45:16:764:0,1603:45:16:764:1:56,Phayao,พะเยา,TH56,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:57,57,1603:45:16:764:0,1603:45:16:764:1:57,Chiang Rai,เชียงราย,TH57,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:58,58,1603:45:16:764:0,1603:45:16:764:1:58,Mae Hong Son,แม่ฮ่องสอน,TH58,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:60,60,1603:45:16:764:0,1603:45:16:764:1:60,Nakhon Sawan,นครสวรรค์,TH60,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:61,61,1603:45:16:764:0,1603:45:16:764:1:61,Uthai Thani,อุทัยธานี,TH61,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
