#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_eng+is_latn,#adm1+name+i_tha+is_thai,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_tha+is_thai,#adm1+name+alt2+i_tha+is_thai,#country+name+i_eng+is_latn,#country+name+i_tha+is_thai,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:764:1:10,10,Bangkok,กรุงเทพมหานคร,TH10,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:11,11,Samut Prakan,สมุทรปราการ,TH11,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:12,12,Nonthaburi,นนทบุรี,TH12,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:13,13,Pathum Thani,ปทุมธานี,TH13,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:14,14,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:15,15,Ang Thong,อ่างทอง,TH15,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:16,16,Lop Buri,ลพบุรี,TH16,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:17,17,Sing Buri,สิงห์บุรี,TH17,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:18,18,Chai Nat,ชัยนาท,TH18,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:19,19,Saraburi,สระบุรี,TH19,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:20,20,Chon Buri,ชลบุรี,TH20,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:21,21,Rayong,ระยอง,TH21,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:22,22,Chanthaburi,จันทบุรี,TH22,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:23,23,Trat,ตราด,TH23,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:24,24,Chachoengsao,ฉะเชิงเทรา,TH24,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:25,25,Prachin Buri,ปราจีนบุรี,TH25,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:26,26,Nakhon Nayok,นครนายก,TH26,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:27,27,Sa Kaeo,สระแก้ว,TH27,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:30,30,Nakhon Ratchasima,นครราชสีมา,TH30,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:31,31,Buri Ram,บุรีรัมย์,TH31,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:32,32,Surin,สุรินทร์,TH32,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:33,33,Si Sa Ket,ศรีสะเกษ,TH33,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
