#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:254:2:1301,1301,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1301,Régina,GF1301,Regina,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1302,1302,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1302,Cayenne,GF1302,Cayenne,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1303,1303,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1303,Iracoubo,GF1303,Iracoubo,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1304,1304,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1304,Kourou,GF1304,Kourou,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1305,1305,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1305,Macouria,GF1305,Macouria,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1307,1307,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1307,Matoury,GF1307,Matoury,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1308,1308,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1308,Saint-Georges,GF1308,Saint-Georges,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1309,1309,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1309,Remire-Montjoly,GF1309,Remire-Montjoly,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1310,1310,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1310,Roura,GF1310,Roura,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1312,1312,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1312,Sinnamary,GF1312,Sinnamary,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1313,1313,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1313,Montsinéry-Tonnegrande,GF1313,Montsinery-Tonnegrande,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1314,1314,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1314,Ouanary,GF1314,Ouanary,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
