qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,fra-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:254:2:1301,1301,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1301,Régina,GF1301,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1302,1302,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1302,Cayenne,GF1302,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1303,1303,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1303,Iracoubo,GF1303,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1304,1304,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1304,Kourou,GF1304,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1305,1305,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1305,Macouria,GF1305,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1307,1307,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1307,Matoury,GF1307,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1308,1308,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1308,Saint-Georges,GF1308,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1309,1309,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1309,Remire-Montjoly,GF1309,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1310,1310,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1310,Roura,GF1310,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1312,1312,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1312,Sinnamary,GF1312,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1313,1313,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1313,Montsinéry-Tonnegrande,GF1313,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1314,1314,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1314,Ouanary,GF1314,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1356,1356,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1356,Camopi,GF1356,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1358,1358,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1358,Saint-Élie,GF1358,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:2306,2306,1603:45:16:254:0,1603:45:16:254:1:2,1603:45:16:254:2:2306,Mana,GF2306,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:2311,2311,1603:45:16:254:0,1603:45:16:254:1:2,1603:45:16:254:2:2311,Saint-Laurent-du-Maroni,GF2311,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:2352,2352,1603:45:16:254:0,1603:45:16:254:1:2,1603:45:16:254:2:2352,Saül,GF2352,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:2353,2353,1603:45:16:254:0,1603:45:16:254:1:2,1603:45:16:254:2:2353,Maripasoula,GF2353,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:2357,2357,1603:45:16:254:0,1603:45:16:254:1:2,1603:45:16:254:2:2357,Grand-Santi,GF2357,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:2360,2360,1603:45:16:254:0,1603:45:16:254:1:2,1603:45:16:254:2:2360,Apatou,GF2360,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:2361,2361,1603:45:16:254:0,1603:45:16:254:1:2,1603:45:16:254:2:2361,Awala-Yalimapo,GF2361,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:2362,2362,1603:45:16:254:0,1603:45:16:254:1:2,1603:45:16:254:2:2362,Papaïchton,GF2362,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
