#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:504:2:2009,2009,1603:45:16:504:0,1603:45:16:504:1:2,1603:45:16:504:2:2009,Settat Province, ,MA002009,,,,,,Casablanca Settat,الدار البيضاء - سطات,MA002,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:3001,3001,1603:45:16:504:0,1603:45:16:504:1:3,1603:45:16:504:2:3001,Ouarzazate Province, ,MA003001,,,,,,Draa Tafilalet,درعة - تافيلالت,MA003,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:3002,3002,1603:45:16:504:0,1603:45:16:504:1:3,1603:45:16:504:2:3002,Province d Errachidia, ,MA003002,,,,,,Draa Tafilalet,درعة - تافيلالت,MA003,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:3003,3003,1603:45:16:504:0,1603:45:16:504:1:3,1603:45:16:504:2:3003,Province de Midelt, ,MA003003,,,,,,Draa Tafilalet,درعة - تافيلالت,MA003,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:3004,3004,1603:45:16:504:0,1603:45:16:504:1:3,1603:45:16:504:2:3004,Province de Tinghir, ,MA003004,,,,,,Draa Tafilalet,درعة - تافيلالت,MA003,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:3005,3005,1603:45:16:504:0,1603:45:16:504:1:3,1603:45:16:504:2:3005,Zagora Province, ,MA003005,,,,,,Draa Tafilalet,درعة - تافيلالت,MA003,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:4001,4001,1603:45:16:504:0,1603:45:16:504:1:4,1603:45:16:504:2:4001,Prefecture de Fes, ,MA004001,,,,,,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:4002,4002,1603:45:16:504:0,1603:45:16:504:1:4,1603:45:16:504:2:4002,Prefecture de Meknes, ,MA004002,,,,,,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:4003,4003,1603:45:16:504:0,1603:45:16:504:1:4,1603:45:16:504:2:4003,Province d El Hajeb, ,MA004003,,,,,,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:4004,4004,1603:45:16:504:0,1603:45:16:504:1:4,1603:45:16:504:2:4004,Province d Ifrane, ,MA004004,,,,,,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,2020-12-07,2020-12-07,
