qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,spa-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:192:1:1,1,1603:45:16:192:0,1603:45:16:192:1:1,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:2,2,1603:45:16:192:0,1603:45:16:192:1:2,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:3,3,1603:45:16:192:0,1603:45:16:192:1:3,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:4,4,1603:45:16:192:0,1603:45:16:192:1:4,Cienfuegos,CU04,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:5,5,1603:45:16:192:0,1603:45:16:192:1:5,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:6,6,1603:45:16:192:0,1603:45:16:192:1:6,Guantánamo,CU06,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:7,7,1603:45:16:192:0,1603:45:16:192:1:7,Holguín,CU07,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:8,8,1603:45:16:192:0,1603:45:16:192:1:8,Isla de la Juventud,CU08,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:9,9,1603:45:16:192:0,1603:45:16:192:1:9,La Habana,CU09,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:10,10,1603:45:16:192:0,1603:45:16:192:1:10,Las Tunas,CU10,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:11,11,1603:45:16:192:0,1603:45:16:192:1:11,Matanzas,CU11,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:12,12,1603:45:16:192:0,1603:45:16:192:1:12,Mayabeque,CU12,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:13,13,1603:45:16:192:0,1603:45:16:192:1:13,Pinar del Río,CU13,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:14,14,1603:45:16:192:0,1603:45:16:192:1:14,Sancti Spíritus,CU14,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:15,15,1603:45:16:192:0,1603:45:16:192:1:15,Santiago de Cuba,CU15,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:1:16,16,1603:45:16:192:0,1603:45:16:192:1:16,Villa Clara,CU16,Cuba,CU,2017-09-07,2020-11-18,
