#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:68:1:1,1,1603:45:16:68:0,1603:45:16:68:1:1,Chuquisaca,BO01,,,,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:1:2,2,1603:45:16:68:0,1603:45:16:68:1:2,La Paz,BO02,,,,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:1:3,3,1603:45:16:68:0,1603:45:16:68:1:3,Cochabamba,BO03,,,,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:1:4,4,1603:45:16:68:0,1603:45:16:68:1:4,Oruro,BO04,,,,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:1:5,5,1603:45:16:68:0,1603:45:16:68:1:5,Potosí,BO05,Potosi,,,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:1:6,6,1603:45:16:68:0,1603:45:16:68:1:6,Tarija,BO06,,,,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:1:7,7,1603:45:16:68:0,1603:45:16:68:1:7,Santa Cruz,BO07,,,,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:1:8,8,1603:45:16:68:0,1603:45:16:68:1:8,Beni,BO08,,,,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:1:9,9,1603:45:16:68:0,1603:45:16:68:1:9,Pando,BO09,,,,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
