#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_hxlix,#item+rem+i_qcc+is_zxxx+ix_codexfacto,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_ara+is_arab,#item+rem+i_hye+is_armn,#item+rem+i_ben+is_beng,#item+rem+i_rus+is_cyrl,#item+rem+i_hin+is_deva,#item+rem+i_grc+is_grek,#item+rem+i_kan+is_knda,#item+rem+i_kor+is_hang,#item+rem+i_lzh+is_hant,#item+rem+i_heb+is_hebr,#item+rem+i_lat+is_latn,#item+rem+i_tam+is_taml,#item+rem+i_tel+is_telu,#item+rem+i_tha+is_thai,#item+rem+i_san+is_zzzz,#item+rem+i_zho+is_zzzz,#item+rem+i_por+is_latn,#item+rem+i_eng+is_latn,#item+rem+i_fra+is_latn,#item+rem+i_nld+is_latn,#item+rem+i_deu+is_latn,#item+rem+i_spa+is_latn,#item+rem+i_ita+is_latn,#item+rem+i_gle+is_latn,#item+rem+i_swe+is_latn,#item+rem+i_ceb+is_latn,#item+rem+i_sqi+is_latn,#item+rem+i_pol+is_latn,#item+rem+i_fin+is_latn,#item+rem+i_ron+is_latn,#item+rem+i_vie+is_latn,#item+rem+i_cat+is_latn,#item+rem+i_ukr+is_cyrl,#item+rem+i_bul+is_cyrl,#item+rem+i_slv+is_latn,#item+rem+i_war+is_latn,#item+rem+i_nob+is_latn,#item+rem+i_ces+is_latn,#item+rem+i_dan+is_latn,#item+rem+i_jpn+is_jpan,#item+rem+i_nno+is_latn,#item+rem+i_mal+is_mlym,#item+rem+i_ind+is_latn,#item+rem+i_fas+is_zzzz,#item+rem+i_hun+is_latn,#item+rem+i_eus+is_latn,#item+rem+i_cym+is_latn,#item+rem+i_glg+is_latn,#item+rem+i_slk+is_latn,#item+rem+i_epo+is_latn,#item+rem+i_msa+is_zzzz,#item+rem+i_est+is_latn,#item+rem+i_hrv+is_latn,#item+rem+i_tur+is_latn,#item+rem+i_nds+is_latn,#item+rem+i_oci+is_latn,#item+rem+i_zho+is_hans,#item+rem+i_bre+is_latn,#item+rem+i_arz+is_latn,#item+rem+i_afr+is_latn,#item+rem+i_ltz+is_latn,#item+rem+i_sco+is_latn,#item+rem+i_bar+is_latn,#item+rem+i_arg+is_latn,#item+rem+i_zho+is_hant,#item+rem+i_pap+is_latn,#item+rem+i_cos+is_latn,#item+rem+i_gsw+is_latn,#item+rem+i_isl+is_latn,#item+rem+i_min+is_latn,#item+rem+i_roh+is_latn,#item+rem+i_vec+is_latn,#item+rem+i_pms+is_latn,#item+rem+i_scn+is_latn,#item+rem+i_srd+is_latn,#item+rem+i_gla+is_latn,#item+rem+i_lim+is_latn,#item+rem+i_wln+is_latn,#item+rem+i_srp+is_latn,#item+rem+i_vls+is_latn,#item+rem+i_nap+is_latn,#item+rem+i_lij+is_latn,#item+rem+i_fur+is_latn,#item+rem+i_pcd+is_latn,#item+rem+i_wol+is_latn,#item+rem+i_kon+is_latn,#item+rem+i_frp+is_latn,#item+rem+i_wuu+is_zyyy,#item+rem+i_srp+is_cyrl,#item+rem+i_urd+is_arab,#item+rem+i_gan+is_zyyy,#item+rem+i_lit+is_latn,#item+rem+i_gan+is_hans,#item+rem+i_hbs+is_latn,#item+rem+i_lav+is_latn,#item+rem+i_bos+is_latn,#item+rem+i_srn+is_latn,#item+rem+i_azb+is_arab,#item+rem+i_jav+is_latn,#item+rem+i_ell+is_grek,#item+rem+i_sun+is_latn,#item+rem+i_fry+is_latn,#item+rem+i_ace+is_latn,#item+rem+i_jam+is_latn,#item+rem+i_che+is_cyrl,#item+rem+i_bel+is_cyrl,#item+rem+i_kab+is_latn,#item+rem+i_fao+is_latn,#item+rem+i_vmf+is_latn,#item+rem+i_bam+is_zzzz,#item+rem+i_frc+is_latn,#item+rem+i_prg+is_latn,#item+rem+i_lmo+is_latn,#item+rem+i_mar+is_deva,#item+rem+i_vol+is_latn,#item+rem+i_ina+is_latn,#item+rem+i_ile+is_latn,#item+rem+i_zul+is_latn,#item+rem+i_mul+is_zxxx,#item+rem+i_und+is_zxxx,#item+rem+i_zxx+is_zxxx
1603:64:604:0:1603:1:7:2616:50,0_1603_1_7_2616_50,,,,,,EticaAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:64:604:0:1603:1:7:2616:123,0_1603_1_7_2616_123,,,,,,EticaAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:64:604:0:1603:1:7:2616:2479,0_1603_1_7_2616_2479,,,,,,CC0-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:64:604:0:1603:1:7:2616:577,0_1603_1_7_2616_577,,,,,,2022-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:64:604:0:1603:1:7:2616:7535,0_1603_1_7_2616_7535,,,,,,"The decision making behind these dictionaries are general terminology related to water and improving human health through cleanliness.\n\nIn English, in the humanitarian sector the typical term used is WaSH: Water, Sanitation and Hygiene. The Latin term we use is not a direct literal translation from the English term, but the idea behind the concept. Add to this that /sanitation/@lat-Latn is somewhat redundant with /hygiene/@fra-Latn, which would generate a nonsensical Latin term in this context.\n\nAnother relevant topic which these dictionaries would contain terminology is the Sustainable Development Goal 6 (SDG 6 or Global Goal 6) about _clean water and sanitation for all_ (which is a concept much newer than the idea of WaSH on humanitarian sector). In English _hygiene_ is mentioned, but not as part of title or short descriptions.\n\n**How complete are these dictionaries?**\nThe concepts here are incomplete and the current state is more focused on available translations we can compile. The ideal would be to prepare the definitions and start to add them on Wikipedia, which in turn would allow us to start having very well defined QIDs to scale translations.\n\n**Know issues**\nAs 2022-04-19 the concept Q5893646 is an example of generating wrong translations. /Bucket toilet/@eng-Latn is linked to /Goldeimer/@deu-Latn (use of human excrementa exchanged for money). Ideally **before** asking for translation Initiatives we should review /Bucket toilet/@eng-Latn for a term easier to translate, not just create literal translations for other languages.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:64:604:1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:64:604:1:283,1_283,,,Q283,/water/,,,Q283,ماء,ջուր,পানি,вода,जल,,ನೀರು,물,水,מים,aqua,நீர்,నీరు,น้ำ,जलम्,水,água,water,eau,water,Wasser,agua,acqua,uisce,vatten,tubig,uji,woda,vesi,apă,nước,aigua,вода,вода,voda,tubig,vann,voda,vand,水,vatn,ജലം,air,آب,víz,ura,dŵr,auga,voda,akvo,air,vesi,voda,su,Water,aiga,,dour,ميه,water,Waasser,watter,Wossa,augua,水,awa,acqua,Wasser,vatn,aia,,àcua,eva,acqua,aba,uisge,water,,,woater,acqua,ægoa,aghe,Ieu,ndox,maza,,水,вода,پانی,水,vanduo,,voda,ūdens,voda,,سو,banyu,νερό,cai,wetter,ie,waata,хи,вада,aman,vatn,,Ji,,,aqua,पाणी,vat,aqua,aqua,amanzi,,,
1603:64:604:1:7892,1_7892,,,Q7892,/drinking water/,,,Q7892,ماء الشرب,Խմելու ջուր,পানীয় জল,питьевая вода,पीने का पानी,,ಕುಡಿಯುವ ನೀರು,식수,,מי שתייה,,குடி நீர்,తాగునీరు,น้ำดื่ม,,饮用水,água potável,drinking water,eau potable,drinkwater,Trinkwasser,agua potable,acqua potabile,,dricksvatten,,Uji i Pijshëm,woda pitna,juomavesi,Apă potabilă,nước uống,aigua potable,питна вода,Питейна вода,Pitna voda,Irimnon nga tubig,drikkevann,pitná voda,drikkevand,飲料水,drikkevatn,കുടിവെള്ളം,air minum,آب آشامیدنی,ivóvíz,Edateko ur,,auga potable,Pitná voda,trinkakvo,air minuman,joogivesi,Pitka voda,İçme suyu,Drinkwater,Aiga potabla,,,,Drinkwater,Drénkwaasser,,,,,,,,Neysluvatn,,,,,acqua pi bìviri,Aba potàbile,,,,,,,,,,,,,饮用水,пијаћа вода,,白開水,,,pitka voda,dzeramais ūdens,Vodovod,,,,Πόσιμο νερό,,,,Jingkin waata,молу хи,піццёвая вада,,,,,,,,पिण्याचे पाणी,,,,,,,
1603:64:604:1:15324,1_15324,,,Q15324,/body of water/,,,Q15324,مسطح مائي,ջրային օբյեկտ,,водный объект,जल निकाय,,,수역,,גוף מים,Corpus aquae,நீர்நிலைகள்,నీటి రాశి,แหล่งน้ำ,,水體,corpo de água,body of water,étendue d'eau,waterlichaam,Gewässer,cuerpo de agua,massa d'acqua,limistéar uisce,vattensamling,,trup ujor,akwen,vesimuodostuma,întindere de apă,vùng nước,cos d'aigua,водний об'єкт,Воден басейн,Vodno telo,,vannmasse,vodstvo,vandområde,水域,vassførekomst,ജലാശയം,perairan,بدنه آبی,felszíni víz,ur gorputza,corff o ddŵr,corpo de auga,,akvejo,jasad air,veekogu,vodena površina,su kütlesi,,espandida d'aiga,,Ledennad dour,مسطح مائى,,Gewässer,body o watter,,,水體,,,Gewässer,Vatnshlot,,,corpo de àcua,,corpu ìdricu,,,,Aiwe,vodena površina,,,,,,,,ètendua d’égoua,水体,водена површина,جسم آب,,Vandens telkinys,,vodena masa,ūdenstilpe,,,,,υδάτινο σώμα,,,,,,водны аб’ект,,,,,,,,जलसाठा,,,,,,,
1603:64:604:1:81041,1_81041,,,Q81041,/earth water cycle/,,,Q81041,دورة الماء,Ջրի շրջապտույտը բնության մեջ,পানিচক্র,Круговорот воды в природе,जल चक्र,,ಜಲ ಚಕ್ರ,물의 순환,,מחזור המים,Circulus aquae,நீர் சுழற்சி,జలచక్రం,วัฏจักรของน้ำ,,水循环,ciclo hidrológico,Earth water cycle,cycle de l'eau,waterkringloop,Wasserkreislauf,ciclo hidrológico,ciclo dell'acqua,,vattnets kretslopp,,Cikli i Ujit,cykl hydrologiczny,Veden kiertokulku,Circuitul apei în natură,Vòng tuần hoàn nước,cicle hidrològic,кругообіг води,Кръговрат на водата,Kroženje vode,,vannets kretsløp,koloběh vody,Vandets kredsløb,水循環,Vasskrinslaupet,ജലചംക്രമണം,Siklus air,چرخه آب,Vízkörforgás,Uraren zikloa,cylchred ddŵr y Ddaear,Ciclo hidrolóxico,Kolobeh vody,akva ciklo,Kitaran air,veeringe,Hidrološki ciklus,Su döngüsü,,Cicle de l'aiga,,Kelc'hiad an dour,,Waterkringloop,,watter cycle,,Ciclo hidrolochico,,,,,Hringrás vatns,,,,,,,,Waterkringloup,,,,,,,,,,,水循环,хидролошки циклус,آبی چکر,,Hidrologinis ciklas,,Hidrološki ciklus,Ūdens cikls,hidrološki ciklus,,سو دؤورانی,,κύκλος του νερού,Daur cai,,,,,Кругазварот вады,,,,,,,Ciclo de l'acqua,जलचक्र,,,,,,,
1603:64:604:1:102192,1_102192,,,Q102192,/fresh water/,,,Q102192,ماء عذب,,স্বাদু পানি,пресная вода,मीठा जल,,,민물,,מים מתוקים,Aqua dulcis,நன்னீர்,,น้ำจืด,,淡水,água doce,fresh water,eau douce,zoet water,Süßwasser,agua dulce,acqua dolce,Fionnuisce,sötvatten,,,Woda słodka,Makea vesi,Apă dulce,nước ngọt,aigua dolça,прісна вода,Прясна вода,,Tab-áng,ferskvann,sladká voda,Ferskvand,淡水,ferskvatn,,air tawar,آب شیرین,édesvíz,Ur geza,,Auga doce,sladká voda,nesala akvo,Air tawar,Magevesi,Slatka voda,tatlı su,Söötwater,Aiga doça,,,,Varswater,Séisswaasser,Fresh watter,,,淡水,,,,Ferskvatn,,,àcua dolse,,,,fìor-uisge,,,,,,,,,,,,淡水,Свјежа вода,,,,,Slatka voda,Saldūdens,Slatka voda,,,Banyu tawa,,Cai tawar,Swietwetter,,,,Прэсная вада,,,,,,,,,,,,,,,
1603:64:604:1:183129,1_183129,,,Q183129,/water pollution/,,,Q183129,تلوث المياه,Ջրի աղտոտում,পানি দূষণ,загрязнение пресных вод,जल प्रदूषण,,ಜಲ ಮಾಲಿನ್ಯ,수질 오염,,זיהום מים,,நீர் மாசுபாடு,నీటి కాలుష్యం,มลพิษทางน้ำ,जलमालिन्यम्,水污染,poluição da água,water pollution,pollution de l'eau,watervervuiling,Gewässerverschmutzung,contaminación hídrica,inquinamento idrico,,vattenförorening,,Ndotja e ujit,zanieczyszczenia wody,Vesien saastuminen,Poluarea apei,ô nhiễm nước,contaminació de l'aigua,Забруднення прісних вод,замърсяване на водите,Onesnaženje voda,,vannforurensning,znečištění vody,Vandforurening,水質汚染,vassureining,river pollution,pencemaran air,آلودگی آب,Vízszennyezés,Uraren kutsadura,,Contaminación do medio hídrico,,akvopoluado,Pencemaran air in tamil,Veereostus,,su kirliliği,,,,,,Waterbesoedeling,,,,,水污染,,,,,,,,,,,,,Mannixhance di l' aiwe,,,,,,,,,,水污染,загађење воде,,,,,Zagađenje vode,Ūdens piesārņojums,,,,,Ρύπανση των υδάτων,,,,,,,,,,,,,,जल प्रदूषण,,,,,,,
1603:64:604:1:336191,1_336191,,,Q336191,/wastewater/,,,Q336191,مياه صرف,Կեղտաջրեր,,сточные воды,अपजल,,ತ್ಯಾಜ್ಯ ನೀರು,폐수,,שפכים,,கழிவு நீர்,,น้ำเสีย,,污水,águas residuais,wastewater,eaux usées,afvalwater,Abwasser,aguas residuales,acque reflue,,avloppsvatten,,,ścieki,jätevesi,Ape uzate,Nước thải,aigües residuals,Стічні води,Отходни води,Odpadne vode,,avløpsvann,odpadní voda,spildevand,廃水,avløpsvatn,,air limbah,پساب,Szennyvíz,Ur zikin,,Augas residuais,odpadová voda,uzita akvo,Air kumbahan,reovesi,,,,Aigassas,,,,,Ofwaasser,,Obwossa,,,,,,,,,,,,Abas residuales,,,,,,,,,,,,,,oтпадне воде,,,Nuotekos,,Otpadne vode,,Otpadna voda,,,,,,Offalwetter,,,,Сцёкавыя воды,,,,,,,,,,,,,,,
1603:64:604:1:506004,1_506004,,,Q506004,/tap water/,,,Q506004,ماء الصنبور,,টেপ,водопроводная вода,,,,상수도,,מי ברז,,குழாய் நீர்,,น้ำประปา,,自来水,água encanada,tap water,eau du robinet,leidingwater,Leitungswasser,agua de tubería,,Uisce buacaire,kranvatten,,,,vesijohtovesi,,Nước máy,aigua corrent,Водопровідна вода,,,,kranvann,,Postevand,水道水,springvatn,,Air keran,آب شیر,,Txorrotako ur,Aweddwr,,,entuba akvo,,kraanivesi,,Musluk suyu,Tappwater,,,,,,,,Ganslwein,,自來水,,,,Kranavatn,,,,,,,,,,,,,,,,,,,自来水,,,,,,,,,,,,,,,,,,,,,,,,,,"information on rainwater comes and stored likes lakes,rivers,etc.",,,,,,,
1603:64:604:1:625376,1_625376,,,Q625376,/water quality/,,,Q625376,جودة المياه,,পানির গুণমান,Качество воды,,,,수질,,,,நீர்த் தரம்,,,,水質,qualidade da água,water quality,qualité de l'eau,waterkwaliteit,Gewässergüteklasse,calidad del agua,,,vattenkvalitet,,,klasyfikacja jakości wód,vedenlaatu,Calitatea apei,Chất lượng nước,qualitat de l'aigua,Якість води,,,,vannkvalitet,,vandkvalitet,水質,vasskvalitet,ജലഗുണനിലവാരം,Kualitas air,کیفیت آب,Vízminőség,,,,,akva kvalito,,vee kvaliteet,Kakvoća vode,Su kalitesi,,,,,,,,,,,水質,,,,,,,,,,,,,,,,,,,,,,,,квалитет воде,,,,,Kvaliteta vode,,,,,,Ποιότητα του νερού,,,,,,,,,,,,,,,,,,,,,
1603:64:604:1:1138853,1_1138853,,,Q1138853,/human right to water and sanitation (HRWS)/,,,Q1138853,حق المياه,,,,,,,,,הזכות למים ולהיגיינה,,,,,,人类饮水及卫生设施权力,,Human right to water and sanitation,Droit à l'eau,,Recht auf Zugang zu sauberem Wasser,Derecho al agua y al saneamiento,Diritto all'acqua,,,,,,,,,,,,,,,,,,,,Hak atas air,حق بشری دسترسی به آب و پسابزدایی,,,Yr hawl ddynol i ddŵr a glanweithdra,,,,,,,,,,,,,,,,,,人類飲水及衛生設施權力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,पाण्याचा अधिकार,,,,,,,
