#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_hxlix,#item+rem+i_qcc+is_zxxx+ix_codexfacto
1603:64:604:0:1603:1:7:2616:50,0_1603_1_7_2616_50,,,,,,EticaAI
1603:64:604:0:1603:1:7:2616:123,0_1603_1_7_2616_123,,,,,,EticaAI
1603:64:604:0:1603:1:7:2616:2479,0_1603_1_7_2616_2479,,,,,,CC0-1.0
1603:64:604:0:1603:1:7:2616:577,0_1603_1_7_2616_577,,,,,,2022-04-14
1603:64:604:0:1603:1:7:2616:7535,0_1603_1_7_2616_7535,,,,,,TODO: explain 1603_64_604
1603:64:604:1,1,,,,,,
1603:64:604:1:283,1_283,,,Q283,/water/,,
1603:64:604:1:7892,1_7892,,,Q7892,/drinking water/,,
1603:64:604:1:15324,1_15324,,,Q15324,/body of water/,,
1603:64:604:1:81041,1_81041,,,Q81041,/earth water cycle/,,
1603:64:604:1:102192,1_102192,,,Q102192,/fresh water/,,
1603:64:604:1:183129,1_183129,,,Q183129,/water pollution/,,
1603:64:604:1:336191,1_336191,,,Q336191,/wastewater/,,
1603:64:604:1:506004,1_506004,,,Q506004,/tap water/,,
1603:64:604:1:625376,1_625376,,,Q625376,/water quality/,,
1603:64:604:1:1138853,1_1138853,,,Q1138853,/human right to water and sanitation (HRWS)/,,
1603:64:604:1:1463025,1_1463025,,,Q1463025,/water purification/,,
1603:64:604:1:5376358,1_5376358,,,Q5376358,/water scarcity/,,
1603:64:604:1:6269285,1_6269285,,,Q6269285,/Joint Monitoring Programme for Water Supply and Sanitation/,,
1603:64:604:1:20127660,1_20127660,,,Q20127660,/wastewater treatment/,,
1603:64:604:1:48741129,1_48741129,,,Q48741129,/Sustainable Development Goal 6 - clean water and sanitation for all/,,
1603:64:604:3491872,3491872,,,Q3491872,/Improved water source/,,
1603:64:604:3491872:1049049,3491872_1049049,,,Q1049049,/Bottled water/,,
1603:64:604:3491872:2137507,3491872_2137507,,,Q2137507,/rainwater harvesting/,,
1603:64:604:6007834,6007834,,,Q6007834,/Improved sanitation/,,
1603:64:604:6007834:268534,6007834_268534,,,Q268534,/Flush toilet/,,
1603:64:604:6007834:30894822,6007834_30894822,,,Q30894822,/Ventilated improved pit latrine/,,
1603:64:604:6007834:178496,6007834_178496,,,Q178496,/Composting toilet/,,
1603:64:604:7649692,7649692,,,Q7649692,/Sustainable sanitation/,,
1603:64:604:9999999,9999999,,,,//unimproved sanitation//,,
1603:64:604:9999999:5893646,9999999_5893646,,,Q5893646,/Bucket toilet/ (@TODO: disambiguate QID from Honey bucket),,
1603:64:604:9999999:3530438,9999999_3530438,,,Q3530438,/Flying toilet/,,
1603:64:604:9999999:17072861,9999999_17072861,,,Q17072861,/Open defecation/,,
