#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:450:1:11,11,1603:45:16:450:0,1603:45:16:450:1:11,Analamanga,MG11,,,,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:1:12,12,1603:45:16:450:0,1603:45:16:450:1:12,Vakinankaratra,MG12,,,,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:1:13,13,1603:45:16:450:0,1603:45:16:450:1:13,Itasy,MG13,,,,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:1:14,14,1603:45:16:450:0,1603:45:16:450:1:14,Bongolava,MG14,,,,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:1:21,21,1603:45:16:450:0,1603:45:16:450:1:21,Haute Matsiatra,MG21,,,,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:1:22,22,1603:45:16:450:0,1603:45:16:450:1:22,Amoron I Mania,MG22,,,,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:1:23,23,1603:45:16:450:0,1603:45:16:450:1:23,Vatovavy Fitovinany,MG23,,,,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:1:24,24,1603:45:16:450:0,1603:45:16:450:1:24,Ihorombe,MG24,,,,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:1:25,25,1603:45:16:450:0,1603:45:16:450:1:25,Atsimo Atsinanana,MG25,,,,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:1:31,31,1603:45:16:450:0,1603:45:16:450:1:31,Atsinanana,MG31,,,,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:1:32,32,1603:45:16:450:0,1603:45:16:450:1:32,Analanjirofo,MG32,,,,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:1:33,33,1603:45:16:450:0,1603:45:16:450:1:33,Alaotra Mangoro,MG33,,,,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:1:41,41,1603:45:16:450:0,1603:45:16:450:1:41,Boeny,MG41,,,,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:1:42,42,1603:45:16:450:0,1603:45:16:450:1:42,Sofia,MG42,,,,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:1:43,43,1603:45:16:450:0,1603:45:16:450:1:43,Betsiboka,MG43,,,,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:1:44,44,1603:45:16:450:0,1603:45:16:450:1:44,Melaky,MG44,,,,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:1:51,51,1603:45:16:450:0,1603:45:16:450:1:51,Atsimo Andrefana,MG51,,,,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:1:52,52,1603:45:16:450:0,1603:45:16:450:1:52,Androy,MG52,,,,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:1:53,53,1603:45:16:450:0,1603:45:16:450:1:53,Anosy,MG53,,,,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:1:54,54,1603:45:16:450:0,1603:45:16:450:1:54,Menabe,MG54,,,,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:1:71,71,1603:45:16:450:0,1603:45:16:450:1:71,Diana,MG71,,,,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:1:72,72,1603:45:16:450:0,1603:45:16:450:1:72,Sava,MG72,,,,Madagascar,MG,2010-12-31,2020-02-20,
