398	398	Sora	sora	SORA
399	399	Lisu	lisu	LISU
400	400	Lina	lina	LINA
401	401	Linb	linb	LINB
402	402	Cpmn	cpmn	CPMN
403	403	Cprt	cprt	CPRT
410	410	Hira	hira	HIRA
411	411	Kana	kana	KANA
412	412	Hrkt	hrkt	HRKT
413	413	Jpan	jpan	JPAN
420	420	Nkgb	nkgb	NKGB
430	430	Ethi	ethi	ETHI
435	435	Bamu	bamu	BAMU
436	436	Kpel	kpel	KPEL
437	437	Loma	loma	LOMA
438	438	Mend	mend	MEND
439	439	Afak	afak	AFAK
440	440	Cans	cans	CANS
445	445	Cher	cher	CHER
450	450	Hmng	hmng	HMNG
451	451	Hmnp	hmnp	HMNP
460	460	Yiii	yiii	YIII
470	470	Vaii	vaii	VAII
480	480	Wole	wole	WOLE
499	499	Nshu	nshu	NSHU
500	500	Hani	hani	HANI
501	501	Hans	hans	HANS
502	502	Hant	hant	HANT
503	503	Hanb	hanb	HANB
505	505	Kitl	kitl	KITL
510	510	Jurc	jurc	JURC
520	520	Tang	tang	TANG
530	530	Shui	shui	SHUI
550	550	Blis	blis	BLIS
570	570	Brai	brai	BRAI
610	610	Inds	inds	INDS
620	620	Roro	roro	RORO
755	755	Dupl	dupl	DUPL
900	900	Qaaa	qaaa	QAAA
949	949	Qabx	qabx	QABX
993	993	Zsye	zsye	ZSYE
994	994	Zinh	zinh	ZINH
995	995	Zmth	zmth	ZMTH
996	996	Zsym	zsym	ZSYM
997	997	Zxxx	zxxx	ZXXX
998	998	Zyyy	zyyy	ZYYY
999	999	Zzzz	zzzz	ZZZZ
