qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,spa-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:320:2:100,100,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:100,Lago De Amatitlan,GT0100,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:2:101,101,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:101,Guatemala,GT0101,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:2:102,102,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:102,Santa Catarina Pinula,GT0102,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:2:103,103,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:103,San José Pinula,GT0103,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:2:104,104,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:104,San José del Golfo,GT0104,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:2:105,105,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:105,Palencia,GT0105,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:2:106,106,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:106,Chinautla,GT0106,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:2:107,107,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:107,San Pedro Ayampuc,GT0107,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:2:108,108,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:108,Mixco,GT0108,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:2:109,109,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:109,San Pedro Sacatepéquez,GT0109,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:2:110,110,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:110,San Juan Sacatepéquez,GT0110,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:2:111,111,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:111,San Raimundo,GT0111,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:2:112,112,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:112,Chuarrancho,GT0112,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:2:113,113,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:113,Fraijanes,GT0113,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:2:114,114,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:114,Amatitlán,GT0114,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
