#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_spa+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_spa+is_latn,#adm2+name+alt2+i_spa+is_latn,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:320:2:100,100,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:100,Lago De Amatitlan,GT0100,Lago De Amatitlan,,,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:2:101,101,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:101,Guatemala,GT0101,Guatemala,,,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:2:102,102,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:102,Santa Catarina Pinula,GT0102,Santa Catarina Pinula,,,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:2:103,103,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:103,San José Pinula,GT0103,San Jose Pinula,,,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:2:104,104,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:104,San José del Golfo,GT0104,San Jose del Golfo,,,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:2:105,105,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:105,Palencia,GT0105,Palencia,,,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:2:106,106,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:106,Chinautla,GT0106,Chinautla,,,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:2:107,107,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:107,San Pedro Ayampuc,GT0107,San Pedro Ayampuc,,,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:2:108,108,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:108,Mixco,GT0108,Mixco,,,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
1603:45:16:320:2:109,109,1603:45:16:320:0,1603:45:16:320:1:1,1603:45:16:320:2:109,San Pedro Sacatepéquez,GT0109,San Pedro Sacatepequez,,,Guatemala,GT01,Guatemala,GT,2019-02-15,2019-11-10,
