#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:686:2:101,101,1603:45:16:686:0,1603:45:16:686:1:1,1603:45:16:686:2:101,Dakar,SN0101,,,,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:102,102,1603:45:16:686:0,1603:45:16:686:1:1,1603:45:16:686:2:102,Guediawaye,SN0102,,,,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:103,103,1603:45:16:686:0,1603:45:16:686:1:1,1603:45:16:686:2:103,Pikine,SN0103,,,,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:104,104,1603:45:16:686:0,1603:45:16:686:1:1,1603:45:16:686:2:104,Rufisque,SN0104,,,,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:201,201,1603:45:16:686:0,1603:45:16:686:1:2,1603:45:16:686:2:201,Bambey,SN0201,,,,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:202,202,1603:45:16:686:0,1603:45:16:686:1:2,1603:45:16:686:2:202,Diourbel,SN0202,,,,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:203,203,1603:45:16:686:0,1603:45:16:686:1:2,1603:45:16:686:2:203,Mbacke,SN0203,,,,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:301,301,1603:45:16:686:0,1603:45:16:686:1:3,1603:45:16:686:2:301,Fatick,SN0301,,,,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:302,302,1603:45:16:686:0,1603:45:16:686:1:3,1603:45:16:686:2:302,Foundiougne,SN0302,,,,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:303,303,1603:45:16:686:0,1603:45:16:686:1:3,1603:45:16:686:2:303,Gossas,SN0303,,,,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:401,401,1603:45:16:686:0,1603:45:16:686:1:4,1603:45:16:686:2:401,Birkelane,SN0401,,,,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:402,402,1603:45:16:686:0,1603:45:16:686:1:4,1603:45:16:686:2:402,Kaffrine,SN0402,,,,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:403,403,1603:45:16:686:0,1603:45:16:686:1:4,1603:45:16:686:2:403,Koungheul,SN0403,,,,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:404,404,1603:45:16:686:0,1603:45:16:686:1:4,1603:45:16:686:2:404,Malem Hodar,SN0404,,,,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:501,501,1603:45:16:686:0,1603:45:16:686:1:5,1603:45:16:686:2:501,Guinguineo,SN0501,,,,Kaolack,SN05,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:502,502,1603:45:16:686:0,1603:45:16:686:1:5,1603:45:16:686:2:502,Kaolack,SN0502,,,,Kaolack,SN05,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:503,503,1603:45:16:686:0,1603:45:16:686:1:5,1603:45:16:686:2:503,Nioro Du Rip,SN0503,,,,Kaolack,SN05,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:601,601,1603:45:16:686:0,1603:45:16:686:1:6,1603:45:16:686:2:601,Kedougou,SN0601,,,,Kedougou,SN06,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:602,602,1603:45:16:686:0,1603:45:16:686:1:6,1603:45:16:686:2:602,Salemata,SN0602,,,,Kedougou,SN06,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:603,603,1603:45:16:686:0,1603:45:16:686:1:6,1603:45:16:686:2:603,Saraya,SN0603,,,,Kedougou,SN06,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:701,701,1603:45:16:686:0,1603:45:16:686:1:7,1603:45:16:686:2:701,Kolda,SN0701,,,,Kolda,SN07,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:702,702,1603:45:16:686:0,1603:45:16:686:1:7,1603:45:16:686:2:702,Medina Yoroufoula,SN0702,,,,Kolda,SN07,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:703,703,1603:45:16:686:0,1603:45:16:686:1:7,1603:45:16:686:2:703,Velingara,SN0703,,,,Kolda,SN07,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:801,801,1603:45:16:686:0,1603:45:16:686:1:8,1603:45:16:686:2:801,Kebemer,SN0801,,,,Louga,SN08,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:802,802,1603:45:16:686:0,1603:45:16:686:1:8,1603:45:16:686:2:802,Linguere,SN0802,,,,Louga,SN08,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:803,803,1603:45:16:686:0,1603:45:16:686:1:8,1603:45:16:686:2:803,Louga,SN0803,,,,Louga,SN08,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:901,901,1603:45:16:686:0,1603:45:16:686:1:9,1603:45:16:686:2:901,Kanel,SN0901,,,,Matam,SN09,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:902,902,1603:45:16:686:0,1603:45:16:686:1:9,1603:45:16:686:2:902,Matam,SN0902,,,,Matam,SN09,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:903,903,1603:45:16:686:0,1603:45:16:686:1:9,1603:45:16:686:2:903,Ranerou,SN0903,,,,Matam,SN09,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:1001,1001,1603:45:16:686:0,1603:45:16:686:1:10,1603:45:16:686:2:1001,Dagana,SN1001,,,,Saint Louis,SN10,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:1002,1002,1603:45:16:686:0,1603:45:16:686:1:10,1603:45:16:686:2:1002,Podor,SN1002,,,,Saint Louis,SN10,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:1003,1003,1603:45:16:686:0,1603:45:16:686:1:10,1603:45:16:686:2:1003,Saint Louis,SN1003,,,,Saint Louis,SN10,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:1101,1101,1603:45:16:686:0,1603:45:16:686:1:11,1603:45:16:686:2:1101,Bounkiling,SN1101,,,,Sedhiou,SN11,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:1102,1102,1603:45:16:686:0,1603:45:16:686:1:11,1603:45:16:686:2:1102,Goudomp,SN1102,,,,Sedhiou,SN11,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:1103,1103,1603:45:16:686:0,1603:45:16:686:1:11,1603:45:16:686:2:1103,Sedhiou,SN1103,,,,Sedhiou,SN11,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:1201,1201,1603:45:16:686:0,1603:45:16:686:1:12,1603:45:16:686:2:1201,Bakel,SN1201,,,,Tambacounda,SN12,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:1202,1202,1603:45:16:686:0,1603:45:16:686:1:12,1603:45:16:686:2:1202,Goudiry,SN1202,,,,Tambacounda,SN12,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:1203,1203,1603:45:16:686:0,1603:45:16:686:1:12,1603:45:16:686:2:1203,Koumpentoum,SN1203,,,,Tambacounda,SN12,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:1204,1204,1603:45:16:686:0,1603:45:16:686:1:12,1603:45:16:686:2:1204,Tambacounda,SN1204,,,,Tambacounda,SN12,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:1301,1301,1603:45:16:686:0,1603:45:16:686:1:13,1603:45:16:686:2:1301,Mbour,SN1301,,,,Thies,SN13,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:1302,1302,1603:45:16:686:0,1603:45:16:686:1:13,1603:45:16:686:2:1302,Thies,SN1302,,,,Thies,SN13,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:1303,1303,1603:45:16:686:0,1603:45:16:686:1:13,1603:45:16:686:2:1303,Tivaoune,SN1303,,,,Thies,SN13,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:1401,1401,1603:45:16:686:0,1603:45:16:686:1:14,1603:45:16:686:2:1401,Bignona,SN1401,,,,Ziguinchor,SN14,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:1402,1402,1603:45:16:686:0,1603:45:16:686:1:14,1603:45:16:686:2:1402,Oussouye,SN1402,,,,Ziguinchor,SN14,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:1403,1403,1603:45:16:686:0,1603:45:16:686:1:14,1603:45:16:686:2:1403,Ziguinchor,SN1403,,,,Ziguinchor,SN14,Senegal,SN,2019-04-30,2022-01-04,
