#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:686:2:101,101,Dakar,SN0101,,,,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:102,102,Guediawaye,SN0102,,,,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:103,103,Pikine,SN0103,,,,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:104,104,Rufisque,SN0104,,,,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:201,201,Bambey,SN0201,,,,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:202,202,Diourbel,SN0202,,,,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:203,203,Mbacke,SN0203,,,,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:301,301,Fatick,SN0301,,,,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:302,302,Foundiougne,SN0302,,,,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:303,303,Gossas,SN0303,,,,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:401,401,Birkelane,SN0401,,,,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:402,402,Kaffrine,SN0402,,,,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:403,403,Koungheul,SN0403,,,,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:404,404,Malem Hodar,SN0404,,,,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:2:501,501,Guinguineo,SN0501,,,,Kaolack,SN05,Senegal,SN,2019-04-30,2022-01-04,
