#adm1+code+pcode,#date,#date+valid_on,#date+valid_to
AF01,2017-08-23,2018-05-22,
AF02,2017-08-23,2018-05-22,
AF03,2017-08-23,2018-05-22,
AF04,2017-08-23,2018-05-22,
AF05,2017-08-23,2018-05-22,
AF06,2017-08-23,2018-05-22,
AF07,2017-08-23,2018-05-22,
AF08,2017-08-23,2018-05-22,
AF09,2017-08-23,2018-05-22,
AF10,2017-08-23,2018-05-22,
AF11,2017-08-23,2018-05-22,
AF12,2017-08-23,2018-05-22,
AF13,2017-08-23,2018-05-22,
AF14,2017-08-23,2018-05-22,
AF15,2017-08-23,2018-05-22,
AF16,2017-08-23,2018-05-22,
AF17,2017-08-23,2018-05-22,
AF18,2017-08-23,2018-05-22,
AF19,2017-08-23,2018-05-22,
AF20,2017-08-23,2018-05-22,
AF21,2017-08-23,2018-05-22,
AF22,2017-08-23,2018-05-22,
AF23,2017-08-23,2018-05-22,
AF24,2017-08-23,2018-05-22,
AF25,2017-08-23,2018-05-22,
AF26,2017-08-23,2018-05-22,
AF27,2017-08-23,2018-05-22,
AF28,2017-08-23,2018-05-22,
AF29,2017-08-23,2018-05-22,
AF30,2017-08-23,2018-05-22,
AF31,2017-08-23,2018-05-22,
AF32,2017-08-23,2018-05-22,
AF33,2017-08-23,2018-05-22,
AF34,2017-08-23,2018-05-22,
AO01,2018-08-30,2018-09-04,
AO02,2018-08-30,2018-09-04,
AO03,2018-08-30,2018-09-04,
AO04,2018-08-30,2018-09-04,
AO05,2018-08-30,2018-09-04,
AO06,2018-08-30,2018-09-04,
AO07,2018-08-30,2018-09-04,
AO08,2018-08-30,2018-09-04,
AO09,2018-08-30,2018-09-04,
AO10,2018-08-30,2018-09-04,
AO11,2018-08-30,2018-09-04,
AO12,2018-08-30,2018-09-04,
AO13,2018-08-30,2018-09-04,
AO14,2018-08-30,2018-09-04,
AO15,2018-08-30,2018-09-04,
AO16,2018-08-30,2018-09-04,
AO17,2018-08-30,2018-09-04,
AO18,2018-08-30,2018-09-04,
AR002,2017-10-12,2020-04-04,
AR006,2017-10-12,2020-04-04,
AR010,2017-10-12,2020-04-04,
AR014,2017-10-12,2020-04-04,
AR018,2017-10-12,2020-04-04,
AR022,2017-10-12,2020-04-04,
AR026,2017-10-12,2020-04-04,
AR030,2017-10-12,2020-04-04,
AR034,2017-10-12,2020-04-04,
AR038,2017-10-12,2020-04-04,
AR042,2017-10-12,2020-04-04,
AR046,2017-10-12,2020-04-04,
AR050,2017-10-12,2020-04-04,
AR054,2017-10-12,2020-04-04,
AR058,2017-10-12,2020-04-04,
AR062,2017-10-12,2020-04-04,
AR066,2017-10-12,2020-04-04,
AR070,2017-10-12,2020-04-04,
AR074,2017-10-12,2020-04-04,
AR078,2017-10-12,2020-04-04,
AR082,2017-10-12,2020-04-04,
AR086,2017-10-12,2020-04-04,
AR090,2017-10-12,2020-04-04,
AR094,2017-10-12,2020-04-04,
AM01,2014-10-01,2019-09-13,
AM02,2014-10-01,2019-09-13,
AM03,2014-10-01,2019-09-13,
AM04,2014-10-01,2019-09-13,
AM05,2014-10-01,2019-09-13,
AM06,2014-10-01,2019-09-13,
AM07,2014-10-01,2019-09-13,
AM08,2014-10-01,2019-09-13,
AM09,2014-10-01,2019-09-13,
AM10,2014-10-01,2019-09-13,
AM11,2014-10-01,2019-09-13,
AZ00000003,2020-11-24,2020-11-24,
AZ10100001,2020-11-24,2020-11-24,
AZ10200001,2020-11-24,2020-11-24,
AZ10300001,2020-11-24,2020-11-24,
AZ10400002,2020-11-24,2020-11-24,
AZ10500001,2020-11-24,2020-11-24,
AZ10600001,2020-11-24,2020-11-24,
AZ10700001,2020-11-24,2020-11-24,
AZ10800001,2020-11-24,2020-11-24,
AZ20000002,2020-11-24,2020-11-24,
AZ30100001,2020-11-24,2020-11-24,
AZ30200001,2020-11-24,2020-11-24,
AZ30300001,2020-11-24,2020-11-24,
AZ30400001,2020-11-24,2020-11-24,
AZ30500001,2020-11-24,2020-11-24,
AZ30600001,2020-11-24,2020-11-24,
AZ30700001,2020-11-24,2020-11-24,
AZ30800001,2020-11-24,2020-11-24,
AZ30900002,2020-11-24,2020-11-24,
AZ40100001,2020-11-24,2020-11-24,
AZ40200001,2020-11-24,2020-11-24,
AZ40300001,2020-11-24,2020-11-24,
AZ40401002,2020-11-24,2020-11-24,
AZ40500001,2020-11-24,2020-11-24,
AZ40600001,2020-11-24,2020-11-24,
AZ40700001,2020-11-24,2020-11-24,
AZ40800001,2020-11-24,2020-11-24,
AZ40900001,2020-11-24,2020-11-24,
AZ41000001,2020-11-24,2020-11-24,
AZ50100001,2020-11-24,2020-11-24,
AZ50200001,2020-11-24,2020-11-24,
AZ50300001,2020-11-24,2020-11-24,
AZ50400001,2020-11-24,2020-11-24,
AZ50500001,2020-11-24,2020-11-24,
AZ50600001,2020-11-24,2020-11-24,
AZ50700001,2020-11-24,2020-11-24,
AZ50800001,2020-11-24,2020-11-24,
AZ50900001,2020-11-24,2020-11-24,
AZ51000002,2020-11-24,2020-11-24,
AZ60100001,2020-11-24,2020-11-24,
AZ60200001,2020-11-24,2020-11-24,
AZ60300001,2020-11-24,2020-11-24,
AZ60400001,2020-11-24,2020-11-24,
AZ60500001,2020-11-24,2020-11-24,
AZ60600001,2020-11-24,2020-11-24,
AZ60700001,2020-11-24,2020-11-24,
AZ60800001,2020-11-24,2020-11-24,
AZ60900001,2020-11-24,2020-11-24,
AZ61000001,2020-11-24,2020-11-24,
AZ61100001,2020-11-24,2020-11-24,
AZ70100001,2020-11-24,2020-11-24,
AZ70200001,2020-11-24,2020-11-24,
AZ70300001,2020-11-24,2020-11-24,
AZ70400002,2020-11-24,2020-11-24,
AZ80100001,2020-11-24,2020-11-24,
AZ80201002,2020-11-24,2020-11-24,
AZ80300001,2020-11-24,2020-11-24,
AZ80400001,2020-11-24,2020-11-24,
AZ80500001,2020-11-24,2020-11-24,
AZ80600001,2020-11-24,2020-11-24,
AZ80700001,2020-11-24,2020-11-24,
AZ80800001,2020-11-24,2020-11-24,
AZ80900001,2020-11-24,2020-11-24,
AZ90101002,2020-11-24,2020-11-24,
AZ90200002,2020-11-24,2020-11-24,
AZ90300001,2020-11-24,2020-11-24,
AZ90400001,2020-11-24,2020-11-24,
AZ90500001,2020-11-24,2020-11-24,
AZ90600001,2020-11-24,2020-11-24,
AZ90700001,2020-11-24,2020-11-24,
AZ90800001,2020-11-24,2020-11-24,
AZ90900001,2020-11-24,2020-11-24,
AZ91000001,2020-11-24,2020-11-24,
AZ91100002,2020-11-24,2020-11-24,
BI001,2005-06-14,2017-11-03,
BI002,2005-06-14,2017-11-03,
BI003,2005-06-14,2017-11-03,
BI004,2005-06-14,2017-11-03,
BI005,2005-06-14,2017-11-03,
BI006,2005-06-14,2017-11-03,
BI007,2005-06-14,2017-11-03,
BI008,2005-06-14,2017-11-03,
BI009,2005-06-14,2017-11-03,
BI010,2005-06-14,2017-11-03,
BI011,2005-06-14,2017-11-03,
BI012,2005-06-14,2017-11-03,
BI013,2005-06-14,2017-11-03,
BI014,2005-06-14,2017-11-03,
BI015,2005-06-14,2017-11-03,
BI016,2005-06-14,2017-11-03,
BI017,2005-06-14,2017-11-03,
BI018,2015-08-23,2017-11-03,
BJ01,2015-08-07,2019-08-16,
BJ02,2015-08-07,2019-08-16,
BJ03,2015-08-07,2019-08-16,
BJ04,2015-08-07,2019-08-16,
BJ05,2015-08-07,2019-08-16,
BJ06,2015-08-07,2019-08-16,
BJ07,2015-08-07,2019-08-16,
BJ08,2015-08-07,2019-08-16,
BJ09,2015-08-07,2019-08-16,
BJ10,2015-08-07,2019-08-16,
BJ11,2015-08-07,2019-08-16,
BJ12,2015-08-07,2019-08-16,
BF13,2020-03-18,2020-03-23,
BF46,2020-03-18,2020-03-23,
BF47,2020-03-18,2020-03-23,
BF48,2020-03-18,2020-03-23,
BF49,2020-03-18,2020-03-23,
BF50,2020-03-18,2020-03-23,
BF51,2020-03-18,2020-03-23,
BF52,2020-03-18,2020-03-23,
BF53,2020-03-18,2020-03-23,
BF54,2020-03-18,2020-03-23,
BF55,2020-03-18,2020-03-23,
BF56,2020-03-18,2020-03-23,
BF57,2020-03-18,2020-03-23,
BD10,2015-01-01,2020-11-13,
BD20,2015-01-01,2020-11-13,
BD30,2015-01-01,2020-11-13,
BD40,2015-01-01,2020-11-13,
BD45,2015-01-01,2020-11-13,
BD50,2015-01-01,2020-11-13,
BD55,2015-01-01,2020-11-13,
BD60,2015-01-01,2020-11-13,
BG001,2019-09-16,2019-09-16,
BG002,2019-09-16,2019-09-16,
BG003,2019-09-16,2019-09-16,
BG004,2019-09-16,2019-09-16,
BG005,2019-09-16,2019-09-16,
BG006,2019-09-16,2019-09-16,
BG007,2019-09-16,2019-09-16,
BG008,2019-09-16,2019-09-16,
BG009,2019-09-16,2019-09-16,
BG010,2019-09-16,2019-09-16,
BG011,2019-09-16,2019-09-16,
BG012,2019-09-16,2019-09-16,
BG013,2019-09-16,2019-09-16,
BG014,2019-09-16,2019-09-16,
BG015,2019-09-16,2019-09-16,
BG016,2019-09-16,2019-09-16,
BG017,2019-09-16,2019-09-16,
BG018,2019-09-16,2019-09-16,
BG019,2019-09-16,2019-09-16,
BG020,2019-09-16,2019-09-16,
BG021,2019-09-16,2019-09-16,
BG022,2019-09-16,2019-09-16,
BG023,2019-09-16,2019-09-16,
BG024,2019-09-16,2019-09-16,
BG025,2019-09-16,2019-09-16,
BG026,2019-09-16,2019-09-16,
BG027,2019-09-16,2019-09-16,
BG028,2019-09-16,2019-09-16,
BY001,2015-01-01,2017-07-07,
BY002,2015-01-01,2017-07-07,
BY003,2015-01-01,2017-07-07,
BY004,2015-01-01,2017-07-07,
BY005,2015-01-01,2017-07-07,
BY006,2015-01-01,2017-07-07,
BY007,2015-01-01,2017-07-07,
,,,
,,,
,,,
BM01,2017-09-21,2019-05-22,
BM02,2017-09-21,2019-05-22,
BM03,2017-09-21,2019-05-22,
BM04,2017-09-21,2019-05-22,
BM05,2017-09-21,2019-05-22,
BM06,2017-09-21,2019-05-22,
BM07,2017-09-21,2019-05-22,
BM08,2017-09-21,2019-05-22,
BM09,2017-09-21,2019-05-22,
,,,
BO01,2018-04-17,2020-05-14,
BO02,2018-04-17,2020-05-14,
BO03,2018-04-17,2020-05-14,
BO04,2018-04-17,2020-05-14,
BO05,2018-04-17,2020-05-14,
BO06,2018-04-17,2020-05-14,
BO07,2018-04-17,2020-05-14,
BO08,2018-04-17,2020-05-14,
BO09,2018-04-17,2020-05-14,
BR11,2020-09-30,2020-09-30,
BR12,2020-09-30,2020-09-30,
BR13,2020-09-30,2020-09-30,
BR14,2020-09-30,2020-09-30,
BR15,2020-09-30,2020-09-30,
BR16,2020-09-30,2020-09-30,
BR17,2020-09-30,2020-09-30,
BR21,2020-09-30,2020-09-30,
BR22,2020-09-30,2020-09-30,
BR23,2020-09-30,2020-09-30,
BR24,2020-09-30,2020-09-30,
BR25,2020-09-30,2020-09-30,
BR26,2020-09-30,2020-09-30,
BR27,2020-09-30,2020-09-30,
BR28,2020-09-30,2020-09-30,
BR29,2020-09-30,2020-09-30,
