#adm2+code+pcode,#date,#date+valid_on,#date+valid_to
AF0101,2017-08-23,2018-05-22,
AF0102,2017-08-23,2018-05-22,
AF0103,2017-08-23,2018-05-22,
AF0104,2017-08-23,2018-05-22,
AF0105,2017-08-23,2018-05-22,
AF0106,2017-08-23,2018-05-22,
AF0107,2017-08-23,2018-05-22,
AF0108,2017-08-23,2018-05-22,
AF0109,2017-08-23,2018-05-22,
AF0110,2017-08-23,2018-05-22,
AF0111,2017-08-23,2018-05-22,
AF0112,2017-08-23,2018-05-22,
AF0113,2017-08-23,2018-05-22,
AF0114,2017-08-23,2018-05-22,
AF0115,2017-08-23,2018-05-22,
AF0201,2017-08-23,2018-05-22,
AF0202,2017-08-23,2018-05-22,
AF0203,2017-08-23,2018-05-22,
AF0204,2017-08-23,2018-05-22,
AF0205,2017-08-23,2018-05-22,
AF0206,2017-08-23,2018-05-22,
AF0207,2017-08-23,2018-05-22,
AF0301,2017-08-23,2018-05-22,
AF0302,2017-08-23,2018-05-22,
AF0303,2017-08-23,2018-05-22,
AF0304,2017-08-23,2018-05-22,
AF0305,2017-08-23,2018-05-22,
AF0306,2017-08-23,2018-05-22,
AF0307,2017-08-23,2018-05-22,
AF0308,2017-08-23,2018-05-22,
AF0309,2017-08-23,2018-05-22,
AF0310,2017-08-23,2018-05-22,
AF0401,2017-08-23,2018-05-22,
AF0402,2017-08-23,2018-05-22,
AF0403,2017-08-23,2018-05-22,
AF0404,2017-08-23,2018-05-22,
AF0405,2017-08-23,2018-05-22,
AF0406,2017-08-23,2018-05-22,
AF0407,2017-08-23,2018-05-22,
AF0408,2017-08-23,2018-05-22,
AF0409,2017-08-23,2018-05-22,
AF0501,2017-08-23,2018-05-22,
AF0502,2017-08-23,2018-05-22,
AF0503,2017-08-23,2018-05-22,
AF0504,2017-08-23,2018-05-22,
AF0505,2017-08-23,2018-05-22,
AF0506,2017-08-23,2018-05-22,
AF0507,2017-08-23,2018-05-22,
AF0601,2017-08-23,2018-05-22,
AF0602,2017-08-23,2018-05-22,
AF0603,2017-08-23,2018-05-22,
AF0604,2017-08-23,2018-05-22,
AF0605,2017-08-23,2018-05-22,
AF0606,2017-08-23,2018-05-22,
AF0607,2017-08-23,2018-05-22,
AF0608,2017-08-23,2018-05-22,
AF0609,2017-08-23,2018-05-22,
AF0610,2017-08-23,2018-05-22,
AF0611,2017-08-23,2018-05-22,
AF0612,2017-08-23,2018-05-22,
AF0613,2017-08-23,2018-05-22,
AF0614,2017-08-23,2018-05-22,
AF0615,2017-08-23,2018-05-22,
AF0616,2017-08-23,2018-05-22,
AF0617,2017-08-23,2018-05-22,
AF0618,2017-08-23,2018-05-22,
AF0619,2017-08-23,2018-05-22,
AF0620,2017-08-23,2018-05-22,
AF0621,2017-08-23,2018-05-22,
AF0622,2017-08-23,2018-05-22,
AF0701,2017-08-23,2018-05-22,
AF0702,2017-08-23,2018-05-22,
AF0703,2017-08-23,2018-05-22,
AF0704,2017-08-23,2018-05-22,
AF0705,2017-08-23,2018-05-22,
AF0801,2017-08-23,2018-05-22,
AF0802,2017-08-23,2018-05-22,
AF0803,2017-08-23,2018-05-22,
AF0804,2017-08-23,2018-05-22,
AF0805,2017-08-23,2018-05-22,
AF0806,2017-08-23,2018-05-22,
AF0807,2017-08-23,2018-05-22,
AF0901,2017-08-23,2018-05-22,
AF0902,2017-08-23,2018-05-22,
AF0903,2017-08-23,2018-05-22,
AF0904,2017-08-23,2018-05-22,
