#adm3+code+pcode,#date,#date+valid_on,#date+valid_to
AO01001001,2018-08-30,2018-09-04,
AO01001002,2018-08-30,2018-09-04,
AO01001003,2018-08-30,2018-09-04,
AO01002004,2018-08-30,2018-09-04,
AO01002005,2018-08-30,2018-09-04,
AO01002006,2018-08-30,2018-09-04,
AO01002007,2018-08-30,2018-09-04,
AO01002008,2018-08-30,2018-09-04,
AO01002299,2018-08-30,2018-09-04,
AO01005017,2018-08-30,2018-09-04,
AO01005018,2018-08-30,2018-09-04,
AO01005019,2018-08-30,2018-09-04,
AO01005020,2018-08-30,2018-09-04,
AO01005021,2018-08-30,2018-09-04,
AO01005022,2018-08-30,2018-09-04,
AO01005023,2018-08-30,2018-09-04,
AO01040145,2018-08-30,2018-09-04,
AO01040146,2018-08-30,2018-09-04,
AO01043153,2018-08-30,2018-09-04,
AO01043154,2018-08-30,2018-09-04,
AO01043155,2018-08-30,2018-09-04,
AO01043156,2018-08-30,2018-09-04,
AO01047166,2018-08-30,2018-09-04,
AO02006024,2018-08-30,2018-09-04,
AO02006025,2018-08-30,2018-09-04,
AO02006026,2018-08-30,2018-09-04,
AO02006027,2018-08-30,2018-09-04,
AO02007028,2018-08-30,2018-09-04,
AO02007029,2018-08-30,2018-09-04,
AO02007030,2018-08-30,2018-09-04,
AO02008031,2018-08-30,2018-09-04,
AO02009032,2018-08-30,2018-09-04,
AO02009033,2018-08-30,2018-09-04,
AO02009034,2018-08-30,2018-09-04,
AO02009035,2018-08-30,2018-09-04,
AO02009036,2018-08-30,2018-09-04,
AO02010037,2018-08-30,2018-09-04,
AO02010038,2018-08-30,2018-09-04,
AO02010039,2018-08-30,2018-09-04,
AO02010040,2018-08-30,2018-09-04,
AO02010041,2018-08-30,2018-09-04,
AO02011042,2018-08-30,2018-09-04,
AO02011043,2018-08-30,2018-09-04,
AO02012044,2018-08-30,2018-09-04,
AO02012045,2018-08-30,2018-09-04,
AO02012046,2018-08-30,2018-09-04,
AO02012047,2018-08-30,2018-09-04,
AO02013048,2018-08-30,2018-09-04,
AO02013049,2018-08-30,2018-09-04,
AO02013050,2018-08-30,2018-09-04,
AO02013051,2018-08-30,2018-09-04,
AO02013052,2018-08-30,2018-09-04,
AO02014054,2018-08-30,2018-09-04,
AO02014055,2018-08-30,2018-09-04,
AO02014057,2018-08-30,2018-09-04,
AO02164053,2018-08-30,2018-09-04,
AO02164056,2018-08-30,2018-09-04,
AO02164057,2018-08-30,2018-09-04,
AO03015058,2018-08-30,2018-09-04,
AO03015059,2018-08-30,2018-09-04,
AO03015060,2018-08-30,2018-09-04,
AO03015061,2018-08-30,2018-09-04,
AO03016062,2018-08-30,2018-09-04,
AO03016063,2018-08-30,2018-09-04,
AO03016064,2018-08-30,2018-09-04,
AO03016065,2018-08-30,2018-09-04,
AO03016066,2018-08-30,2018-09-04,
AO03017067,2018-08-30,2018-09-04,
AO03017068,2018-08-30,2018-09-04,
AO03017069,2018-08-30,2018-09-04,
AO03017070,2018-08-30,2018-09-04,
AO03018071,2018-08-30,2018-09-04,
AO03018072,2018-08-30,2018-09-04,
AO03018073,2018-08-30,2018-09-04,
AO03019074,2018-08-30,2018-09-04,
AO03019075,2018-08-30,2018-09-04,
AO03019076,2018-08-30,2018-09-04,
AO03019077,2018-08-30,2018-09-04,
AO03019078,2018-08-30,2018-09-04,
AO03019079,2018-08-30,2018-09-04,
AO03020080,2018-08-30,2018-09-04,
AO03020081,2018-08-30,2018-09-04,
AO03020082,2018-08-30,2018-09-04,
AO03020083,2018-08-30,2018-09-04,
AO03021084,2018-08-30,2018-09-04,
AO03022085,2018-08-30,2018-09-04,
AO03022086,2018-08-30,2018-09-04,
AO03022087,2018-08-30,2018-09-04,
AO03022088,2018-08-30,2018-09-04,
AO03023089,2018-08-30,2018-09-04,
AO03023090,2018-08-30,2018-09-04,
AO03023091,2018-08-30,2018-09-04,
AO03023092,2018-08-30,2018-09-04,
AO03023093,2018-08-30,2018-09-04,
AO04024094,2018-08-30,2018-09-04,
AO04024095,2018-08-30,2018-09-04,
AO04024096,2018-08-30,2018-09-04,
AO04025097,2018-08-30,2018-09-04,
AO04025098,2018-08-30,2018-09-04,
AO04025099,2018-08-30,2018-09-04,
AO04026100,2018-08-30,2018-09-04,
AO04026101,2018-08-30,2018-09-04,
AO04026102,2018-08-30,2018-09-04,
AO04027103,2018-08-30,2018-09-04,
AO04027104,2018-08-30,2018-09-04,
AO04027105,2018-08-30,2018-09-04,
AO05028106,2018-08-30,2018-09-04,
AO05028107,2018-08-30,2018-09-04,
AO05029108,2018-08-30,2018-09-04,
AO05029109,2018-08-30,2018-09-04,
AO05029110,2018-08-30,2018-09-04,
AO05030111,2018-08-30,2018-09-04,
AO05030112,2018-08-30,2018-09-04,
AO05030113,2018-08-30,2018-09-04,
AO05031114,2018-08-30,2018-09-04,
AO05031115,2018-08-30,2018-09-04,
AO05031116,2018-08-30,2018-09-04,
AO05031117,2018-08-30,2018-09-04,
AO05032118,2018-08-30,2018-09-04,
AO05032119,2018-08-30,2018-09-04,
AO05032120,2018-08-30,2018-09-04,
AO05033121,2018-08-30,2018-09-04,
AO05033122,2018-08-30,2018-09-04,
AO05033123,2018-08-30,2018-09-04,
AO05033124,2018-08-30,2018-09-04,
AO05034125,2018-08-30,2018-09-04,
AO05034126,2018-08-30,2018-09-04,
AO05034127,2018-08-30,2018-09-04,
AO05035128,2018-08-30,2018-09-04,
AO05035129,2018-08-30,2018-09-04,
AO05036130,2018-08-30,2018-09-04,
AO05036131,2018-08-30,2018-09-04,
AO05036132,2018-08-30,2018-09-04,
AO06037133,2018-08-30,2018-09-04,
AO06037134,2018-08-30,2018-09-04,
AO06037135,2018-08-30,2018-09-04,
AO06037136,2018-08-30,2018-09-04,
AO06037137,2018-08-30,2018-09-04,
AO06038138,2018-08-30,2018-09-04,
AO06038139,2018-08-30,2018-09-04,
AO06038140,2018-08-30,2018-09-04,
AO06038141,2018-08-30,2018-09-04,
AO06038143,2018-08-30,2018-09-04,
AO06039142,2018-08-30,2018-09-04,
AO06039143,2018-08-30,2018-09-04,
AO06039144,2018-08-30,2018-09-04,
AO06041147,2018-08-30,2018-09-04,
AO06041148,2018-08-30,2018-09-04,
AO06041149,2018-08-30,2018-09-04,
AO06041150,2018-08-30,2018-09-04,
AO06041165,2018-08-30,2018-09-04,
AO06042151,2018-08-30,2018-09-04,
AO06042152,2018-08-30,2018-09-04,
AO06044157,2018-08-30,2018-09-04,
AO06044158,2018-08-30,2018-09-04,
AO06044159,2018-08-30,2018-09-04,
AO06044160,2018-08-30,2018-09-04,
AO06045161,2018-08-30,2018-09-04,
AO06045162,2018-08-30,2018-09-04,
AO06046163,2018-08-30,2018-09-04,
AO06046164,2018-08-30,2018-09-04,
AO06048167,2018-08-30,2018-09-04,
AO06049168,2018-08-30,2018-09-04,
AO06049169,2018-08-30,2018-09-04,
AO07050170,2018-08-30,2018-09-04,
AO07050171,2018-08-30,2018-09-04,
AO07051172,2018-08-30,2018-09-04,
AO07051173,2018-08-30,2018-09-04,
AO07051174,2018-08-30,2018-09-04,
AO07051175,2018-08-30,2018-09-04,
AO07052176,2018-08-30,2018-09-04,
AO07052177,2018-08-30,2018-09-04,
AO07053178,2018-08-30,2018-09-04,
AO07053179,2018-08-30,2018-09-04,
AO07053180,2018-08-30,2018-09-04,
AO07054181,2018-08-30,2018-09-04,
AO07054182,2018-08-30,2018-09-04,
AO07054183,2018-08-30,2018-09-04,
AO07054184,2018-08-30,2018-09-04,
AO07055185,2018-08-30,2018-09-04,
AO07055186,2018-08-30,2018-09-04,
AO07055187,2018-08-30,2018-09-04,
AO07056188,2018-08-30,2018-09-04,
AO07056189,2018-08-30,2018-09-04,
AO07057190,2018-08-30,2018-09-04,
AO07057191,2018-08-30,2018-09-04,
AO07057192,2018-08-30,2018-09-04,
AO07057193,2018-08-30,2018-09-04,
AO07058194,2018-08-30,2018-09-04,
AO07058195,2018-08-30,2018-09-04,
AO07059196,2018-08-30,2018-09-04,
AO07059197,2018-08-30,2018-09-04,
AO07059198,2018-08-30,2018-09-04,
AO07060199,2018-08-30,2018-09-04,
AO07060200,2018-08-30,2018-09-04,
AO07060201,2018-08-30,2018-09-04,
AO07060202,2018-08-30,2018-09-04,
AO07061203,2018-08-30,2018-09-04,
AO07061204,2018-08-30,2018-09-04,
AO07061205,2018-08-30,2018-09-04,
AO08062206,2018-08-30,2018-09-04,
AO08062207,2018-08-30,2018-09-04,
AO08063208,2018-08-30,2018-09-04,
AO08063209,2018-08-30,2018-09-04,
AO08063210,2018-08-30,2018-09-04,
AO08063211,2018-08-30,2018-09-04,
AO08063212,2018-08-30,2018-09-04,
AO08064213,2018-08-30,2018-09-04,
AO08064214,2018-08-30,2018-09-04,
AO08065215,2018-08-30,2018-09-04,
AO08065216,2018-08-30,2018-09-04,
AO08065217,2018-08-30,2018-09-04,
AO08065218,2018-08-30,2018-09-04,
AO08066219,2018-08-30,2018-09-04,
AO08066220,2018-08-30,2018-09-04,
AO08067221,2018-08-30,2018-09-04,
AO08067222,2018-08-30,2018-09-04,
AO08067223,2018-08-30,2018-09-04,
AO08067224,2018-08-30,2018-09-04,
AO08067225,2018-08-30,2018-09-04,
AO09068226,2018-08-30,2018-09-04,
AO09068227,2018-08-30,2018-09-04,
AO09068228,2018-08-30,2018-09-04,
AO09068229,2018-08-30,2018-09-04,
AO09069230,2018-08-30,2018-09-04,
AO09069231,2018-08-30,2018-09-04,
AO09069232,2018-08-30,2018-09-04,
AO09070233,2018-08-30,2018-09-04,
AO09070234,2018-08-30,2018-09-04,
AO09070235,2018-08-30,2018-09-04,
AO09070236,2018-08-30,2018-09-04,
AO09071237,2018-08-30,2018-09-04,
AO09071238,2018-08-30,2018-09-04,
AO09072239,2018-08-30,2018-09-04,
AO09072240,2018-08-30,2018-09-04,
AO09073241,2018-08-30,2018-09-04,
AO09073242,2018-08-30,2018-09-04,
AO09074243,2018-08-30,2018-09-04,
AO09075244,2018-08-30,2018-09-04,
AO09075245,2018-08-30,2018-09-04,
AO09075246,2018-08-30,2018-09-04,
AO09076247,2018-08-30,2018-09-04,
