qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,spa-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:192:2:101,101,1603:45:16:192:0,1603:45:16:192:1:1,1603:45:16:192:2:101,Alquízar,CU0101,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:102,102,1603:45:16:192:0,1603:45:16:192:1:1,1603:45:16:192:2:102,Artemisa,CU0102,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:103,103,1603:45:16:192:0,1603:45:16:192:1:1,1603:45:16:192:2:103,Bahía Honda,CU0103,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:104,104,1603:45:16:192:0,1603:45:16:192:1:1,1603:45:16:192:2:104,Bauta,CU0104,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:105,105,1603:45:16:192:0,1603:45:16:192:1:1,1603:45:16:192:2:105,Caimito,CU0105,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:106,106,1603:45:16:192:0,1603:45:16:192:1:1,1603:45:16:192:2:106,Candelaria,CU0106,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:107,107,1603:45:16:192:0,1603:45:16:192:1:1,1603:45:16:192:2:107,Guanajay,CU0107,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:108,108,1603:45:16:192:0,1603:45:16:192:1:1,1603:45:16:192:2:108,Güira de Melena,CU0108,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:109,109,1603:45:16:192:0,1603:45:16:192:1:1,1603:45:16:192:2:109,Mariel,CU0109,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:110,110,1603:45:16:192:0,1603:45:16:192:1:1,1603:45:16:192:2:110,San Antonio de los Baños,CU0110,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:111,111,1603:45:16:192:0,1603:45:16:192:1:1,1603:45:16:192:2:111,San Cristóbal,CU0111,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:201,201,1603:45:16:192:0,1603:45:16:192:1:2,1603:45:16:192:2:201,Camagüey,CU0201,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:202,202,1603:45:16:192:0,1603:45:16:192:1:2,1603:45:16:192:2:202,Carlos Manuel de Céspedes,CU0202,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:203,203,1603:45:16:192:0,1603:45:16:192:1:2,1603:45:16:192:2:203,Esmeralda,CU0203,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:204,204,1603:45:16:192:0,1603:45:16:192:1:2,1603:45:16:192:2:204,Florida,CU0204,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:205,205,1603:45:16:192:0,1603:45:16:192:1:2,1603:45:16:192:2:205,Guáimaro,CU0205,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:206,206,1603:45:16:192:0,1603:45:16:192:1:2,1603:45:16:192:2:206,Jimaguayú,CU0206,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:207,207,1603:45:16:192:0,1603:45:16:192:1:2,1603:45:16:192:2:207,Minas,CU0207,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:208,208,1603:45:16:192:0,1603:45:16:192:1:2,1603:45:16:192:2:208,Najasa,CU0208,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:209,209,1603:45:16:192:0,1603:45:16:192:1:2,1603:45:16:192:2:209,Nuevitas,CU0209,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:210,210,1603:45:16:192:0,1603:45:16:192:1:2,1603:45:16:192:2:210,Santa Cruz del Sur,CU0210,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:211,211,1603:45:16:192:0,1603:45:16:192:1:2,1603:45:16:192:2:211,Sibanicú,CU0211,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:212,212,1603:45:16:192:0,1603:45:16:192:1:2,1603:45:16:192:2:212,Sierra de Cubitas,CU0212,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:213,213,1603:45:16:192:0,1603:45:16:192:1:2,1603:45:16:192:2:213,Vertientes,CU0213,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:301,301,1603:45:16:192:0,1603:45:16:192:1:3,1603:45:16:192:2:301,Baraguá,CU0301,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:302,302,1603:45:16:192:0,1603:45:16:192:1:3,1603:45:16:192:2:302,Bolivia,CU0302,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:303,303,1603:45:16:192:0,1603:45:16:192:1:3,1603:45:16:192:2:303,Chambas,CU0303,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:304,304,1603:45:16:192:0,1603:45:16:192:1:3,1603:45:16:192:2:304,Ciego de ávila,CU0304,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:305,305,1603:45:16:192:0,1603:45:16:192:1:3,1603:45:16:192:2:305,Ciro Redodo,CU0305,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:306,306,1603:45:16:192:0,1603:45:16:192:1:3,1603:45:16:192:2:306,Florencia,CU0306,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:307,307,1603:45:16:192:0,1603:45:16:192:1:3,1603:45:16:192:2:307,Majagua,CU0307,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:308,308,1603:45:16:192:0,1603:45:16:192:1:3,1603:45:16:192:2:308,Morón,CU0308,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:309,309,1603:45:16:192:0,1603:45:16:192:1:3,1603:45:16:192:2:309,Primero de Enero,CU0309,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:310,310,1603:45:16:192:0,1603:45:16:192:1:3,1603:45:16:192:2:310,Venezuela,CU0310,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:401,401,1603:45:16:192:0,1603:45:16:192:1:4,1603:45:16:192:2:401,Abreus,CU0401,Cienfuegos,CU04,Cuba,CU,2017-09-07,2020-11-18,
