#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_spa+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_spa+is_latn,#adm2+name+alt2+i_spa+is_latn,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:192:2:101,101,Alquízar,CU0101,Alquizar,,,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:102,102,Artemisa,CU0102,Artemisa,,,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:103,103,Bahía Honda,CU0103,Bahia Honda,,,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:104,104,Bauta,CU0104,Bauta,,,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:105,105,Caimito,CU0105,Caimito,,,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:106,106,Candelaria,CU0106,Candelaria,,,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:107,107,Guanajay,CU0107,Guanajay,,,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:108,108,Güira de Melena,CU0108,Guira de Melena,,,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:109,109,Mariel,CU0109,Mariel,,,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:110,110,San Antonio de los Baños,CU0110,San Antonio de los Banos,,,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:111,111,San Cristóbal,CU0111,San Cristobal,,,Artemisa,CU01,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:201,201,Camagüey,CU0201,Camaguey,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:202,202,Carlos Manuel de Céspedes,CU0202,Carlos Manuel de Cespedes,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:203,203,Esmeralda,CU0203,Esmeralda,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:204,204,Florida,CU0204,Florida,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:205,205,Guáimaro,CU0205,Guaimaro,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:206,206,Jimaguayú,CU0206,Jimaguayu,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:207,207,Minas,CU0207,Minas,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:208,208,Najasa,CU0208,Najasa,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:209,209,Nuevitas,CU0209,Nuevitas,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:210,210,Santa Cruz del Sur,CU0210,Santa Cruz del Sur,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:211,211,Sibanicú,CU0211,Sibanicu,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:212,212,Sierra de Cubitas,CU0212,Sierra de Cubitas,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:213,213,Vertientes,CU0213,Vertientes,,,Camagüey,CU02,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:301,301,Baraguá,CU0301,Baragua,,,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:302,302,Bolivia,CU0302,Bolivia,,,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:303,303,Chambas,CU0303,Chambas,,,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:304,304,Ciego de ávila,CU0304,Ciego de avila,,,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:305,305,Ciro Redodo,CU0305,Ciro Redodo,,,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:306,306,Florencia,CU0306,Florencia,,,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:307,307,Majagua,CU0307,Majagua,,,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:308,308,Morón,CU0308,Moron,,,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:309,309,Primero de Enero,CU0309,Primero de Enero,,,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:310,310,Venezuela,CU0310,Venezuela,,,Ciego de Ávila,CU03,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:401,401,Abreus,CU0401,Abreus,,,Cienfuegos,CU04,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:402,402,Aguada de Pasajeros,CU0402,Aguada de Pasajeros,,,Cienfuegos,CU04,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:403,403,Ciefuegos,CU0403,Ciefuegos,,,Cienfuegos,CU04,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:404,404,Cruces,CU0404,Cruces,,,Cienfuegos,CU04,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:405,405,Cumanayagua,CU0405,Cumanayagua,,,Cienfuegos,CU04,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:406,406,Lajas,CU0406,Lajas,,,Cienfuegos,CU04,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:407,407,Palmira,CU0407,Palmira,,,Cienfuegos,CU04,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:408,408,Rodas,CU0408,Rodas,,,Cienfuegos,CU04,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:501,501,Bartolomé Masó,CU0501,Bartolome Maso,,,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:502,502,Bayamo,CU0502,Bayamo,,,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:503,503,Buey Arriba,CU0503,Buey Arriba,,,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:504,504,Campechuela,CU0504,Campechuela,,,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:505,505,Cauto Cristo,CU0505,Cauto Cristo,,,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:506,506,Guisa,CU0506,Guisa,,,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:507,507,Jiguaní,CU0507,Jiguani,,,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:508,508,Manzanillo,CU0508,Manzanillo,,,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:509,509,Media Luna,CU0509,Media Luna,,,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:510,510,Niquero,CU0510,Niquero,,,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:511,511,Pilón,CU0511,Pilon,,,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:512,512,Río Cauto,CU0512,Rio Cauto,,,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:513,513,Yara,CU0513,Yara,,,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:601,601,Baracoa,CU0601,Baracoa,,,Guantánamo,CU06,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:602,602,Caimanera,CU0602,Caimanera,,,Guantánamo,CU06,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:603,603,El Salvador,CU0603,El Salvador,,,Guantánamo,CU06,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:604,604,Guantánamo,CU0604,Guantanamo,,,Guantánamo,CU06,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:605,605,Imías,CU0605,Imias,,,Guantánamo,CU06,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:606,606,Maisí,CU0606,Maisi,,,Guantánamo,CU06,Cuba,CU,2017-09-07,2020-11-18,
