#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:64:1:1,1,1603:45:16:64:0,1603:45:16:64:1:1,Bumthang,BT001,,,,Bhutan,BT,2019-02-01,2020-10-30,
1603:45:16:64:1:2,2,1603:45:16:64:0,1603:45:16:64:1:2,Chhukha,BT002,,,,Bhutan,BT,2019-02-01,2020-10-30,
1603:45:16:64:1:3,3,1603:45:16:64:0,1603:45:16:64:1:3,Dagana,BT003,,,,Bhutan,BT,2019-02-01,2020-10-30,
1603:45:16:64:1:4,4,1603:45:16:64:0,1603:45:16:64:1:4,Gasa,BT004,,,,Bhutan,BT,2019-02-01,2020-10-30,
1603:45:16:64:1:5,5,1603:45:16:64:0,1603:45:16:64:1:5,Haa,BT005,,,,Bhutan,BT,2019-02-01,2020-10-30,
1603:45:16:64:1:6,6,1603:45:16:64:0,1603:45:16:64:1:6,Lhuentse,BT006,,,,Bhutan,BT,2019-02-01,2020-10-30,
1603:45:16:64:1:7,7,1603:45:16:64:0,1603:45:16:64:1:7,Monggar,BT007,,,,Bhutan,BT,2019-02-01,2020-10-30,
1603:45:16:64:1:8,8,1603:45:16:64:0,1603:45:16:64:1:8,Paro,BT008,,,,Bhutan,BT,2019-02-01,2020-10-30,
1603:45:16:64:1:9,9,1603:45:16:64:0,1603:45:16:64:1:9,Pemagatshel,BT009,,,,Bhutan,BT,2019-02-01,2020-10-30,
1603:45:16:64:1:10,10,1603:45:16:64:0,1603:45:16:64:1:10,Punakha,BT010,,,,Bhutan,BT,2019-02-01,2020-10-30,
1603:45:16:64:1:11,11,1603:45:16:64:0,1603:45:16:64:1:11,Samdrupjongkhar,BT011,,,,Bhutan,BT,2019-02-01,2020-10-30,
1603:45:16:64:1:12,12,1603:45:16:64:0,1603:45:16:64:1:12,Samtse,BT012,,,,Bhutan,BT,2019-02-01,2020-10-30,
1603:45:16:64:1:13,13,1603:45:16:64:0,1603:45:16:64:1:13,Sarpang,BT013,,,,Bhutan,BT,2019-02-01,2020-10-30,
1603:45:16:64:1:14,14,1603:45:16:64:0,1603:45:16:64:1:14,Thimphu,BT014,,,,Bhutan,BT,2019-02-01,2020-10-30,
1603:45:16:64:1:15,15,1603:45:16:64:0,1603:45:16:64:1:15,Trashigang,BT015,,,,Bhutan,BT,2019-02-01,2020-10-30,
1603:45:16:64:1:16,16,1603:45:16:64:0,1603:45:16:64:1:16,Yangtse,BT016,,,,Bhutan,BT,2019-02-01,2020-10-30,
1603:45:16:64:1:17,17,1603:45:16:64:0,1603:45:16:64:1:17,Trongsa,BT017,,,,Bhutan,BT,2019-02-01,2020-10-30,
1603:45:16:64:1:18,18,1603:45:16:64:0,1603:45:16:64:1:18,Tsirang,BT018,,,,Bhutan,BT,2019-02-01,2020-10-30,
1603:45:16:64:1:19,19,1603:45:16:64:0,1603:45:16:64:1:19,Wangduephodrang,BT019,,,,Bhutan,BT,2019-02-01,2020-10-30,
1603:45:16:64:1:20,20,1603:45:16:64:0,1603:45:16:64:1:20,Zhemgang,BT020,,,,Bhutan,BT,2019-02-01,2020-10-30,
