#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:643:2:1001,1001,1603:45:16:643:0,1603:45:16:643:1:1,1603:45:16:643:2:1001,Belgorod,RU001001,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:1002,1002,1603:45:16:643:0,1603:45:16:643:1:1,1603:45:16:643:2:1002,Bryansk,RU001002,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:1003,1003,1603:45:16:643:0,1603:45:16:643:1:1,1603:45:16:643:2:1003,Ivanovo,RU001003,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:1004,1004,1603:45:16:643:0,1603:45:16:643:1:1,1603:45:16:643:2:1004,Kaluga,RU001004,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:1005,1005,1603:45:16:643:0,1603:45:16:643:1:1,1603:45:16:643:2:1005,Kostroma,RU001005,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:1006,1006,1603:45:16:643:0,1603:45:16:643:1:1,1603:45:16:643:2:1006,Kursk,RU001006,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:1007,1007,1603:45:16:643:0,1603:45:16:643:1:1,1603:45:16:643:2:1007,Lipetsk,RU001007,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:1008,1008,1603:45:16:643:0,1603:45:16:643:1:1,1603:45:16:643:2:1008,Moscow City,RU001008,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:1009,1009,1603:45:16:643:0,1603:45:16:643:1:1,1603:45:16:643:2:1009,Moskva,RU001009,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:1010,1010,1603:45:16:643:0,1603:45:16:643:1:1,1603:45:16:643:2:1010,Orel,RU001010,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:1011,1011,1603:45:16:643:0,1603:45:16:643:1:1,1603:45:16:643:2:1011,Ryazan',RU001011,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:1012,1012,1603:45:16:643:0,1603:45:16:643:1:1,1603:45:16:643:2:1012,Smolensk,RU001012,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:1013,1013,1603:45:16:643:0,1603:45:16:643:1:1,1603:45:16:643:2:1013,Tambov,RU001013,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:1014,1014,1603:45:16:643:0,1603:45:16:643:1:1,1603:45:16:643:2:1014,Tula,RU001014,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:1015,1015,1603:45:16:643:0,1603:45:16:643:1:1,1603:45:16:643:2:1015,Tver',RU001015,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:1016,1016,1603:45:16:643:0,1603:45:16:643:1:1,1603:45:16:643:2:1016,Vladimir,RU001016,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:1017,1017,1603:45:16:643:0,1603:45:16:643:1:1,1603:45:16:643:2:1017,Voronezh,RU001017,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:1018,1018,1603:45:16:643:0,1603:45:16:643:1:1,1603:45:16:643:2:1018,Yaroslavl',RU001018,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:2001,2001,1603:45:16:643:0,1603:45:16:643:1:2,1603:45:16:643:2:2001,Amur,RU002001,,,,Far Eastern,RU002,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:2002,2002,1603:45:16:643:0,1603:45:16:643:1:2,1603:45:16:643:2:2002,Chukot,RU002002,,,,Far Eastern,RU002,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:2003,2003,1603:45:16:643:0,1603:45:16:643:1:2,1603:45:16:643:2:2003,Kamchatka,RU002003,,,,Far Eastern,RU002,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:2004,2004,1603:45:16:643:0,1603:45:16:643:1:2,1603:45:16:643:2:2004,Khabarovsk,RU002004,,,,Far Eastern,RU002,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:2005,2005,1603:45:16:643:0,1603:45:16:643:1:2,1603:45:16:643:2:2005,Maga Buryatdan,RU002005,,,,Far Eastern,RU002,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:2006,2006,1603:45:16:643:0,1603:45:16:643:1:2,1603:45:16:643:2:2006,Primor'ye,RU002006,,,,Far Eastern,RU002,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:2007,2007,1603:45:16:643:0,1603:45:16:643:1:2,1603:45:16:643:2:2007,Sakha,RU002007,,,,Far Eastern,RU002,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:2008,2008,1603:45:16:643:0,1603:45:16:643:1:2,1603:45:16:643:2:2008,Sakhalin,RU002008,,,,Far Eastern,RU002,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:2009,2009,1603:45:16:643:0,1603:45:16:643:1:2,1603:45:16:643:2:2009,Yevrey,RU002009,,,,Far Eastern,RU002,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:3001,3001,1603:45:16:643:0,1603:45:16:643:1:3,1603:45:16:643:2:3001,Chechnya,RU003001,,,,North Caucasus,RU003,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:3002,3002,1603:45:16:643:0,1603:45:16:643:1:3,1603:45:16:643:2:3002,Dagestan,RU003002,,,,North Caucasus,RU003,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:3003,3003,1603:45:16:643:0,1603:45:16:643:1:3,1603:45:16:643:2:3003,Ingush,RU003003,,,,North Caucasus,RU003,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:3004,3004,1603:45:16:643:0,1603:45:16:643:1:3,1603:45:16:643:2:3004,Kabardin-Balkar,RU003004,,,,North Caucasus,RU003,Russian Federation,RU,2022-03-09,2022-03-22,
1603:45:16:643:2:3005,3005,1603:45:16:643:0,1603:45:16:643:1:3,1603:45:16:643:2:3005,Karachay-Cherkess,RU003005,,,,North Caucasus,RU003,Russian Federation,RU,2022-03-09,2022-03-22,
