#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#item+rem+i_tur+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_tur+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_tur+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_tur+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_tur+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:792:2:1001,1001,1603:45:16:792:0,1603:45:16:792:1:1,1603:45:16:792:2:1001,Aladag,Aladağ,TR001001,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:1002,1002,1603:45:16:792:0,1603:45:16:792:1:1,1603:45:16:792:2:1002,Ceyhan,Ceyhan,TR001002,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:1003,1003,1603:45:16:792:0,1603:45:16:792:1:1,1603:45:16:792:2:1003,Cukurova,Çukurova,TR001003,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:1004,1004,1603:45:16:792:0,1603:45:16:792:1:1,1603:45:16:792:2:1004,Feke,Feke,TR001004,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:1005,1005,1603:45:16:792:0,1603:45:16:792:1:1,1603:45:16:792:2:1005,Imamoglu,Imamoğlu,TR001005,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:1006,1006,1603:45:16:792:0,1603:45:16:792:1:1,1603:45:16:792:2:1006,Karaisali,Karaisali,TR001006,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:1007,1007,1603:45:16:792:0,1603:45:16:792:1:1,1603:45:16:792:2:1007,Karatas,Karataş,TR001007,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:1008,1008,1603:45:16:792:0,1603:45:16:792:1:1,1603:45:16:792:2:1008,Kozan,Kozan,TR001008,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:1009,1009,1603:45:16:792:0,1603:45:16:792:1:1,1603:45:16:792:2:1009,Pozanti,Pozanti,TR001009,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:1010,1010,1603:45:16:792:0,1603:45:16:792:1:1,1603:45:16:792:2:1010,Saimbeyli,Saimbeyli,TR001010,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:1011,1011,1603:45:16:792:0,1603:45:16:792:1:1,1603:45:16:792:2:1011,Saricam,Sariçam,TR001011,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:1012,1012,1603:45:16:792:0,1603:45:16:792:1:1,1603:45:16:792:2:1012,Seyhan,Seyhan,TR001012,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:1013,1013,1603:45:16:792:0,1603:45:16:792:1:1,1603:45:16:792:2:1013,Tufanbeyli,Tufanbeyli,TR001013,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:1014,1014,1603:45:16:792:0,1603:45:16:792:1:1,1603:45:16:792:2:1014,Yumurtalik,Yumurtalik,TR001014,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:1015,1015,1603:45:16:792:0,1603:45:16:792:1:1,1603:45:16:792:2:1015,Yuregir,Yüreğir,TR001015,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:2001,2001,1603:45:16:792:0,1603:45:16:792:1:2,1603:45:16:792:2:2001,Adiyaman,Adiyaman,TR002001,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:2002,2002,1603:45:16:792:0,1603:45:16:792:1:2,1603:45:16:792:2:2002,Besni,Besni,TR002002,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:2003,2003,1603:45:16:792:0,1603:45:16:792:1:2,1603:45:16:792:2:2003,Celikhan,Çelikhan,TR002003,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:2004,2004,1603:45:16:792:0,1603:45:16:792:1:2,1603:45:16:792:2:2004,Gerger,Gerger,TR002004,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:2005,2005,1603:45:16:792:0,1603:45:16:792:1:2,1603:45:16:792:2:2005,Golbasi,Gölbaşi,TR002005,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:2006,2006,1603:45:16:792:0,1603:45:16:792:1:2,1603:45:16:792:2:2006,Kahta,Kahta,TR002006,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:2007,2007,1603:45:16:792:0,1603:45:16:792:1:2,1603:45:16:792:2:2007,Samsat,Samsat,TR002007,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:2008,2008,1603:45:16:792:0,1603:45:16:792:1:2,1603:45:16:792:2:2008,Sincik,Sincik,TR002008,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:2009,2009,1603:45:16:792:0,1603:45:16:792:1:2,1603:45:16:792:2:2009,Tut,Tut,TR002009,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:3001,3001,1603:45:16:792:0,1603:45:16:792:1:3,1603:45:16:792:2:3001,Afyonkarahisar,Afyonkarahisar,TR003001,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:3002,3002,1603:45:16:792:0,1603:45:16:792:1:3,1603:45:16:792:2:3002,Basmakci,Başmakçi,TR003002,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:3003,3003,1603:45:16:792:0,1603:45:16:792:1:3,1603:45:16:792:2:3003,Bayat,Bayat,TR003003,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:3004,3004,1603:45:16:792:0,1603:45:16:792:1:3,1603:45:16:792:2:3004,Bolvadin,Bolvadin,TR003004,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:3005,3005,1603:45:16:792:0,1603:45:16:792:1:3,1603:45:16:792:2:3005,Cay,Çay,TR003005,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:3006,3006,1603:45:16:792:0,1603:45:16:792:1:3,1603:45:16:792:2:3006,Cobanlar,Çobanlar,TR003006,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:3007,3007,1603:45:16:792:0,1603:45:16:792:1:3,1603:45:16:792:2:3007,Dazkiri,Dazkiri,TR003007,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:3008,3008,1603:45:16:792:0,1603:45:16:792:1:3,1603:45:16:792:2:3008,Dinar,Dinar,TR003008,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:3009,3009,1603:45:16:792:0,1603:45:16:792:1:3,1603:45:16:792:2:3009,Emirdag,Emirdağ,TR003009,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:3010,3010,1603:45:16:792:0,1603:45:16:792:1:3,1603:45:16:792:2:3010,Evciler,Evciler,TR003010,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:3011,3011,1603:45:16:792:0,1603:45:16:792:1:3,1603:45:16:792:2:3011,Hocalar,Hocalar,TR003011,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:3012,3012,1603:45:16:792:0,1603:45:16:792:1:3,1603:45:16:792:2:3012,Ihsaniye,Ihsaniye,TR003012,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:3013,3013,1603:45:16:792:0,1603:45:16:792:1:3,1603:45:16:792:2:3013,Iscehisar,Iscehisar,TR003013,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:3014,3014,1603:45:16:792:0,1603:45:16:792:1:3,1603:45:16:792:2:3014,Kiziloren,Kizilören,TR003014,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:3015,3015,1603:45:16:792:0,1603:45:16:792:1:3,1603:45:16:792:2:3015,Sandikli,Sandikli,TR003015,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:3016,3016,1603:45:16:792:0,1603:45:16:792:1:3,1603:45:16:792:2:3016,Sinanpasa,Sinanpaşa,TR003016,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:3017,3017,1603:45:16:792:0,1603:45:16:792:1:3,1603:45:16:792:2:3017,Sultandagi,Sultandaği,TR003017,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
