#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+name+i_ara+is_arab,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_ara+is_arab,#adm2+name+alt2+i_ara+is_arab,#adm1+name+i_eng+is_latn,#adm1+name+i_ara+is_arab,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_ara+is_arab,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:729:2:1001,1001,1603:45:16:729:0,1603:45:16:729:1:1,1603:45:16:729:2:1001,Jebel Awlia,جبل أولياء,SD01001,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:1002,1002,1603:45:16:729:0,1603:45:16:729:1:1,1603:45:16:729:2:1002,Um Bada,أمبدة,SD01002,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:1003,1003,1603:45:16:729:0,1603:45:16:729:1:1,1603:45:16:729:2:1003,Bahri,بحري,SD01003,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:1004,1004,1603:45:16:729:0,1603:45:16:729:1:1,1603:45:16:729:2:1004,Sharg An Neel,شرق النيل,SD01004,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:1005,1005,1603:45:16:729:0,1603:45:16:729:1:1,1603:45:16:729:2:1005,Karrari,كرري,SD01005,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:1006,1006,1603:45:16:729:0,1603:45:16:729:1:1,1603:45:16:729:2:1006,Um Durman,أم درمان,SD01006,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:1007,1007,1603:45:16:729:0,1603:45:16:729:1:1,1603:45:16:729:2:1007,Khartoum,الخرطوم,SD01007,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:2113,2113,1603:45:16:729:0,1603:45:16:729:1:2,1603:45:16:729:2:2113,Dar As Salam,دار السلام,SD02113,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:2114,2114,1603:45:16:729:0,1603:45:16:729:1:2,1603:45:16:729:2:2114,Al Fasher,الفاشر,SD02114,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:2116,2116,1603:45:16:729:0,1603:45:16:729:1:2,1603:45:16:729:2:2116,Al Koma,الكومة,SD02116,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:2117,2117,1603:45:16:729:0,1603:45:16:729:1:2,1603:45:16:729:2:2117,Al Malha,المالحة,SD02117,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:2118,2118,1603:45:16:729:0,1603:45:16:729:1:2,1603:45:16:729:2:2118,As Serief,السريف,SD02118,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:2119,2119,1603:45:16:729:0,1603:45:16:729:1:2,1603:45:16:729:2:2119,At Tawisha,الطويشة,SD02119,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:2120,2120,1603:45:16:729:0,1603:45:16:729:1:2,1603:45:16:729:2:2120,Um Baru,أم برو,SD02120,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:2124,2124,1603:45:16:729:0,1603:45:16:729:1:2,1603:45:16:729:2:2124,Kebkabiya,كبكابية,SD02124,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:2126,2126,1603:45:16:729:0,1603:45:16:729:1:2,1603:45:16:729:2:2126,Kelemando,كلمندو,SD02126,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:2128,2128,1603:45:16:729:0,1603:45:16:729:1:2,1603:45:16:729:2:2128,Kutum,كتم,SD02128,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:2129,2129,1603:45:16:729:0,1603:45:16:729:1:2,1603:45:16:729:2:2129,Melit,مليط,SD02129,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:2133,2133,1603:45:16:729:0,1603:45:16:729:1:2,1603:45:16:729:2:2133,Saraf Omra,سرف عمرة,SD02133,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:2136,2136,1603:45:16:729:0,1603:45:16:729:1:2,1603:45:16:729:2:2136,Um Kadadah,أم كدادة,SD02136,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:2168,2168,1603:45:16:729:0,1603:45:16:729:1:2,1603:45:16:729:2:2168,Kernoi,كرنوي,SD02168,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:2169,2169,1603:45:16:729:0,1603:45:16:729:1:2,1603:45:16:729:2:2169,Al Lait,اللعيت,SD02169,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:2170,2170,1603:45:16:729:0,1603:45:16:729:1:2,1603:45:16:729:2:2170,Tawila,طويلة,SD02170,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:2171,2171,1603:45:16:729:0,1603:45:16:729:1:2,1603:45:16:729:2:2171,At Tina,الطينة,SD02171,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:3141,3141,1603:45:16:729:0,1603:45:16:729:1:3,1603:45:16:729:2:3141,Al Radoum,الردوم,SD03141,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:3143,3143,1603:45:16:729:0,1603:45:16:729:1:3,1603:45:16:729:2:3143,Ed Al Fursan,عد الفرسان,SD03143,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:3144,3144,1603:45:16:729:0,1603:45:16:729:1:3,1603:45:16:729:2:3144,Kas,كاس,SD03144,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:3145,3145,1603:45:16:729:0,1603:45:16:729:1:3,1603:45:16:729:2:3145,Mershing,مرشنج,SD03145,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:3146,3146,1603:45:16:729:0,1603:45:16:729:1:3,1603:45:16:729:2:3146,Um Dafoug,أم دافوق,SD03146,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:3147,3147,1603:45:16:729:0,1603:45:16:729:1:3,1603:45:16:729:2:3147,Sharg Aj Jabal,شرق الجبل,SD03147,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:3149,3149,1603:45:16:729:0,1603:45:16:729:1:3,1603:45:16:729:2:3149,Tulus,تلس,SD03149,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:3150,3150,1603:45:16:729:0,1603:45:16:729:1:3,1603:45:16:729:2:3150,Al Wihda,الوحدة,SD03150,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:3151,3151,1603:45:16:729:0,1603:45:16:729:1:3,1603:45:16:729:2:3151,Nitega,نتيقة,SD03151,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:3153,3153,1603:45:16:729:0,1603:45:16:729:1:3,1603:45:16:729:2:3153,Gereida,قريضة,SD03153,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:3154,3154,1603:45:16:729:0,1603:45:16:729:1:3,1603:45:16:729:2:3154,Shattaya,شطاية,SD03154,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:3156,3156,1603:45:16:729:0,1603:45:16:729:1:3,1603:45:16:729:2:3156,As Sunta,السنطة,SD03156,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:3157,3157,1603:45:16:729:0,1603:45:16:729:1:3,1603:45:16:729:2:3157,Kubum,كبم,SD03157,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:3158,3158,1603:45:16:729:0,1603:45:16:729:1:3,1603:45:16:729:2:3158,Rehaid Albirdi,رهيد البردي,SD03158,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:3159,3159,1603:45:16:729:0,1603:45:16:729:1:3,1603:45:16:729:2:3159,Kateila,كتيلا,SD03159,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
