#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_fra+is_latn,#adm1+name+alt2+i_fra+is_latn,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:254:1:1,1,1603:45:16:254:0,1603:45:16:254:1:1,Cayenne,GF1,,,,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:1:2,2,1603:45:16:254:0,1603:45:16:254:1:2,Saint-Laurent-du-Maroni,GF2,,,,Guyane,GF,2020-02-12,2020-02-12,
