#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:562:2:1001,1001,1603:45:16:562:0,1603:45:16:562:1:1,1603:45:16:562:2:1001,Aderbissinat,NE001001,,,,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:1002,1002,1603:45:16:562:0,1603:45:16:562:1:1,1603:45:16:562:2:1002,Arlit,NE001002,,,,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:1003,1003,1603:45:16:562:0,1603:45:16:562:1:1,1603:45:16:562:2:1003,Bilma,NE001003,,,,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:1004,1004,1603:45:16:562:0,1603:45:16:562:1:1,1603:45:16:562:2:1004,Iferouane,NE001004,,,,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:1005,1005,1603:45:16:562:0,1603:45:16:562:1:1,1603:45:16:562:2:1005,Ingall,NE001005,,,,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:1006,1006,1603:45:16:562:0,1603:45:16:562:1:1,1603:45:16:562:2:1006,Tchirozerine,NE001006,,,,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:2001,2001,1603:45:16:562:0,1603:45:16:562:1:2,1603:45:16:562:2:2001,Bosso,NE002001,,,,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:2002,2002,1603:45:16:562:0,1603:45:16:562:1:2,1603:45:16:562:2:2002,Diffa,NE002002,,,,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:2003,2003,1603:45:16:562:0,1603:45:16:562:1:2,1603:45:16:562:2:2003,Goudoumaria,NE002003,,,,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:2004,2004,1603:45:16:562:0,1603:45:16:562:1:2,1603:45:16:562:2:2004,Maine-Soroa,NE002004,,,,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
