qcc-Zxxx-r-aOBO-abfo29-anop-sU2200-s5000-snop-pOBO-pbfo124-ps5001	qcc-Zxxx-r-aOBO-abfo29-anop-sU2200-s5001-snop-pOBO-pbfo124-ps5002-pOBO-pbfo171-ps5000	qcc-Zxxx-r-aOBO-abfo29-anop-sU2200-s5002-snop-pOBO-pbfo124-ps5002-pOBO-pbfo171-ps5001	qcc-Zxxx-r-aOBO-abfo29-anop-sU2200-s1-snop-sU2200-s5003-snop-pOBO-pbfo124-ps5003-pOBO-pbfo171-ps5002	por-Latn-r-pSKOS-pprefLabel-ps5000	por-Latn-r-pSKOS-pprefLabel-ps5001	por-Latn-r-pSKOS-pprefLabel-ps5002	por-Latn-r-pSKOS-pprefLabel-ps5003
1603:45:16:76:0	1603:45:16:76:1:31	1603:45:16:76:2:3106200		Brasil	Minas Gerais	Belo Horizonte	
1603:45:16:24:0	1603:45:16:24:1:7	1603:45:16:24:2:7060	1603:45:16:24:3:7060201	Angola	Cuanza Sul	Sumbe (Ngangula)	Kikombo
