qcc-Zxxx-r-sU2200-s1-snop	qcc-Zxxx-r-sU2203-s2-snop-yU001D-yu007c-ynop-yU0002-yunescothes-ynop	qcc-Zxxx-r-pSKOS-pbroader-ps2-sU0001D53B-s2-snop-yU001D-yu007c-ynop-yU0002-yunescothes-ynop	qcc-Zxxx-r-pSKOS-pnarrower-ps2-yU001D-yu007c-ynop-yU0002-yunescothes-ynop	qcc-Zxxx-r-pSKOS-prelated-ps2-yU001D-yu007c-ynop-yU0002-yunescothes-ynop	rus-Cyrl-r-pSKOS-pprefLabel-ps1	arb-Arab-r-pSKOS-pprefLabel-ps1	spa-Latn-r-pSKOS-pprefLabel-ps1	qcc-Zxxx-r-pDCT-pmodified-pnop-txsd-tdatetime-tnop
1603:999:9	concept9			concept10	Политика в области образования	سياسة تربوية	Política educacional	2019-12-15T22:36:40Z
1603:999:10	concept10		concept4938|concept7597	concept9	Право на образование	حق في التعليم	Derecho a la educación	2019-12-15T13:26:49Z
1603:999:4938	concept4938	concept10		concept10	Возможности получения образования	فرص تربوية	Oportunidades educacionales	2019-12-15T22:36:42Z
