#item+conceptum+codicem	#item+rem+i_qcc+is_zxxx+ix_wikiq	#item+rem+i_qcc+is_zxxx+ix_wikip17	#item+rem+i_qcc+is_zxxx+ix_wikip131	#item+rem+i_qcc+is_zxxx+ix_wikip402	#item+rem+i_qcc+is_zxxx+ix_wikip1566	#item+rem+i_qcc+is_zxxx+ix_wikip1585	#item+rem+i_qcc+is_zxxx+ix_wikip1937	#item+rem+i_qcc+is_zxxx+ix_wikip6555	#item+rem+i_qcc+is_zxxx+ix_wikip8119
3304557	Q8678	Q155	Q41428	2697338	3451190	3304557	BRRIO	60011	BR.RJ.RJ
5300108	Q2844	Q155	Q119158	2758138	3469058	5300108		97012	
