#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_spa+is_latn,#adm1+name+alt2+i_spa+is_latn,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:630:1:1,1,Adjuntas,PR01,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:2,2,Aguada,PR02,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:3,3,Aguadilla,PR03,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:4,4,Aguas Buenas,PR04,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:5,5,Aibonito,PR05,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:6,6,Añasco,PR06,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:7,7,Arecibo,PR07,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:8,8,Arroyo,PR08,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:9,9,Barceloneta,PR09,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:10,10,Barranquitas,PR10,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:11,11,Bayamón,PR11,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:12,12,Cabo Rojo,PR12,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:13,13,Caguas,PR13,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:14,14,Camuy,PR14,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:15,15,Canóvanas,PR15,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:16,16,Carolina,PR16,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:17,17,Cataño,PR17,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:18,18,Cayey,PR18,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:19,19,Ceiba,PR19,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:20,20,Ciales,PR20,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:21,21,Cidra,PR21,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:22,22,Coamo,PR22,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:23,23,Comerío,PR23,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:24,24,Corozal,PR24,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:25,25,Culebra,PR25,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:26,26,Dorado,PR26,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:27,27,Fajardo,PR27,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:28,28,Florida,PR28,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:29,29,Guánica,PR29,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:30,30,Guayama,PR30,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:31,31,Guayanilla,PR31,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:32,32,Guaynabo,PR32,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:33,33,Gurabo,PR33,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:34,34,Hatillo,PR34,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:35,35,Hormigueros,PR35,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:36,36,Humacao,PR36,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:37,37,Isabela,PR37,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:38,38,Jayuya,PR38,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:39,39,Juana Díaz,PR39,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:40,40,Juncos,PR40,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:41,41,Lajas,PR41,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:42,42,Lares,PR42,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:43,43,Las Marías,PR43,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:44,44,Las Piedras,PR44,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:45,45,Loíza,PR45,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:46,46,Luquillo,PR46,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:47,47,Manatí,PR47,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:48,48,Maricao,PR48,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:49,49,Maunabo,PR49,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:50,50,Mayagüez,PR50,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:51,51,Moca,PR51,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:52,52,Morovis,PR52,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:53,53,Naguabo,PR53,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
1603:45:16:630:1:54,54,Naranjito,PR54,,,,Puerto Rico,PR,2017-09-06,2019-11-08,
