#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:72:3:80131,80131,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:801,1603:45:16:72:3:80131,Mogonye,BW080131,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80132,80132,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:801,1603:45:16:72:3:80132,Betesankwe,BW080132,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80201,80201,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80201,Pitsane Siding,BW080201,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80202,80202,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80202,Tlhareseleele,BW080202,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80203,80203,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80203,Pitsana-Potokwe,BW080203,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80204,80204,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80204,Rakhuna,BW080204,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80205,80205,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80205,Malokaganyane,BW080205,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80206,80206,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80206,Bethel,BW080206,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80207,80207,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80207,Dinatshana,BW080207,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80208,80208,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80208,Ngwatsau,BW080208,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80209,80209,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80209,Ramatlabama,BW080209,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80210,80210,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80210,Good Hope,BW080210,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80211,80211,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80211,Mokatako,BW080211,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80212,80212,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80212,Tswanyaneng,BW080212,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80213,80213,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80213,Metlojane,BW080213,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80214,80214,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80214,Borobadilepe,BW080214,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80215,80215,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80215,Hebron,BW080215,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80216,80216,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80216,Logagane,BW080216,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80217,80217,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80217,Tswagare/Lothoje/Lokalana,BW080217,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80218,80218,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80218,Makokwe,BW080218,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80219,80219,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80219,Marojane,BW080219,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80220,80220,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80220,Papatlo,BW080220,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80221,80221,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80221,Phihitshwane,BW080221,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80222,80222,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80222,Molete,BW080222,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
