#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:72:3:80304,80304,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:803,1603:45:16:72:3:80304,Khonkhwa,BW080304,,,,Ngwaketse West,BW0803,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80305,80305,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:803,1603:45:16:72:3:80305,Keng,BW080305,,,,Ngwaketse West,BW0803,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80306,80306,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:803,1603:45:16:72:3:80306,Khakhea,BW080306,,,,Ngwaketse West,BW0803,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80307,80307,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:803,1603:45:16:72:3:80307,Kokong,BW080307,,,,Ngwaketse West,BW0803,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80308,80308,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:803,1603:45:16:72:3:80308,Kanaku,BW080308,,,,Ngwaketse West,BW0803,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80309,80309,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:803,1603:45:16:72:3:80309,Mahotshwane,BW080309,,,,Ngwaketse West,BW0803,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80310,80310,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:803,1603:45:16:72:3:80310,Itholoke,BW080310,,,,Ngwaketse West,BW0803,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80311,80311,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:803,1603:45:16:72:3:80311,Kutuku,BW080311,,,,Ngwaketse West,BW0803,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:90101,90101,1603:45:16:72:0,1603:45:16:72:1:9,1603:45:16:72:2:901,1603:45:16:72:3:90101,Otse,BW090101,,,,South East,BW0901,South East,BW09,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:90102,90102,1603:45:16:72:0,1603:45:16:72:1:9,1603:45:16:72:2:901,1603:45:16:72:3:90102,Ramotswa Station/Taung,BW090102,,,,South East,BW0901,South East,BW09,Botswana,BW,2021-05-18,2021-05-18,
