#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_eng+is_latn,#adm2+name+i_fra+is_latn,#adm2+name+i_hat+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm2+name+alt1+i_hat+is_latn,#adm2+name+alt2+i_hat+is_latn,#adm1+name+i_eng+is_latn,#adm1+name+i_fra+is_latn,#adm1+name+i_hat+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_fra+is_latn,#country+name+i_hat+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:332:2:111,111,Port-au-Prince,Port-au-Prince,,HT0111,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:112,112,Delmas,Delmas,,HT0112,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:113,113,Carrefour,Carrefour,,HT0113,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:114,114,Petion-Ville,Pétion-Ville,,HT0114,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:115,115,Kenscoff,Kenscoff,,HT0115,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:116,116,Gressier,Gressier,,HT0116,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:117,117,Cite Soleil,Cité Soleil,,HT0117,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:118,118,Tabarre,Tabarre,,HT0118,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:121,121,Leogane,Léogâne,,HT0121,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:122,122,Petit-Goave,Petit-Goâve,,HT0122,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:123,123,Grand-Goave,Grand-Goâve,,HT0123,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:131,131,Croix-Des-Bouquets,Croix-Des-Bouquets,,HT0131,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:132,132,Thomazeau,Thomazeau,,HT0132,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:133,133,Ganthier,Ganthier,,HT0133,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:134,134,Cornillon / Grand Bois,Cornillon / Grand Bois,,HT0134,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:135,135,Fonds-Verrettes,Fonds-Verrettes,,HT0135,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:141,141,Arcahaie,Arcahaie,,HT0141,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:142,142,Cabaret,Cabaret,,HT0142,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:151,151,Anse a Galets,Anse à Galets,,HT0151,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:152,152,Pointe a Raquette,Pointe à Raquette,,HT0152,,,,,,,,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:211,211,Jacmel,Jacmel,,HT0211,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:212,212,Marigot,Marigot,,HT0212,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:213,213,Cayes-Jacmel,Cayes-Jacmel,,HT0213,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:214,214,La Vallee,La Vallée,,HT0214,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:221,221,Bainet,Bainet,,HT0221,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:222,222,Cotes de Fer,Côtes de Fer,,HT0222,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:231,231,Belle Anse,Belle Anse,,HT0231,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:232,232,Grand Gosier,Grand Gosier,,HT0232,,,,,,,,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
