#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:178:1:1,1,1603:45:16:178:0,1603:45:16:178:1:1,Bouenza,CG01,,,,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:1:2,2,1603:45:16:178:0,1603:45:16:178:1:2,Brazzaville,CG02,,,,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:1:3,3,1603:45:16:178:0,1603:45:16:178:1:3,Cuvette,CG03,,,,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:1:4,4,1603:45:16:178:0,1603:45:16:178:1:4,Cuvette-Ouest,CG04,,,,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:1:5,5,1603:45:16:178:0,1603:45:16:178:1:5,Kouilou,CG05,,,,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:1:6,6,1603:45:16:178:0,1603:45:16:178:1:6,Lekoumou,CG06,,,,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:1:7,7,1603:45:16:178:0,1603:45:16:178:1:7,Likouala,CG07,,,,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:1:8,8,1603:45:16:178:0,1603:45:16:178:1:8,Niari,CG08,,,,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:1:9,9,1603:45:16:178:0,1603:45:16:178:1:9,Plateaux,CG09,,,,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:1:10,10,1603:45:16:178:0,1603:45:16:178:1:10,Point-Noire,CG10,,,,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:1:11,11,1603:45:16:178:0,1603:45:16:178:1:11,Pool,CG11,,,,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:1:12,12,1603:45:16:178:0,1603:45:16:178:1:12,Sangha,CG12,,,,Congo (le),CG,2017-07-06,2021-12-31,
