qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,fra-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:178:1:1,1,1603:45:16:178:0,1603:45:16:178:1:1,Bouenza,CG01,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:1:2,2,1603:45:16:178:0,1603:45:16:178:1:2,Brazzaville,CG02,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:1:3,3,1603:45:16:178:0,1603:45:16:178:1:3,Cuvette,CG03,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:1:4,4,1603:45:16:178:0,1603:45:16:178:1:4,Cuvette-Ouest,CG04,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:1:5,5,1603:45:16:178:0,1603:45:16:178:1:5,Kouilou,CG05,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:1:6,6,1603:45:16:178:0,1603:45:16:178:1:6,Lekoumou,CG06,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:1:7,7,1603:45:16:178:0,1603:45:16:178:1:7,Likouala,CG07,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:1:8,8,1603:45:16:178:0,1603:45:16:178:1:8,Niari,CG08,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:1:9,9,1603:45:16:178:0,1603:45:16:178:1:9,Plateaux,CG09,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:1:10,10,1603:45:16:178:0,1603:45:16:178:1:10,Point-Noire,CG10,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:1:11,11,1603:45:16:178:0,1603:45:16:178:1:11,Pool,CG11,Congo (le),CG,2017-07-06,2021-12-31,
1603:45:16:178:1:12,12,1603:45:16:178:0,1603:45:16:178:1:12,Sangha,CG12,Congo (le),CG,2017-07-06,2021-12-31,
