#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:496:2:1101,1101,1603:45:16:496:0,1603:45:16:496:1:11,1603:45:16:496:2:1101,Baganuur,Багануур,MN1101,,,,,,Ulaanbaatar,Улаанбаатар,MN11,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:1104,1104,1603:45:16:496:0,1603:45:16:496:1:11,1603:45:16:496:2:1104,Bagaxangai,Багахангай,MN1104,,,,,,Ulaanbaatar,Улаанбаатар,MN11,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:1107,1107,1603:45:16:496:0,1603:45:16:496:1:11,1603:45:16:496:2:1107,Bayangol,Баянгол,MN1107,,,,,,Ulaanbaatar,Улаанбаатар,MN11,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:1110,1110,1603:45:16:496:0,1603:45:16:496:1:11,1603:45:16:496:2:1110,Bayanzu'rx,Баянзүрх,MN1110,Bayanzurx,,,,,Ulaanbaatar,Улаанбаатар,MN11,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:1113,1113,1603:45:16:496:0,1603:45:16:496:1:11,1603:45:16:496:2:1113,Nalaix,Налайх,MN1113,,,,,,Ulaanbaatar,Улаанбаатар,MN11,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:1116,1116,1603:45:16:496:0,1603:45:16:496:1:11,1603:45:16:496:2:1116,Songinoxairxan,Сонгинохайрхан,MN1116,,,,,,Ulaanbaatar,Улаанбаатар,MN11,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:1119,1119,1603:45:16:496:0,1603:45:16:496:1:11,1603:45:16:496:2:1119,Su'xbaatar,Сүхбаатар,MN1119,Suxbaatar,,,,,Ulaanbaatar,Улаанбаатар,MN11,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:1122,1122,1603:45:16:496:0,1603:45:16:496:1:11,1603:45:16:496:2:1122,Xan-Uul,Хан-Уул,MN1122,,,,,,Ulaanbaatar,Улаанбаатар,MN11,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:1125,1125,1603:45:16:496:0,1603:45:16:496:1:11,1603:45:16:496:2:1125,Chingeltei,Чингэлтэй,MN1125,,,,,,Ulaanbaatar,Улаанбаатар,MN11,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2101,2101,1603:45:16:496:0,1603:45:16:496:1:21,1603:45:16:496:2:2101,Herlen,Хэрлэн,MN2101,,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2104,2104,1603:45:16:496:0,1603:45:16:496:1:21,1603:45:16:496:2:2104,Bayandun,Баяндун,MN2104,,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2107,2107,1603:45:16:496:0,1603:45:16:496:1:21,1603:45:16:496:2:2107,Bayantu'men,Баянтүмэн,MN2107,Bayantumen,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2110,2110,1603:45:16:496:0,1603:45:16:496:1:21,1603:45:16:496:2:2110,Bayan-Uul,Баян-Уул,MN2110,,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2113,2113,1603:45:16:496:0,1603:45:16:496:1:21,1603:45:16:496:2:2113,Bulgan,Булган,MN2113,,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2116,2116,1603:45:16:496:0,1603:45:16:496:1:21,1603:45:16:496:2:2116,Gurvanzagal,Гурванзагал,MN2116,,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2119,2119,1603:45:16:496:0,1603:45:16:496:1:21,1603:45:16:496:2:2119,Dashbalbar,Дашбалбар,MN2119,,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2122,2122,1603:45:16:496:0,1603:45:16:496:1:21,1603:45:16:496:2:2122,Matad,Матад,MN2122,,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2125,2125,1603:45:16:496:0,1603:45:16:496:1:21,1603:45:16:496:2:2125,Sergelen,Сэргэлэн,MN2125,,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2128,2128,1603:45:16:496:0,1603:45:16:496:1:21,1603:45:16:496:2:2128,Xalx gol,Халхгол,MN2128,,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2131,2131,1603:45:16:496:0,1603:45:16:496:1:21,1603:45:16:496:2:2131,Xo'lonbuir,Хөлөнбуйр,MN2131,Xolonbuir,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2134,2134,1603:45:16:496:0,1603:45:16:496:1:21,1603:45:16:496:2:2134,Cagaan-Ovoo,Цагаан-Овоо,MN2134,,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2137,2137,1603:45:16:496:0,1603:45:16:496:1:21,1603:45:16:496:2:2137,Choibalsan,Чойбалсан,MN2137,,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2140,2140,1603:45:16:496:0,1603:45:16:496:1:21,1603:45:16:496:2:2140,Chuluunxoroot,Чулуунхороот,MN2140,,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2201,2201,1603:45:16:496:0,1603:45:16:496:1:22,1603:45:16:496:2:2201,Baruun-Urt,Баруун-Урт,MN2201,,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2204,2204,1603:45:16:496:0,1603:45:16:496:1:22,1603:45:16:496:2:2204,Asgat,Асгат,MN2204,,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2207,2207,1603:45:16:496:0,1603:45:16:496:1:22,1603:45:16:496:2:2207,Bayandelger,Баяндэлгэр,MN2207,,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2210,2210,1603:45:16:496:0,1603:45:16:496:1:22,1603:45:16:496:2:2210,Dariganga,Дарьганга,MN2210,,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2213,2213,1603:45:16:496:0,1603:45:16:496:1:22,1603:45:16:496:2:2213,Mo'nxxaan,Мөнххаан,MN2213,Monxxaan,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2216,2216,1603:45:16:496:0,1603:45:16:496:1:22,1603:45:16:496:2:2216,Naran,Наран,MN2216,,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2219,2219,1603:45:16:496:0,1603:45:16:496:1:22,1603:45:16:496:2:2219,Ongon,Онгон,MN2219,,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2222,2222,1603:45:16:496:0,1603:45:16:496:1:22,1603:45:16:496:2:2222,Su'xbaatar,Сүхбаатар,MN2222,Suxbaatar,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2225,2225,1603:45:16:496:0,1603:45:16:496:1:22,1603:45:16:496:2:2225,Tu'vshinshiree,Түвшинширээ,MN2225,Tuvshinshiree,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2228,2228,1603:45:16:496:0,1603:45:16:496:1:22,1603:45:16:496:2:2228,Tu'mencogt,Түмэнцогт,MN2228,Tumencogt,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2231,2231,1603:45:16:496:0,1603:45:16:496:1:22,1603:45:16:496:2:2231,Uulbayan,Уулбаян,MN2231,,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2234,2234,1603:45:16:496:0,1603:45:16:496:1:22,1603:45:16:496:2:2234,Xalzan,Халзан,MN2234,,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2237,2237,1603:45:16:496:0,1603:45:16:496:1:22,1603:45:16:496:2:2237,Erdenecagaan,Эрдэнэцагаан,MN2237,,,,,,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2301,2301,1603:45:16:496:0,1603:45:16:496:1:23,1603:45:16:496:2:2301,Xerlen,Хэрлэн,MN2301,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2304,2304,1603:45:16:496:0,1603:45:16:496:1:23,1603:45:16:496:2:2304,Batnorov,Батноров,MN2304,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2307,2307,1603:45:16:496:0,1603:45:16:496:1:23,1603:45:16:496:2:2307,Batshireet,Батширээт,MN2307,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2310,2310,1603:45:16:496:0,1603:45:16:496:1:23,1603:45:16:496:2:2310,Bayan-Adraga,Баян-Адарга,MN2310,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2313,2313,1603:45:16:496:0,1603:45:16:496:1:23,1603:45:16:496:2:2313,Bayanmo'nx,Баянмөнх,MN2313,Bayanmonx,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2316,2316,1603:45:16:496:0,1603:45:16:496:1:23,1603:45:16:496:2:2316,Bayan-Ovoo,Баян-Овоо,MN2316,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2319,2319,1603:45:16:496:0,1603:45:16:496:1:23,1603:45:16:496:2:2319,Bayanxutag,Баянхутаг,MN2319,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2322,2322,1603:45:16:496:0,1603:45:16:496:1:23,1603:45:16:496:2:2322,Binder,Биндэр,MN2322,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2325,2325,1603:45:16:496:0,1603:45:16:496:1:23,1603:45:16:496:2:2325,Galshir,Галшар,MN2325,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2020-10-26,2021-02-11,
