#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:404:1:1,1,Mombasa,KE001,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:2,2,Kwale,KE002,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:3,3,Kilifi,KE003,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:4,4,Tana River,KE004,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:5,5,Lamu,KE005,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:6,6,Taita Taveta,KE006,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:7,7,Garissa,KE007,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:8,8,Wajir,KE008,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:9,9,Mandera,KE009,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:10,10,Marsabit,KE010,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:11,11,Isiolo,KE011,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:12,12,Meru,KE012,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:13,13,Tharaka-Nithi,KE013,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:14,14,Embu,KE014,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:15,15,Kitui,KE015,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:16,16,Machakos,KE016,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:17,17,Makueni,KE017,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:18,18,Nyandarua,KE018,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:19,19,Nyeri,KE019,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:20,20,Kirinyaga,KE020,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:21,21,Murang'a,KE021,Muranga,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:22,22,Kiambu,KE022,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:23,23,Turkana,KE023,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:24,24,West Pokot,KE024,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:25,25,Samburu,KE025,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:26,26,Trans Nzoia,KE026,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:27,27,Uasin Gishu,KE027,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:28,28,Elgeyo-Marakwet,KE028,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:29,29,Nandi,KE029,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:30,30,Baringo,KE030,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:31,31,Laikipia,KE031,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:32,32,Nakuru,KE032,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:33,33,Narok,KE033,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:34,34,Kajiado,KE034,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:35,35,Kericho,KE035,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:36,36,Bomet,KE036,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:37,37,Kakamega,KE037,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:38,38,Vihiga,KE038,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:39,39,Bungoma,KE039,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:40,40,Busia,KE040,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:41,41,Siaya,KE041,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:42,42,Kisumu,KE042,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:43,43,Homa Bay,KE043,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:44,44,Migori,KE044,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:45,45,Kisii,KE045,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:46,46,Nyamira,KE046,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:47,47,Nairobi,KE047,,,,Kenya,KE,2018-07-03,2021-09-28,
