#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:404:1:1,1,1603:45:16:404:0,1603:45:16:404:1:1,Mombasa,KE001,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:2,2,1603:45:16:404:0,1603:45:16:404:1:2,Kwale,KE002,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:3,3,1603:45:16:404:0,1603:45:16:404:1:3,Kilifi,KE003,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:4,4,1603:45:16:404:0,1603:45:16:404:1:4,Tana River,KE004,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:5,5,1603:45:16:404:0,1603:45:16:404:1:5,Lamu,KE005,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:6,6,1603:45:16:404:0,1603:45:16:404:1:6,Taita Taveta,KE006,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:7,7,1603:45:16:404:0,1603:45:16:404:1:7,Garissa,KE007,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:8,8,1603:45:16:404:0,1603:45:16:404:1:8,Wajir,KE008,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:9,9,1603:45:16:404:0,1603:45:16:404:1:9,Mandera,KE009,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:10,10,1603:45:16:404:0,1603:45:16:404:1:10,Marsabit,KE010,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:11,11,1603:45:16:404:0,1603:45:16:404:1:11,Isiolo,KE011,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:12,12,1603:45:16:404:0,1603:45:16:404:1:12,Meru,KE012,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:13,13,1603:45:16:404:0,1603:45:16:404:1:13,Tharaka-Nithi,KE013,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:14,14,1603:45:16:404:0,1603:45:16:404:1:14,Embu,KE014,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:15,15,1603:45:16:404:0,1603:45:16:404:1:15,Kitui,KE015,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:16,16,1603:45:16:404:0,1603:45:16:404:1:16,Machakos,KE016,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:17,17,1603:45:16:404:0,1603:45:16:404:1:17,Makueni,KE017,,,,Kenya,KE,2018-07-03,2021-09-28,
