Codicem,/Educated guess on comprehensibility (1-100) of concept/,/Educated guess on stability (1-100) of local identifier if dictionary still in use in a century/,Unique identifier (Latin script),Normalized CSV-like identifier; suffix affinity (lat: suffīxum),HXL Standard attribute,Significātum in Lingua Latina,Wikidata QID; language,Wikidata Q Code for writting system,Wikidata Language ID,Glottocode Langoid,Glottolog IRI,ISO 639-3 a3,ISO 639-3 a3 IRI,Cōdex factō,Cōdex factō; meta,q
#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_uid,#item+rem+i_qcc+is_zxxx+ix_csvsffxm,#item+rem+i_qcc+is_zxxx+ix_hxla,#item+rem+i_lat+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikiq+ix_linguam,#item+rem+i_qcc+is_zxxx+ix_wikiq+ix_scriptum,#item+rem+i_qcc+is_zxxx+ix_wikilngm,#item+rem+i_qcc+is_zxxx+ix_glottocode,#meta+rem+i_qcc+is_zxxx+ix_glottocode,#item+rem+i_qcc+is_zxxx+ix_iso639p3a3,#meta+rem+i_qcc+is_zxxx+ix_iso639p3a3,#item+rem+i_qcc+is_zxxx+ix_codexfacto,#meta+rem+i_qcc+is_zxxx+ix_codexfacto,
0_1603_1_7_2616_50,11,11,,,,,,,,,,,,Multiplicēs scrīptōribus,,
0_1603_1_7_2616_123,11,11,,,,,,,,,,,,EticaAI,,
0_1603_1_7_2616_2479,11,11,,,,,,,,,,,,CC0-1.0,Creative Commons Zero v1.0 Universal,
0_1603_1_7_2616_577,11,11,,,,,,,,,,,,2022-01-01,,
0_1603_1_7_2616_854,11,11,,,,,,,,,,,,https://github.com/EticaAI/multilingual-lexicography/issues/9,,
1,60,25,qcc-Zxxx,__i_qcc__is_zxxx,+i_qcc+is_zxxx,Conceptus cōdicī (Non scrīptum linguae),,,,,,,,,,
10,60,25,mul-Zyyy,__i_mul__is_zyyy,+i_mul+is_zyyy,Linguae multiplīs (Scrīptum incognitō),,,,,,mul,,,,
11,60,19,ara-Arab,__i_ara__is_arab,+i_ara+is_arab,Macrolingua Arabica (Abecedarium Arabicum),Q13955,Q8196,ar,arab1395,https://glottolog.org/resource/languoid/id/arab1395,ara,https://iso639-3.sil.org/code/ara,,,
12,60,19,hye-Armn,__i_hye__is_armn,+i_hye+is_armn,Lingua Armenia (Alphabetum Armenium),Q8785,Q11932,hy,nucl1235,https://glottolog.org/resource/languoid/id/nucl1235,hye,https://iso639-3.sil.org/code/hye,,,
13,90,19,ben-Beng,__i_ben__is_beng,+i_ben+is_beng,Lingua Bengali (/ISO 15924 Beng/),Q9610,Q756802,bn,beng1280,https://glottolog.org/resource/languoid/id/beng1280,ben,https://iso639-3.sil.org/code/ben,,,
14,60,19,rus-Cyrl,__i_rus__is_cyrl,+i_rus+is_cyrl,Lingua Russica (Abecedarium Cyrillicum),Q7737,Q8209,ru,russ1263,https://glottolog.org/resource/languoid/id/russ1263,rus,https://iso639-3.sil.org/code/rus,,,
15,60,19,hin-Deva,__i_hin__is_deva,+i_hin+is_deva,Lingua Hindica (Devanāgarī),Q1568,Q38592,hi,hind1269,https://glottolog.org/resource/languoid/id/hind1269,hin,https://iso639-3.sil.org/code/hin,,,
16,60,19,amh-Ethi,__i_amh__is_ethi,+i_amh+is_ethi,Lingua Amharica (/ISO 15924 Ethi/),Q28244,Q257634,am,amha1245,https://glottolog.org/resource/languoid/id/amha1245,amh,https://iso639-3.sil.org/code/amh,,,
17,60,19,kat-Geor,__i_kat__is_geor,+i_kat+is_geor,Lingua Georgiana (Abecedarium Georgianum),Q8108,Q161428,ka,nucl1302,https://glottolog.org/resource/languoid/id/nucl1302,kat,https://iso639-3.sil.org/code/kat,,,
18,90,19,grc-Grek,__i_grc__is_grek,+i_grc+is_grek,Lingua Graeca antiqua (Alphabetum Graecum),Q35497,Q8216,grc,anci1242,https://glottolog.org/resource/languoid/id/anci1242,grc,https://iso639-3.sil.org/code/grc,,,
19,90,19,guj-Gujr,__i_guj__is_gujr,+i_guj+is_gujr,Lingua Gujaratensis (/ISO 15924 Gujr/),Q5137,Q733944,gu,guja1252,https://glottolog.org/resource/languoid/id/guja1252,guj,https://iso639-3.sil.org/code/guj,,,
20,60,19,pan-Guru,__i_pan__is_guru,+i_pan+is_guru,Lingua Paniabica (/ISO 15924 Guru/),Q58635,Q689894,pa,panj1256,https://glottolog.org/resource/languoid/id/panj1256,pan,https://iso639-3.sil.org/code/pan,,,
21,60,19,kan-Knda,__i_kan__is_knda,+i_kan+is_knda,Lingua Cannadica (/ISO 15924 Knda/),Q33673,Q839666,kn,nucl1305,https://glottolog.org/resource/languoid/id/nucl1305,kan,https://iso639-3.sil.org/code/kan,,,
22,60,19,kor-Hang,__i_kor__is_hang,+i_kor+is_hang,Lingua Coreana (Abecedarium Coreanum),Q9176,Q8222,ko,kore1280,https://glottolog.org/resource/languoid/id/kore1280,kor,https://iso639-3.sil.org/code/kor,,,
23,90,19,lzh-Hant,__i_lzh__is_hant,+i_lzh+is_hant,Lingua Sinica classica (/ISO 15924 Hant/),Q37041,Q178528,lzh,lite1248,https://glottolog.org/resource/languoid/id/lite1248,lzh,https://iso639-3.sil.org/code/lzh,,,
24,60,19,heb-Hebr,__i_heb__is_hebr,+i_heb+is_hebr,Lingua Hebraica (Alphabetum Hebraicum),Q9288,Q33513,he,hebr1245,https://glottolog.org/resource/languoid/id/hebr1245,heb,https://iso639-3.sil.org/code/heb,,,
25,60,19,khm-Khmr,__i_khm__is_khmr,+i_khm+is_khmr,Lingua Khmer (/ISO 15924 Khmr/),Q9205,Q1054190,km,cent1989,https://glottolog.org/resource/languoid/id/cent1989,khm,https://iso639-3.sil.org/code/khm,,,
26,60,19,lao-Laoo,__i_lao__is_laoo,+i_lao+is_laoo,/Lao language/ (/ISO 15924 Laoo/),Q9211,Q1815229,lo,laoo1244,https://glottolog.org/resource/languoid/id/laoo1244,lao,https://iso639-3.sil.org/code/lao,,,
27,90,19,lat-Latn,__i_lat__is_latn,+i_lat+is_latn,Lingua Latina (Abecedarium Latinum),Q397,Q8229,la,lati1261,https://glottolog.org/resource/languoid/id/lati1261,lat,https://iso639-3.sil.org/code/lat,,,
28,60,19,mni-Mtei,__i_mni__is_mtei,+i_mni+is_mtei,Lingua Meitei (/ISO 15924 Mtei/),Q33868,Q2981413,mni,mani1292,https://glottolog.org/resource/languoid/id/mani1292,mni,https://iso639-3.sil.org/code/mni,,,
29,60,19,mnw-Mymr,__i_mnw__is_mymr,+i_mnw+is_mymr,/Mon language/ (/ISO 15924 Mymr/),Q13349,Q43887939,mnw,monn1252,https://glottolog.org/resource/languoid/id/monn1252,mnw,https://iso639-3.sil.org/code/mnw,,,
30,60,19,nqo-Nkoo,__i_nqo__is_nkoo,+i_nqo+is_nkoo,/N'Ko/ (/ISO 15924 Nkoo/),Q18546266,Q1062587,nqo,nkoa1234,https://glottolog.org/resource/languoid/id/nkoa1234,nqo,https://iso639-3.sil.org/code/nqo,,,
31,60,19,sat-Olck,__i_sat__is_olck,+i_sat+is_olck,Lingua Santali (/ISO 15924 Olck/),Q33965,Q201688,sat,sant1410,https://glottolog.org/resource/languoid/id/sant1410,sat,https://iso639-3.sil.org/code/sat,,,
