#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:204:2:101,101,1603:45:16:204:0,1603:45:16:204:1:1,1603:45:16:204:2:101,Banikoara,BJ0101,,,,Alibori,BJ01,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:102,102,1603:45:16:204:0,1603:45:16:204:1:1,1603:45:16:204:2:102,Gogounou,BJ0102,,,,Alibori,BJ01,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:103,103,1603:45:16:204:0,1603:45:16:204:1:1,1603:45:16:204:2:103,Kandi,BJ0103,,,,Alibori,BJ01,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:104,104,1603:45:16:204:0,1603:45:16:204:1:1,1603:45:16:204:2:104,Karimama,BJ0104,,,,Alibori,BJ01,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:105,105,1603:45:16:204:0,1603:45:16:204:1:1,1603:45:16:204:2:105,Malanville,BJ0105,,,,Alibori,BJ01,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:106,106,1603:45:16:204:0,1603:45:16:204:1:1,1603:45:16:204:2:106,Segbana,BJ0106,,,,Alibori,BJ01,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:201,201,1603:45:16:204:0,1603:45:16:204:1:2,1603:45:16:204:2:201,Boukoumbe,BJ0201,,,,Atakora,BJ02,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:202,202,1603:45:16:204:0,1603:45:16:204:1:2,1603:45:16:204:2:202,Kerou,BJ0202,,,,Atakora,BJ02,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:203,203,1603:45:16:204:0,1603:45:16:204:1:2,1603:45:16:204:2:203,Kobli,BJ0203,,,,Atakora,BJ02,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:204,204,1603:45:16:204:0,1603:45:16:204:1:2,1603:45:16:204:2:204,Kouande,BJ0204,,,,Atakora,BJ02,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:205,205,1603:45:16:204:0,1603:45:16:204:1:2,1603:45:16:204:2:205,Materi,BJ0205,,,,Atakora,BJ02,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:206,206,1603:45:16:204:0,1603:45:16:204:1:2,1603:45:16:204:2:206,Natitingou,BJ0206,,,,Atakora,BJ02,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:207,207,1603:45:16:204:0,1603:45:16:204:1:2,1603:45:16:204:2:207,Pehunco,BJ0207,,,,Atakora,BJ02,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:208,208,1603:45:16:204:0,1603:45:16:204:1:2,1603:45:16:204:2:208,Tanguieta,BJ0208,,,,Atakora,BJ02,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:209,209,1603:45:16:204:0,1603:45:16:204:1:2,1603:45:16:204:2:209,Toukountouna,BJ0209,,,,Atakora,BJ02,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:301,301,1603:45:16:204:0,1603:45:16:204:1:3,1603:45:16:204:2:301,Abomey-calavi,BJ0301,,,,Atlantique,BJ03,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:302,302,1603:45:16:204:0,1603:45:16:204:1:3,1603:45:16:204:2:302,Allada,BJ0302,,,,Atlantique,BJ03,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:303,303,1603:45:16:204:0,1603:45:16:204:1:3,1603:45:16:204:2:303,Kpomasse,BJ0303,,,,Atlantique,BJ03,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:304,304,1603:45:16:204:0,1603:45:16:204:1:3,1603:45:16:204:2:304,Ouidah,BJ0304,,,,Atlantique,BJ03,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:305,305,1603:45:16:204:0,1603:45:16:204:1:3,1603:45:16:204:2:305,So-ava,BJ0305,,,,Atlantique,BJ03,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:306,306,1603:45:16:204:0,1603:45:16:204:1:3,1603:45:16:204:2:306,Toffo,BJ0306,,,,Atlantique,BJ03,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:307,307,1603:45:16:204:0,1603:45:16:204:1:3,1603:45:16:204:2:307,Tori-bossito,BJ0307,,,,Atlantique,BJ03,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:308,308,1603:45:16:204:0,1603:45:16:204:1:3,1603:45:16:204:2:308,Ze,BJ0308,,,,Atlantique,BJ03,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:401,401,1603:45:16:204:0,1603:45:16:204:1:4,1603:45:16:204:2:401,Bembereke,BJ0401,,,,Borgou,BJ04,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:402,402,1603:45:16:204:0,1603:45:16:204:1:4,1603:45:16:204:2:402,Kalale,BJ0402,,,,Borgou,BJ04,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:403,403,1603:45:16:204:0,1603:45:16:204:1:4,1603:45:16:204:2:403,Ndali,BJ0403,,,,Borgou,BJ04,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:404,404,1603:45:16:204:0,1603:45:16:204:1:4,1603:45:16:204:2:404,Nikki,BJ0404,,,,Borgou,BJ04,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:405,405,1603:45:16:204:0,1603:45:16:204:1:4,1603:45:16:204:2:405,Parakou,BJ0405,,,,Borgou,BJ04,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:406,406,1603:45:16:204:0,1603:45:16:204:1:4,1603:45:16:204:2:406,Perere,BJ0406,,,,Borgou,BJ04,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:407,407,1603:45:16:204:0,1603:45:16:204:1:4,1603:45:16:204:2:407,Sinende,BJ0407,,,,Borgou,BJ04,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:408,408,1603:45:16:204:0,1603:45:16:204:1:4,1603:45:16:204:2:408,Tchaourou,BJ0408,,,,Borgou,BJ04,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:501,501,1603:45:16:204:0,1603:45:16:204:1:5,1603:45:16:204:2:501,Bante,BJ0501,,,,Collines,BJ05,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:502,502,1603:45:16:204:0,1603:45:16:204:1:5,1603:45:16:204:2:502,Dassa,BJ0502,,,,Collines,BJ05,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:503,503,1603:45:16:204:0,1603:45:16:204:1:5,1603:45:16:204:2:503,Glazoue,BJ0503,,,,Collines,BJ05,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:504,504,1603:45:16:204:0,1603:45:16:204:1:5,1603:45:16:204:2:504,Ouesse,BJ0504,,,,Collines,BJ05,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:505,505,1603:45:16:204:0,1603:45:16:204:1:5,1603:45:16:204:2:505,Savalou,BJ0505,,,,Collines,BJ05,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:506,506,1603:45:16:204:0,1603:45:16:204:1:5,1603:45:16:204:2:506,Save,BJ0506,,,,Collines,BJ05,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:601,601,1603:45:16:204:0,1603:45:16:204:1:6,1603:45:16:204:2:601,Aplahoue,BJ0601,,,,Couffo,BJ06,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:602,602,1603:45:16:204:0,1603:45:16:204:1:6,1603:45:16:204:2:602,Djakotome,BJ0602,,,,Couffo,BJ06,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:603,603,1603:45:16:204:0,1603:45:16:204:1:6,1603:45:16:204:2:603,Dogbo-tota,BJ0603,,,,Couffo,BJ06,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:604,604,1603:45:16:204:0,1603:45:16:204:1:6,1603:45:16:204:2:604,Klouekanme,BJ0604,,,,Couffo,BJ06,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:605,605,1603:45:16:204:0,1603:45:16:204:1:6,1603:45:16:204:2:605,Lalo,BJ0605,,,,Couffo,BJ06,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:606,606,1603:45:16:204:0,1603:45:16:204:1:6,1603:45:16:204:2:606,Toviklin,BJ0606,,,,Couffo,BJ06,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:701,701,1603:45:16:204:0,1603:45:16:204:1:7,1603:45:16:204:2:701,Bassila,BJ0701,,,,Donga,BJ07,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:702,702,1603:45:16:204:0,1603:45:16:204:1:7,1603:45:16:204:2:702,Djougou,BJ0702,,,,Donga,BJ07,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:703,703,1603:45:16:204:0,1603:45:16:204:1:7,1603:45:16:204:2:703,Kopargo,BJ0703,,,,Donga,BJ07,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:704,704,1603:45:16:204:0,1603:45:16:204:1:7,1603:45:16:204:2:704,Ouake,BJ0704,,,,Donga,BJ07,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:800,800,1603:45:16:204:0,1603:45:16:204:1:8,1603:45:16:204:2:800,Cotonou,BJ0800,,,,Littoral,BJ08,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:901,901,1603:45:16:204:0,1603:45:16:204:1:9,1603:45:16:204:2:901,Athieme,BJ0901,,,,Mono,BJ09,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:902,902,1603:45:16:204:0,1603:45:16:204:1:9,1603:45:16:204:2:902,Bopa,BJ0902,,,,Mono,BJ09,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:903,903,1603:45:16:204:0,1603:45:16:204:1:9,1603:45:16:204:2:903,Come,BJ0903,,,,Mono,BJ09,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:904,904,1603:45:16:204:0,1603:45:16:204:1:9,1603:45:16:204:2:904,Grand-popo,BJ0904,,,,Mono,BJ09,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:905,905,1603:45:16:204:0,1603:45:16:204:1:9,1603:45:16:204:2:905,Houeyogbe,BJ0905,,,,Mono,BJ09,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:906,906,1603:45:16:204:0,1603:45:16:204:1:9,1603:45:16:204:2:906,Lokossa,BJ0906,,,,Mono,BJ09,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:1001,1001,1603:45:16:204:0,1603:45:16:204:1:10,1603:45:16:204:2:1001,Adjara,BJ1001,,,,Oueme,BJ10,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:1002,1002,1603:45:16:204:0,1603:45:16:204:1:10,1603:45:16:204:2:1002,Adjohoun,BJ1002,,,,Oueme,BJ10,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:1003,1003,1603:45:16:204:0,1603:45:16:204:1:10,1603:45:16:204:2:1003,Aguegues,BJ1003,,,,Oueme,BJ10,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:1004,1004,1603:45:16:204:0,1603:45:16:204:1:10,1603:45:16:204:2:1004,Akpro-misserete,BJ1004,,,,Oueme,BJ10,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:1005,1005,1603:45:16:204:0,1603:45:16:204:1:10,1603:45:16:204:2:1005,Avrankou,BJ1005,,,,Oueme,BJ10,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:1006,1006,1603:45:16:204:0,1603:45:16:204:1:10,1603:45:16:204:2:1006,Bonou,BJ1006,,,,Oueme,BJ10,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:1007,1007,1603:45:16:204:0,1603:45:16:204:1:10,1603:45:16:204:2:1007,Dangbo,BJ1007,,,,Oueme,BJ10,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:1008,1008,1603:45:16:204:0,1603:45:16:204:1:10,1603:45:16:204:2:1008,Porto-novo,BJ1008,,,,Oueme,BJ10,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:1009,1009,1603:45:16:204:0,1603:45:16:204:1:10,1603:45:16:204:2:1009,Seme-kpodji,BJ1009,,,,Oueme,BJ10,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:1101,1101,1603:45:16:204:0,1603:45:16:204:1:11,1603:45:16:204:2:1101,Adja-ouere,BJ1101,,,,Plateau,BJ11,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:1102,1102,1603:45:16:204:0,1603:45:16:204:1:11,1603:45:16:204:2:1102,Ifangni,BJ1102,,,,Plateau,BJ11,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:1103,1103,1603:45:16:204:0,1603:45:16:204:1:11,1603:45:16:204:2:1103,Ketou,BJ1103,,,,Plateau,BJ11,Benin,BJ,2015-08-07,2021-12-31,
