#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:242:2:102,102,1603:45:16:242:0,1603:45:16:242:1:1,1603:45:16:242:2:102,Bua ,FJ102,,,,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:103,103,1603:45:16:242:0,1603:45:16:242:1:1,1603:45:16:242:2:103,Cakaudrove,FJ103,,,,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:107,107,1603:45:16:242:0,1603:45:16:242:1:1,1603:45:16:242:2:107,Macuata,FJ107,,,,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:201,201,1603:45:16:242:0,1603:45:16:242:1:2,1603:45:16:242:2:201,Ba,FJ201,,,,Western,FJ2,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:208,208,1603:45:16:242:0,1603:45:16:242:1:2,1603:45:16:242:2:208,Nadroga/Navosa,FJ208,,,,Western,FJ2,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:211,211,1603:45:16:242:0,1603:45:16:242:1:2,1603:45:16:242:2:211,Ra,FJ211,,,,Western,FJ2,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:304,304,1603:45:16:242:0,1603:45:16:242:1:3,1603:45:16:242:2:304,Kadavu,FJ304,,,,Eastern,FJ3,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:305,305,1603:45:16:242:0,1603:45:16:242:1:3,1603:45:16:242:2:305,Lau,FJ305,,,,Eastern,FJ3,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:306,306,1603:45:16:242:0,1603:45:16:242:1:3,1603:45:16:242:2:306,Lomaiviti,FJ306,,,,Eastern,FJ3,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:315,315,1603:45:16:242:0,1603:45:16:242:1:3,1603:45:16:242:2:315,Rotuma,FJ315,,,,Eastern,FJ3,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:409,409,1603:45:16:242:0,1603:45:16:242:1:4,1603:45:16:242:2:409,Naitasiri,FJ409,,,,Central,FJ4,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:410,410,1603:45:16:242:0,1603:45:16:242:1:4,1603:45:16:242:2:410,Namosi,FJ410,,,,Central,FJ4,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:412,412,1603:45:16:242:0,1603:45:16:242:1:4,1603:45:16:242:2:412,Rewa,FJ412,,,,Central,FJ4,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:413,413,1603:45:16:242:0,1603:45:16:242:1:4,1603:45:16:242:2:413,Serua,FJ413,,,,Central,FJ4,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:414,414,1603:45:16:242:0,1603:45:16:242:1:4,1603:45:16:242:2:414,Tailevu,FJ414,,,,Central,FJ4,Fiji Islands,FJ,2018-01-15,2021-09-24,
