#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:242:2:102,102,Bua ,FJ102,,,,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:103,103,Cakaudrove,FJ103,,,,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:107,107,Macuata,FJ107,,,,Northern,FJ1,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:201,201,Ba,FJ201,,,,Western,FJ2,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:208,208,Nadroga/Navosa,FJ208,,,,Western,FJ2,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:211,211,Ra,FJ211,,,,Western,FJ2,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:304,304,Kadavu,FJ304,,,,Eastern,FJ3,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:305,305,Lau,FJ305,,,,Eastern,FJ3,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:306,306,Lomaiviti,FJ306,,,,Eastern,FJ3,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:315,315,Rotuma,FJ315,,,,Eastern,FJ3,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:409,409,Naitasiri,FJ409,,,,Central,FJ4,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:410,410,Namosi,FJ410,,,,Central,FJ4,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:412,412,Rewa,FJ412,,,,Central,FJ4,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:413,413,Serua,FJ413,,,,Central,FJ4,Fiji Islands,FJ,2018-01-15,2021-09-24,
1603:45:16:242:2:414,414,Tailevu,FJ414,,,,Central,FJ4,Fiji Islands,FJ,2018-01-15,2021-09-24,
