#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:480:1:11,11,Port Louis,MU11,,,,Mauritius,MU,2020-08-09,2021-09-28,
1603:45:16:480:1:12,12,Pamplemousses,MU12,,,,Mauritius,MU,2020-08-09,2021-09-28,
1603:45:16:480:1:13,13,Riviere du Rempart,MU13,,,,Mauritius,MU,2020-08-09,2021-09-28,
1603:45:16:480:1:14,14,Flacq,MU14,,,,Mauritius,MU,2020-08-09,2021-09-28,
1603:45:16:480:1:15,15,Grand Port,MU15,,,,Mauritius,MU,2020-08-09,2021-09-28,
1603:45:16:480:1:16,16,Savanne,MU16,,,,Mauritius,MU,2020-08-09,2021-09-28,
1603:45:16:480:1:17,17,Plaine Wilhems,MU17,,,,Mauritius,MU,2020-08-09,2021-09-28,
1603:45:16:480:1:18,18,Moka,MU18,,,,Mauritius,MU,2020-08-09,2021-09-28,
1603:45:16:480:1:19,19,Black River,MU19,,,,Mauritius,MU,2020-08-09,2021-09-28,
1603:45:16:480:1:21,21,Rodriguez Island,MU21,,,,Mauritius,MU,2020-08-09,2021-09-28,
1603:45:16:480:1:22,22,North Islands,MU22,,,,Mauritius,MU,2020-08-09,2021-09-28,
1603:45:16:480:1:23,23,Saint Brandon Islands,MU23,,,,Mauritius,MU,2020-08-09,2021-09-28,
