#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:296:2:101,101,1603:45:16:296:0,1603:45:16:296:1:1,1603:45:16:296:2:101,Banaba,KI101,,,,Gilbert Islands,KI1,Kiribati,KI,2020-01-13,2020-01-13,
1603:45:16:296:2:102,102,1603:45:16:296:0,1603:45:16:296:1:1,1603:45:16:296:2:102,Makin,KI102,,,,Gilbert Islands,KI1,Kiribati,KI,2020-01-13,2020-01-13,
1603:45:16:296:2:103,103,1603:45:16:296:0,1603:45:16:296:1:1,1603:45:16:296:2:103,Butaritari,KI103,,,,Gilbert Islands,KI1,Kiribati,KI,2020-01-13,2020-01-13,
1603:45:16:296:2:104,104,1603:45:16:296:0,1603:45:16:296:1:1,1603:45:16:296:2:104,Marakei,KI104,,,,Gilbert Islands,KI1,Kiribati,KI,2020-01-13,2020-01-13,
1603:45:16:296:2:105,105,1603:45:16:296:0,1603:45:16:296:1:1,1603:45:16:296:2:105,Abaiang,KI105,,,,Gilbert Islands,KI1,Kiribati,KI,2020-01-13,2020-01-13,
1603:45:16:296:2:106,106,1603:45:16:296:0,1603:45:16:296:1:1,1603:45:16:296:2:106,North Tarawa,KI106,,,,Gilbert Islands,KI1,Kiribati,KI,2020-01-13,2020-01-13,
1603:45:16:296:2:107,107,1603:45:16:296:0,1603:45:16:296:1:1,1603:45:16:296:2:107,South Tarawa,KI107,,,,Gilbert Islands,KI1,Kiribati,KI,2020-01-13,2020-01-13,
1603:45:16:296:2:108,108,1603:45:16:296:0,1603:45:16:296:1:1,1603:45:16:296:2:108,Maiana,KI108,,,,Gilbert Islands,KI1,Kiribati,KI,2020-01-13,2020-01-13,
1603:45:16:296:2:109,109,1603:45:16:296:0,1603:45:16:296:1:1,1603:45:16:296:2:109,Abemama,KI109,,,,Gilbert Islands,KI1,Kiribati,KI,2020-01-13,2020-01-13,
1603:45:16:296:2:110,110,1603:45:16:296:0,1603:45:16:296:1:1,1603:45:16:296:2:110,Kuria,KI110,,,,Gilbert Islands,KI1,Kiribati,KI,2020-01-13,2020-01-13,
