#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:854:2:1300,1300,Kadiogo,BF1300,,,,Centre,BF13,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:4601,4601,Balé,BF4601,Bale,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:4602,4602,Banwa,BF4602,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:4603,4603,Kossi,BF4603,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:4604,4604,Mouhoun,BF4604,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:4605,4605,Nayala,BF4605,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:4606,4606,Sourou,BF4606,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:4701,4701,Comoé,BF4701,Comoe,,,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:4702,4702,Léraba,BF4702,Leraba,,,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:4801,4801,Boulgou,BF4801,,,,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:4802,4802,Koulpélogo,BF4802,Koulpelogo,,,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:4803,4803,Kourittenga,BF4803,,,,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:4901,4901,Bam,BF4901,,,,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:4902,4902,Namentenga,BF4902,,,,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:4903,4903,Sanmatenga,BF4903,,,,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5001,5001,Boulkiemdé,BF5001,Boulkiemde,,,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5002,5002,Sanguié,BF5002,Sanguie,,,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
