#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:800:2:1001,1001,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1001,Buikwe,UG1001,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1002,1002,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1002,Bukomansimbi,UG1002,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1003,1003,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1003,Butambala,UG1003,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1004,1004,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1004,Buvuma,UG1004,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1005,1005,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1005,Gomba,UG1005,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1006,1006,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1006,Kalangala,UG1006,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1007,1007,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1007,Kalungu,UG1007,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1008,1008,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1008,Kampala,UG1008,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1009,1009,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1009,Kassanda,UG1009,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1010,1010,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1010,Kayunga,UG1010,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1011,1011,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1011,Kiboga,UG1011,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1012,1012,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1012,Kyankwanzi,UG1012,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1013,1013,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1013,Kyotera,UG1013,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1014,1014,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1014,Luwero,UG1014,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1015,1015,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1015,Lwengo,UG1015,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1016,1016,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1016,Lyantonde,UG1016,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1017,1017,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1017,Masaka,UG1017,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1018,1018,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1018,Mityana,UG1018,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1019,1019,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1019,Mpigi,UG1019,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1020,1020,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1020,Mubende,UG1020,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1021,1021,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1021,Mukono,UG1021,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1022,1022,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1022,Nakaseke,UG1022,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1023,1023,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1023,Nakasongola,UG1023,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1024,1024,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1024,Rakai,UG1024,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1025,1025,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1025,Ssembabule,UG1025,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:1026,1026,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1026,Wakiso,UG1026,,,,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:2027,2027,1603:45:16:800:0,1603:45:16:800:1:2,1603:45:16:800:2:2027,Amuria,UG2027,,,,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:2028,2028,1603:45:16:800:0,1603:45:16:800:1:2,1603:45:16:800:2:2028,Budaka,UG2028,,,,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:2:2029,2029,1603:45:16:800:0,1603:45:16:800:1:2,1603:45:16:800:2:2029,Bududa,UG2029,,,,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-28,
