#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:558:1:5,5,1603:45:16:558:0,1603:45:16:558:1:5,Nueva Segovia,NI05,,,,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:10,10,1603:45:16:558:0,1603:45:16:558:1:10,Jinotega,NI10,,,,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:20,20,1603:45:16:558:0,1603:45:16:558:1:20,Madriz,NI20,,,,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:25,25,1603:45:16:558:0,1603:45:16:558:1:25,Estelí,NI25,Esteli,,,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:30,30,1603:45:16:558:0,1603:45:16:558:1:30,Chinandega,NI30,,,,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:35,35,1603:45:16:558:0,1603:45:16:558:1:35,León,NI35,Leon,,,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:40,40,1603:45:16:558:0,1603:45:16:558:1:40,Matagalpa,NI40,,,,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:50,50,1603:45:16:558:0,1603:45:16:558:1:50,Boaco,NI50,,,,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:55,55,1603:45:16:558:0,1603:45:16:558:1:55,Managua,NI55,,,,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:60,60,1603:45:16:558:0,1603:45:16:558:1:60,Masaya,NI60,,,,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:65,65,1603:45:16:558:0,1603:45:16:558:1:65,Chontales,NI65,,,,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:70,70,1603:45:16:558:0,1603:45:16:558:1:70,Granada,NI70,,,,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:75,75,1603:45:16:558:0,1603:45:16:558:1:75,Carazo,NI75,,,,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:80,80,1603:45:16:558:0,1603:45:16:558:1:80,Rivas,NI80,,,,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:85,85,1603:45:16:558:0,1603:45:16:558:1:85,Río San Juan,NI85,Rio San Juan,,,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:91,91,1603:45:16:558:0,1603:45:16:558:1:91,Región Autónoma Atlántico Norte,NI91,Region Autonoma Atlantico Norte,,,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:93,93,1603:45:16:558:0,1603:45:16:558:1:93,Región Autónoma Atlántico Sur,NI93,Region Autonoma Atlantico Sur,,,Nicaragua,NI,2017-10-11,2021-09-28,
