qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,spa-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:558:1:5,5,1603:45:16:558:0,1603:45:16:558:1:5,Nueva Segovia,NI05,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:10,10,1603:45:16:558:0,1603:45:16:558:1:10,Jinotega,NI10,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:20,20,1603:45:16:558:0,1603:45:16:558:1:20,Madriz,NI20,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:25,25,1603:45:16:558:0,1603:45:16:558:1:25,Estelí,NI25,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:30,30,1603:45:16:558:0,1603:45:16:558:1:30,Chinandega,NI30,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:35,35,1603:45:16:558:0,1603:45:16:558:1:35,León,NI35,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:40,40,1603:45:16:558:0,1603:45:16:558:1:40,Matagalpa,NI40,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:50,50,1603:45:16:558:0,1603:45:16:558:1:50,Boaco,NI50,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:55,55,1603:45:16:558:0,1603:45:16:558:1:55,Managua,NI55,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:60,60,1603:45:16:558:0,1603:45:16:558:1:60,Masaya,NI60,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:65,65,1603:45:16:558:0,1603:45:16:558:1:65,Chontales,NI65,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:70,70,1603:45:16:558:0,1603:45:16:558:1:70,Granada,NI70,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:75,75,1603:45:16:558:0,1603:45:16:558:1:75,Carazo,NI75,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:80,80,1603:45:16:558:0,1603:45:16:558:1:80,Rivas,NI80,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:85,85,1603:45:16:558:0,1603:45:16:558:1:85,Río San Juan,NI85,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:91,91,1603:45:16:558:0,1603:45:16:558:1:91,Región Autónoma Atlántico Norte,NI91,Nicaragua,NI,2017-10-11,2021-09-28,
1603:45:16:558:1:93,93,1603:45:16:558:0,1603:45:16:558:1:93,Región Autónoma Atlántico Sur,NI93,Nicaragua,NI,2017-10-11,2021-09-28,
