#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:474:1:1,1,1603:45:16:474:0,1603:45:16:474:1:1,Fort-de-France,MQ01,Fort-de-France,,,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:1:2,2,1603:45:16:474:0,1603:45:16:474:1:2,Le Marin,MQ02,Le Marin,,,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:1:3,3,1603:45:16:474:0,1603:45:16:474:1:3,Saint-Pierre,MQ03,Saint-Pierre,,,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:1:4,4,1603:45:16:474:0,1603:45:16:474:1:4,La Trinité,MQ04,La Trinite,,,Martinique,MQ,2017-09-09,2020-02-17,
