#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:204:1:1,1,1603:45:16:204:0,1603:45:16:204:1:1,Alibori,BJ01,,,,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:1:2,2,1603:45:16:204:0,1603:45:16:204:1:2,Atakora,BJ02,,,,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:1:3,3,1603:45:16:204:0,1603:45:16:204:1:3,Atlantique,BJ03,,,,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:1:4,4,1603:45:16:204:0,1603:45:16:204:1:4,Borgou,BJ04,,,,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:1:5,5,1603:45:16:204:0,1603:45:16:204:1:5,Collines,BJ05,,,,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:1:6,6,1603:45:16:204:0,1603:45:16:204:1:6,Couffo,BJ06,,,,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:1:7,7,1603:45:16:204:0,1603:45:16:204:1:7,Donga,BJ07,,,,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:1:8,8,1603:45:16:204:0,1603:45:16:204:1:8,Littoral,BJ08,,,,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:1:9,9,1603:45:16:204:0,1603:45:16:204:1:9,Mono,BJ09,,,,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:1:10,10,1603:45:16:204:0,1603:45:16:204:1:10,Oueme,BJ10,,,,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:1:11,11,1603:45:16:204:0,1603:45:16:204:1:11,Plateau,BJ11,,,,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:1:12,12,1603:45:16:204:0,1603:45:16:204:1:12,Zou,BJ12,,,,Benin,BJ,2015-08-07,2021-12-31,
