#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:854:3:130001,130001,1603:45:16:854:0,1603:45:16:854:1:13,1603:45:16:854:2:1300,1603:45:16:854:3:130001,Komki-Ipala,BF130001,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:130002,130002,1603:45:16:854:0,1603:45:16:854:1:13,1603:45:16:854:2:1300,1603:45:16:854:3:130002,Komsilga,BF130002,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:130003,130003,1603:45:16:854:0,1603:45:16:854:1:13,1603:45:16:854:2:1300,1603:45:16:854:3:130003,Koubri,BF130003,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:130004,130004,1603:45:16:854:0,1603:45:16:854:1:13,1603:45:16:854:2:1300,1603:45:16:854:3:130004,Ouagadougou,BF130004,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:130005,130005,1603:45:16:854:0,1603:45:16:854:1:13,1603:45:16:854:2:1300,1603:45:16:854:3:130005,Pabré,BF130005,Pabre,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:130006,130006,1603:45:16:854:0,1603:45:16:854:1:13,1603:45:16:854:2:1300,1603:45:16:854:3:130006,Saaba,BF130006,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:130007,130007,1603:45:16:854:0,1603:45:16:854:1:13,1603:45:16:854:2:1300,1603:45:16:854:3:130007,Tanguen-Dassouri,BF130007,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460101,460101,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4601,1603:45:16:854:3:460101,Bagassi,BF460101,,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460102,460102,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4601,1603:45:16:854:3:460102,Bana,BF460102,,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460103,460103,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4601,1603:45:16:854:3:460103,Boromo,BF460103,,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460104,460104,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4601,1603:45:16:854:3:460104,Fara,BF460104,,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460105,460105,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4601,1603:45:16:854:3:460105,Ouri,BF460105,,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460106,460106,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4601,1603:45:16:854:3:460106,Pâ,BF460106,Pa,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460107,460107,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4601,1603:45:16:854:3:460107,Pompoï,BF460107,Pompoi,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460108,460108,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4601,1603:45:16:854:3:460108,Poura,BF460108,,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
