#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:384:3:240101,240101,1603:45:16:384:0,1603:45:16:384:1:24,1603:45:16:384:2:2401,1603:45:16:384:3:240101,Adzopé,CI240101,Adzope,,,Adzopé,CI2401,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:240102,240102,1603:45:16:384:0,1603:45:16:384:1:24,1603:45:16:384:2:2401,1603:45:16:384:3:240102,Agou,CI240102,,,,Adzopé,CI2401,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:240103,240103,1603:45:16:384:0,1603:45:16:384:1:24,1603:45:16:384:2:2401,1603:45:16:384:3:240103,Annepé,CI240103,Annepe,,,Adzopé,CI2401,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:240104,240104,1603:45:16:384:0,1603:45:16:384:1:24,1603:45:16:384:2:2401,1603:45:16:384:3:240104,Assikoi,CI240104,,,,Adzopé,CI2401,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:240105,240105,1603:45:16:384:0,1603:45:16:384:1:24,1603:45:16:384:2:2401,1603:45:16:384:3:240105,Bécédi-Brignan,CI240105,Becedi-Brignan,,,Adzopé,CI2401,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:240106,240106,1603:45:16:384:0,1603:45:16:384:1:24,1603:45:16:384:2:2401,1603:45:16:384:3:240106,Yakassé-Mé,CI240106,Yakasse-Me,,,Adzopé,CI2401,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:240201,240201,1603:45:16:384:0,1603:45:16:384:1:24,1603:45:16:384:2:2402,1603:45:16:384:3:240201,Afféry,CI240201,Affery,,,Akoupé,CI2402,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:240202,240202,1603:45:16:384:0,1603:45:16:384:1:24,1603:45:16:384:2:2402,1603:45:16:384:3:240202,Akoupé,CI240202,Akoupe,,,Akoupé,CI2402,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:240203,240203,1603:45:16:384:0,1603:45:16:384:1:24,1603:45:16:384:2:2402,1603:45:16:384:3:240203,Bécouéfin,CI240203,Becouefin,,,Akoupé,CI2402,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:240301,240301,1603:45:16:384:0,1603:45:16:384:1:24,1603:45:16:384:2:2403,1603:45:16:384:3:240301,Aboisso-Comoé,CI240301,Aboisso-Comoe,,,Alépé,CI2403,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:240302,240302,1603:45:16:384:0,1603:45:16:384:1:24,1603:45:16:384:2:2403,1603:45:16:384:3:240302,Alépé,CI240302,Alepe,,,Alépé,CI2403,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:240303,240303,1603:45:16:384:0,1603:45:16:384:1:24,1603:45:16:384:2:2403,1603:45:16:384:3:240303,Allosso,CI240303,,,,Alépé,CI2403,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:240304,240304,1603:45:16:384:0,1603:45:16:384:1:24,1603:45:16:384:2:2403,1603:45:16:384:3:240304,Danguira,CI240304,,,,Alépé,CI2403,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:240305,240305,1603:45:16:384:0,1603:45:16:384:1:24,1603:45:16:384:2:2403,1603:45:16:384:3:240305,Oghlwapo,CI240305,,,,Alépé,CI2403,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:240401,240401,1603:45:16:384:0,1603:45:16:384:1:24,1603:45:16:384:2:2404,1603:45:16:384:3:240401,Yakasse-Attobrou,CI240401,,,,Yakassé-Attobrou,CI2404,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:240402,240402,1603:45:16:384:0,1603:45:16:384:1:24,1603:45:16:384:2:2404,1603:45:16:384:3:240402,Abongoua,CI240402,,,,Yakassé-Attobrou,CI2404,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:240403,240403,1603:45:16:384:0,1603:45:16:384:1:24,1603:45:16:384:2:2404,1603:45:16:384:3:240403,Biéby,CI240403,Bieby,,,Yakassé-Attobrou,CI2404,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:250101,250101,1603:45:16:384:0,1603:45:16:384:1:25,1603:45:16:384:2:2501,1603:45:16:384:3:250101,Arrah,CI250101,,,,Arrah,CI2501,Moronou,CI25,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:250102,250102,1603:45:16:384:0,1603:45:16:384:1:25,1603:45:16:384:2:2501,1603:45:16:384:3:250102,Kotobi,CI250102,,,,Arrah,CI2501,Moronou,CI25,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:250103,250103,1603:45:16:384:0,1603:45:16:384:1:25,1603:45:16:384:2:2501,1603:45:16:384:3:250103,Krégbé,CI250103,Kregbe,,,Arrah,CI2501,Moronou,CI25,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:250201,250201,1603:45:16:384:0,1603:45:16:384:1:25,1603:45:16:384:2:2502,1603:45:16:384:3:250201,Andé,CI250201,Ande,,,Bongouanou,CI2502,Moronou,CI25,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:250202,250202,1603:45:16:384:0,1603:45:16:384:1:25,1603:45:16:384:2:2502,1603:45:16:384:3:250202,Assié-Koumassi,CI250202,Assie-Koumassi,,,Bongouanou,CI2502,Moronou,CI25,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:250203,250203,1603:45:16:384:0,1603:45:16:384:1:25,1603:45:16:384:2:2502,1603:45:16:384:3:250203,Bongouanou,CI250203,,,,Bongouanou,CI2502,Moronou,CI25,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:250204,250204,1603:45:16:384:0,1603:45:16:384:1:25,1603:45:16:384:2:2502,1603:45:16:384:3:250204,N'Guessankro,CI250204,NGuessankro,,,Bongouanou,CI2502,Moronou,CI25,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:250301,250301,1603:45:16:384:0,1603:45:16:384:1:25,1603:45:16:384:2:2503,1603:45:16:384:3:250301,M'Batto,CI250301,MBatto,,,M'Batto,CI2503,Moronou,CI25,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:250302,250302,1603:45:16:384:0,1603:45:16:384:1:25,1603:45:16:384:2:2503,1603:45:16:384:3:250302,Anoumaba,CI250302,,,,M'Batto,CI2503,Moronou,CI25,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:250303,250303,1603:45:16:384:0,1603:45:16:384:1:25,1603:45:16:384:2:2503,1603:45:16:384:3:250303,Assahara,CI250303,,,,M'Batto,CI2503,Moronou,CI25,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:250304,250304,1603:45:16:384:0,1603:45:16:384:1:25,1603:45:16:384:2:2503,1603:45:16:384:3:250304,Tiémélékro,CI250304,Tiemelekro,,,M'Batto,CI2503,Moronou,CI25,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:260101,260101,1603:45:16:384:0,1603:45:16:384:1:26,1603:45:16:384:2:2601,1603:45:16:384:3:260101,Buyo,CI260101,,,,Buyo,CI2601,Nawa,CI26,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:260102,260102,1603:45:16:384:0,1603:45:16:384:1:26,1603:45:16:384:2:2601,1603:45:16:384:3:260102,Dapéoua,CI260102,Dapeoua,,,Buyo,CI2601,Nawa,CI26,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:260201,260201,1603:45:16:384:0,1603:45:16:384:1:26,1603:45:16:384:2:2602,1603:45:16:384:3:260201,Guéyo,CI260201,Gueyo,,,Guéyo,CI2602,Nawa,CI26,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:260202,260202,1603:45:16:384:0,1603:45:16:384:1:26,1603:45:16:384:2:2602,1603:45:16:384:3:260202,Dabouyo,CI260202,,,,Guéyo,CI2602,Nawa,CI26,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:260301,260301,1603:45:16:384:0,1603:45:16:384:1:26,1603:45:16:384:2:2603,1603:45:16:384:3:260301,Méagui,CI260301,Meagui,,,Méagui,CI2603,Nawa,CI26,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:260302,260302,1603:45:16:384:0,1603:45:16:384:1:26,1603:45:16:384:2:2603,1603:45:16:384:3:260302,Oupoyo,CI260302,,,,Méagui,CI2603,Nawa,CI26,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:260401,260401,1603:45:16:384:0,1603:45:16:384:1:26,1603:45:16:384:2:2604,1603:45:16:384:3:260401,Soubre,CI260401,,,,Soubré,CI2604,Nawa,CI26,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:260402,260402,1603:45:16:384:0,1603:45:16:384:1:26,1603:45:16:384:2:2604,1603:45:16:384:3:260402,Gnanmangui,CI260402,,,,Soubré,CI2604,Nawa,CI26,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:260403,260403,1603:45:16:384:0,1603:45:16:384:1:26,1603:45:16:384:2:2604,1603:45:16:384:3:260403,Grand-Zatry,CI260403,,,,Soubré,CI2604,Nawa,CI26,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:260404,260404,1603:45:16:384:0,1603:45:16:384:1:26,1603:45:16:384:2:2604,1603:45:16:384:3:260404,Liliyo,CI260404,,,,Soubré,CI2604,Nawa,CI26,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:260405,260405,1603:45:16:384:0,1603:45:16:384:1:26,1603:45:16:384:2:2604,1603:45:16:384:3:260405,Okrouyo,CI260405,,,,Soubré,CI2604,Nawa,CI26,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:270101,270101,1603:45:16:384:0,1603:45:16:384:1:27,1603:45:16:384:2:2701,1603:45:16:384:3:270101,Bengassou,CI270101,,,,Bocanda,CI2701,N'Zi,CI27,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:270102,270102,1603:45:16:384:0,1603:45:16:384:1:27,1603:45:16:384:2:2701,1603:45:16:384:3:270102,Bocanda,CI270102,,,,Bocanda,CI2701,N'Zi,CI27,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:270103,270103,1603:45:16:384:0,1603:45:16:384:1:27,1603:45:16:384:2:2701,1603:45:16:384:3:270103,Kouadioblékro,CI270103,Kouadioblekro,,,Bocanda,CI2701,N'Zi,CI27,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:270104,270104,1603:45:16:384:0,1603:45:16:384:1:27,1603:45:16:384:2:2701,1603:45:16:384:3:270104,N'Zécrezessou,CI270104,NZécrezessou,,,Bocanda,CI2701,N'Zi,CI27,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:270201,270201,1603:45:16:384:0,1603:45:16:384:1:27,1603:45:16:384:2:2702,1603:45:16:384:3:270201,Abigui,CI270201,,,,Dimbokro,CI2702,N'Zi,CI27,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:270202,270202,1603:45:16:384:0,1603:45:16:384:1:27,1603:45:16:384:2:2702,1603:45:16:384:3:270202,Diangokro,CI270202,,,,Dimbokro,CI2702,N'Zi,CI27,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:270203,270203,1603:45:16:384:0,1603:45:16:384:1:27,1603:45:16:384:2:2702,1603:45:16:384:3:270203,Dimbokro,CI270203,,,,Dimbokro,CI2702,N'Zi,CI27,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:270204,270204,1603:45:16:384:0,1603:45:16:384:1:27,1603:45:16:384:2:2702,1603:45:16:384:3:270204,Nofou,CI270204,,,,Dimbokro,CI2702,N'Zi,CI27,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:270301,270301,1603:45:16:384:0,1603:45:16:384:1:27,1603:45:16:384:2:2703,1603:45:16:384:3:270301,Kouassi-Kouassikro,CI270301,,,,Kouassi-Kouassikro,CI2703,N'Zi,CI27,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:270302,270302,1603:45:16:384:0,1603:45:16:384:1:27,1603:45:16:384:2:2703,1603:45:16:384:3:270302,Mékro,CI270302,Mekro,,,Kouassi-Kouassikro,CI2703,N'Zi,CI27,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280101,280101,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2801,1603:45:16:384:3:280101,Boron,CI280101,,,,Dikodougou,CI2801,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280102,280102,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2801,1603:45:16:384:3:280102,Dikodougou,CI280102,,,,Dikodougou,CI2801,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280103,280103,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2801,1603:45:16:384:3:280103,Guiembé,CI280103,Guiembe,,,Dikodougou,CI2801,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280201,280201,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2802,1603:45:16:384:3:280201,Korhogo,CI280201,,,,Korhogo,CI2802,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280202,280202,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2802,1603:45:16:384:3:280202,Dassoungboho,CI280202,,,,Korhogo,CI2802,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280203,280203,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2802,1603:45:16:384:3:280203,Kanoroba,CI280203,,,,Korhogo,CI2802,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280204,280204,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2802,1603:45:16:384:3:280204,Karakoro,CI280204,,,,Korhogo,CI2802,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280205,280205,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2802,1603:45:16:384:3:280205,Kiémou,CI280205,Kiemou,,,Korhogo,CI2802,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280206,280206,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2802,1603:45:16:384:3:280206,Kombolokoura,CI280206,,,,Korhogo,CI2802,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280207,280207,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2802,1603:45:16:384:3:280207,Komborodougou,CI280207,,,,Korhogo,CI2802,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280208,280208,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2802,1603:45:16:384:3:280208,Koni,CI280208,,,,Korhogo,CI2802,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280209,280209,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2802,1603:45:16:384:3:280209,Lataha,CI280209,,,,Korhogo,CI2802,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280210,280210,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2802,1603:45:16:384:3:280210,N'Ganon,CI280210,NGanon,,,Korhogo,CI2802,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280211,280211,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2802,1603:45:16:384:3:280211,Nafoun,CI280211,,,,Korhogo,CI2802,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280212,280212,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2802,1603:45:16:384:3:280212,Napiéléodougou,CI280212,Napieleodougou,,,Korhogo,CI2802,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280213,280213,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2802,1603:45:16:384:3:280213,Niofoin,CI280213,,,,Korhogo,CI2802,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280214,280214,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2802,1603:45:16:384:3:280214,Sirasso,CI280214,,,,Korhogo,CI2802,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280215,280215,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2802,1603:45:16:384:3:280215,Sohouo,CI280215,,,,Korhogo,CI2802,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280216,280216,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2802,1603:45:16:384:3:280216,Tioroniaradougou,CI280216,,,,Korhogo,CI2802,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280301,280301,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2803,1603:45:16:384:3:280301,M'Bengué,CI280301,MBengué,,,M'Bengué,CI2803,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280302,280302,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2803,1603:45:16:384:3:280302,Bougou,CI280302,,,,M'Bengué,CI2803,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280303,280303,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2803,1603:45:16:384:3:280303,Katiali,CI280303,,,,M'Bengué,CI2803,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280304,280304,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2803,1603:45:16:384:3:280304,Katogo,CI280304,,,,M'Bengué,CI2803,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280401,280401,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2804,1603:45:16:384:3:280401,Sinématiali,CI280401,Sinematiali,,,Sinématiali,CI2804,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280402,280402,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2804,1603:45:16:384:3:280402,Bahouakaha,CI280402,,,,Sinématiali,CI2804,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280403,280403,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2804,1603:45:16:384:3:280403,Kagbolodougou,CI280403,,,,Sinématiali,CI2804,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:280404,280404,1603:45:16:384:0,1603:45:16:384:1:28,1603:45:16:384:2:2804,1603:45:16:384:3:280404,Sédiogo,CI280404,Sediogo,,,Sinématiali,CI2804,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:290101,290101,1603:45:16:384:0,1603:45:16:384:1:29,1603:45:16:384:2:2901,1603:45:16:384:3:290101,San-Pédro,CI290101,San-Pedro,,,San Pédro,CI2901,San Pedro,CI29,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:290102,290102,1603:45:16:384:0,1603:45:16:384:1:29,1603:45:16:384:2:2901,1603:45:16:384:3:290102,Doba,CI290102,,,,San Pédro,CI2901,San Pedro,CI29,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:290103,290103,1603:45:16:384:0,1603:45:16:384:1:29,1603:45:16:384:2:2901,1603:45:16:384:3:290103,Dogbo,CI290103,,,,San Pédro,CI2901,San Pedro,CI29,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:290104,290104,1603:45:16:384:0,1603:45:16:384:1:29,1603:45:16:384:2:2901,1603:45:16:384:3:290104,Gabiadji,CI290104,,,,San Pédro,CI2901,San Pedro,CI29,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:290105,290105,1603:45:16:384:0,1603:45:16:384:1:29,1603:45:16:384:2:2901,1603:45:16:384:3:290105,Grand-Béréby,CI290105,Grand-Bereby,,,San Pédro,CI2901,San Pedro,CI29,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:290201,290201,1603:45:16:384:0,1603:45:16:384:1:29,1603:45:16:384:2:2902,1603:45:16:384:3:290201,Tabou,CI290201,,,,Tabou,CI2902,San Pedro,CI29,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:290202,290202,1603:45:16:384:0,1603:45:16:384:1:29,1603:45:16:384:2:2902,1603:45:16:384:3:290202,Dapo-Iboké,CI290202,Dapo-Iboke,,,Tabou,CI2902,San Pedro,CI29,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:290203,290203,1603:45:16:384:0,1603:45:16:384:1:29,1603:45:16:384:2:2902,1603:45:16:384:3:290203,Djamandioké,CI290203,Djamandioke,,,Tabou,CI2902,San Pedro,CI29,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:290204,290204,1603:45:16:384:0,1603:45:16:384:1:29,1603:45:16:384:2:2902,1603:45:16:384:3:290204,Djouroutou,CI290204,,,,Tabou,CI2902,San Pedro,CI29,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:290205,290205,1603:45:16:384:0,1603:45:16:384:1:29,1603:45:16:384:2:2902,1603:45:16:384:3:290205,Grabo,CI290205,,,,Tabou,CI2902,San Pedro,CI29,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:290206,290206,1603:45:16:384:0,1603:45:16:384:1:29,1603:45:16:384:2:2902,1603:45:16:384:3:290206,Olodio,CI290206,,,,Tabou,CI2902,San Pedro,CI29,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:300101,300101,1603:45:16:384:0,1603:45:16:384:1:30,1603:45:16:384:2:3001,1603:45:16:384:3:300101,Aboisso,CI300101,,,,Aboisso,CI3001,Sud-Comoe,CI30,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:300102,300102,1603:45:16:384:0,1603:45:16:384:1:30,1603:45:16:384:2:3001,1603:45:16:384:3:300102,Adaou,CI300102,,,,Aboisso,CI3001,Sud-Comoe,CI30,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:300103,300103,1603:45:16:384:0,1603:45:16:384:1:30,1603:45:16:384:2:3001,1603:45:16:384:3:300103,Adjouan,CI300103,,,,Aboisso,CI3001,Sud-Comoe,CI30,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:300104,300104,1603:45:16:384:0,1603:45:16:384:1:30,1603:45:16:384:2:3001,1603:45:16:384:3:300104,Ayamé,CI300104,Ayame,,,Aboisso,CI3001,Sud-Comoe,CI30,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:300105,300105,1603:45:16:384:0,1603:45:16:384:1:30,1603:45:16:384:2:3001,1603:45:16:384:3:300105,Bianouan,CI300105,,,,Aboisso,CI3001,Sud-Comoe,CI30,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:300106,300106,1603:45:16:384:0,1603:45:16:384:1:30,1603:45:16:384:2:3001,1603:45:16:384:3:300106,Kouakro,CI300106,,,,Aboisso,CI3001,Sud-Comoe,CI30,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:300107,300107,1603:45:16:384:0,1603:45:16:384:1:30,1603:45:16:384:2:3001,1603:45:16:384:3:300107,Maféré,CI300107,Mafere,,,Aboisso,CI3001,Sud-Comoe,CI30,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:300108,300108,1603:45:16:384:0,1603:45:16:384:1:30,1603:45:16:384:2:3001,1603:45:16:384:3:300108,Yaou,CI300108,,,,Aboisso,CI3001,Sud-Comoe,CI30,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:300201,300201,1603:45:16:384:0,1603:45:16:384:1:30,1603:45:16:384:2:3002,1603:45:16:384:3:300201,Adiake,CI300201,,,,Adiaké,CI3002,Sud-Comoe,CI30,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:300202,300202,1603:45:16:384:0,1603:45:16:384:1:30,1603:45:16:384:2:3002,1603:45:16:384:3:300202,Assinie-Mafia,CI300202,,,,Adiaké,CI3002,Sud-Comoe,CI30,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
