qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,fra-Latn-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:686:3:10101,10101,1603:45:16:686:0,1603:45:16:686:1:1,1603:45:16:686:2:101,1603:45:16:686:3:10101,Almadies,SN010101,Dakar,SN0101,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:10102,10102,1603:45:16:686:0,1603:45:16:686:1:1,1603:45:16:686:2:101,1603:45:16:686:3:10102,Grand Dakar,SN010102,Dakar,SN0101,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:10103,10103,1603:45:16:686:0,1603:45:16:686:1:1,1603:45:16:686:2:101,1603:45:16:686:3:10103,Parcelles Assainies,SN010103,Dakar,SN0101,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:10104,10104,1603:45:16:686:0,1603:45:16:686:1:1,1603:45:16:686:2:101,1603:45:16:686:3:10104,Plateau,SN010104,Dakar,SN0101,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:10201,10201,1603:45:16:686:0,1603:45:16:686:1:1,1603:45:16:686:2:102,1603:45:16:686:3:10201,Guediawaye,SN010201,Guediawaye,SN0102,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:10301,10301,1603:45:16:686:0,1603:45:16:686:1:1,1603:45:16:686:2:103,1603:45:16:686:3:10301,Niayes,SN010301,Pikine,SN0103,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:10302,10302,1603:45:16:686:0,1603:45:16:686:1:1,1603:45:16:686:2:103,1603:45:16:686:3:10302,Thiaroye,SN010302,Pikine,SN0103,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:10303,10303,1603:45:16:686:0,1603:45:16:686:1:1,1603:45:16:686:2:103,1603:45:16:686:3:10303,Pikine Dagoudane,SN010303,Pikine,SN0103,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:10401,10401,1603:45:16:686:0,1603:45:16:686:1:1,1603:45:16:686:2:104,1603:45:16:686:3:10401,Sangalkam,SN010401,Rufisque,SN0104,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:10402,10402,1603:45:16:686:0,1603:45:16:686:1:1,1603:45:16:686:2:104,1603:45:16:686:3:10402,Rufisque Bargny,SN010402,Rufisque,SN0104,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
