qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,spa-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:170:1:5,5,1603:45:16:170:0,1603:45:16:170:1:5,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:8,8,1603:45:16:170:0,1603:45:16:170:1:8,Atlántico,CO08,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:11,11,1603:45:16:170:0,1603:45:16:170:1:11,"Bogotá, D.C.",CO11,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:13,13,1603:45:16:170:0,1603:45:16:170:1:13,Bolívar,CO13,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:15,15,1603:45:16:170:0,1603:45:16:170:1:15,Boyacá,CO15,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:17,17,1603:45:16:170:0,1603:45:16:170:1:17,Caldas,CO17,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:18,18,1603:45:16:170:0,1603:45:16:170:1:18,Caquetá,CO18,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:19,19,1603:45:16:170:0,1603:45:16:170:1:19,Cauca,CO19,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:20,20,1603:45:16:170:0,1603:45:16:170:1:20,Cesar,CO20,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:23,23,1603:45:16:170:0,1603:45:16:170:1:23,Córdoba,CO23,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:25,25,1603:45:16:170:0,1603:45:16:170:1:25,Cundinamarca,CO25,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:27,27,1603:45:16:170:0,1603:45:16:170:1:27,Chocó,CO27,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:41,41,1603:45:16:170:0,1603:45:16:170:1:41,Huila,CO41,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:44,44,1603:45:16:170:0,1603:45:16:170:1:44,La Guajira,CO44,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:47,47,1603:45:16:170:0,1603:45:16:170:1:47,Magdalena,CO47,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:50,50,1603:45:16:170:0,1603:45:16:170:1:50,Meta,CO50,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:52,52,1603:45:16:170:0,1603:45:16:170:1:52,Nariño,CO52,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:54,54,1603:45:16:170:0,1603:45:16:170:1:54,Norte de Santander,CO54,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:63,63,1603:45:16:170:0,1603:45:16:170:1:63,Quindio,CO63,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:66,66,1603:45:16:170:0,1603:45:16:170:1:66,Risaralda,CO66,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:68,68,1603:45:16:170:0,1603:45:16:170:1:68,Santander,CO68,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:70,70,1603:45:16:170:0,1603:45:16:170:1:70,Sucre,CO70,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:73,73,1603:45:16:170:0,1603:45:16:170:1:73,Tolima,CO73,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:76,76,1603:45:16:170:0,1603:45:16:170:1:76,Valle del Cauca,CO76,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:81,81,1603:45:16:170:0,1603:45:16:170:1:81,Arauca,CO81,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:85,85,1603:45:16:170:0,1603:45:16:170:1:85,Casanare,CO85,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:86,86,1603:45:16:170:0,1603:45:16:170:1:86,Putumayo,CO86,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:88,88,1603:45:16:170:0,1603:45:16:170:1:88,"Archipiélago de San Andrés, Providencia y Santa Catalina",CO88,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:91,91,1603:45:16:170:0,1603:45:16:170:1:91,Amazonas,CO91,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:94,94,1603:45:16:170:0,1603:45:16:170:1:94,Guainía,CO94,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:95,95,1603:45:16:170:0,1603:45:16:170:1:95,Guaviare,CO95,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:97,97,1603:45:16:170:0,1603:45:16:170:1:97,Vaupés,CO97,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:99,99,1603:45:16:170:0,1603:45:16:170:1:99,Vichada,CO99,Colombia,CO,2020-01-01,2021-02-11,
