#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_spa+is_latn,#adm1+name+alt2+i_spa+is_latn,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:170:1:5,5,1603:45:16:170:0,1603:45:16:170:1:5,Antioquia,CO05,Antioquia,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:8,8,1603:45:16:170:0,1603:45:16:170:1:8,Atlántico,CO08,Atlantico,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:11,11,1603:45:16:170:0,1603:45:16:170:1:11,"Bogotá, D.C.",CO11,"Bogota, D.C.",,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:13,13,1603:45:16:170:0,1603:45:16:170:1:13,Bolívar,CO13,Bolivar,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:15,15,1603:45:16:170:0,1603:45:16:170:1:15,Boyacá,CO15,Boyaca,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:17,17,1603:45:16:170:0,1603:45:16:170:1:17,Caldas,CO17,Caldas,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:18,18,1603:45:16:170:0,1603:45:16:170:1:18,Caquetá,CO18,Caqueta,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:19,19,1603:45:16:170:0,1603:45:16:170:1:19,Cauca,CO19,Cauca,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:20,20,1603:45:16:170:0,1603:45:16:170:1:20,Cesar,CO20,Cesar,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:23,23,1603:45:16:170:0,1603:45:16:170:1:23,Córdoba,CO23,Cordoba,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:25,25,1603:45:16:170:0,1603:45:16:170:1:25,Cundinamarca,CO25,Cundinamarca,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:27,27,1603:45:16:170:0,1603:45:16:170:1:27,Chocó,CO27,Choco,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:41,41,1603:45:16:170:0,1603:45:16:170:1:41,Huila,CO41,Huila,,,Colombia,CO,2020-01-01,2021-02-11,
