#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:466:1:1,1,1603:45:16:466:0,1603:45:16:466:1:1,Kayes,ML01,,,,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:2,2,1603:45:16:466:0,1603:45:16:466:1:2,Koulikoro,ML02,,,,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:3,3,1603:45:16:466:0,1603:45:16:466:1:3,Sikasso,ML03,,,,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:4,4,1603:45:16:466:0,1603:45:16:466:1:4,Ségou,ML04,Segou,,,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:5,5,1603:45:16:466:0,1603:45:16:466:1:5,Mopti,ML05,,,,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:6,6,1603:45:16:466:0,1603:45:16:466:1:6,Tombouctou,ML06,,,,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:7,7,1603:45:16:466:0,1603:45:16:466:1:7,Gao,ML07,,,,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:8,8,1603:45:16:466:0,1603:45:16:466:1:8,Kidal,ML08,,,,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:9,9,1603:45:16:466:0,1603:45:16:466:1:9,Bamako,ML09,,,,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:10,10,1603:45:16:466:0,1603:45:16:466:1:10,Menaka,ML10,,,,Mali (le),ML,2015-06-01,2021-12-23,
