qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,fra-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:466:1:1,1,1603:45:16:466:0,1603:45:16:466:1:1,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:2,2,1603:45:16:466:0,1603:45:16:466:1:2,Koulikoro,ML02,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:3,3,1603:45:16:466:0,1603:45:16:466:1:3,Sikasso,ML03,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:4,4,1603:45:16:466:0,1603:45:16:466:1:4,Ségou,ML04,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:5,5,1603:45:16:466:0,1603:45:16:466:1:5,Mopti,ML05,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:6,6,1603:45:16:466:0,1603:45:16:466:1:6,Tombouctou,ML06,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:7,7,1603:45:16:466:0,1603:45:16:466:1:7,Gao,ML07,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:8,8,1603:45:16:466:0,1603:45:16:466:1:8,Kidal,ML08,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:9,9,1603:45:16:466:0,1603:45:16:466:1:9,Bamako,ML09,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:10,10,1603:45:16:466:0,1603:45:16:466:1:10,Menaka,ML10,Mali (le),ML,2015-06-01,2021-12-23,
