#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_fra+is_latn,#adm1+name+alt2+i_fra+is_latn,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:466:1:1,1,Kayes,ML01,,,,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:2,2,Koulikoro,ML02,,,,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:3,3,Sikasso,ML03,,,,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:4,4,Ségou,ML04,Segou,,,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:5,5,Mopti,ML05,,,,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:6,6,Tombouctou,ML06,,,,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:7,7,Gao,ML07,,,,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:8,8,Kidal,ML08,,,,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:9,9,Bamako,ML09,,,,Mali (le),ML,2015-06-01,2021-12-23,
1603:45:16:466:1:10,10,Menaka,ML10,,,,Mali (le),ML,2015-06-01,2021-12-23,
