qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,eng-Latn-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:116:3:10201,10201,1603:45:16:116:0,1603:45:16:116:1:1,1603:45:16:116:2:102,1603:45:16:116:3:10201,Banteay Neang,KH010201,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:3:10202,10202,1603:45:16:116:0,1603:45:16:116:1:1,1603:45:16:116:2:102,1603:45:16:116:3:10202,Bat Trang,KH010202,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:3:10203,10203,1603:45:16:116:0,1603:45:16:116:1:1,1603:45:16:116:2:102,1603:45:16:116:3:10203,Chamnaom,KH010203,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:3:10204,10204,1603:45:16:116:0,1603:45:16:116:1:1,1603:45:16:116:2:102,1603:45:16:116:3:10204,Kouk Ballangk,KH010204,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:3:10205,10205,1603:45:16:116:0,1603:45:16:116:1:1,1603:45:16:116:2:102,1603:45:16:116:3:10205,Koy Maeng,KH010205,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:3:10206,10206,1603:45:16:116:0,1603:45:16:116:1:1,1603:45:16:116:2:102,1603:45:16:116:3:10206,Ou Prasat,KH010206,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:3:10207,10207,1603:45:16:116:0,1603:45:16:116:1:1,1603:45:16:116:2:102,1603:45:16:116:3:10207,Phnum Touch,KH010207,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:3:10208,10208,1603:45:16:116:0,1603:45:16:116:1:1,1603:45:16:116:2:102,1603:45:16:116:3:10208,Rohat Tuek,KH010208,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:3:10209,10209,1603:45:16:116:0,1603:45:16:116:1:1,1603:45:16:116:2:102,1603:45:16:116:3:10209,Ruessei Kraok,KH010209,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:3:10210,10210,1603:45:16:116:0,1603:45:16:116:1:1,1603:45:16:116:2:102,1603:45:16:116:3:10210,Sambuor,KH010210,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:3:10211,10211,1603:45:16:116:0,1603:45:16:116:1:1,1603:45:16:116:2:102,1603:45:16:116:3:10211,Soea,KH010211,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:3:10212,10212,1603:45:16:116:0,1603:45:16:116:1:1,1603:45:16:116:2:102,1603:45:16:116:3:10212,Srah Reang,KH010212,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:3:10213,10213,1603:45:16:116:0,1603:45:16:116:1:1,1603:45:16:116:2:102,1603:45:16:116:3:10213,Ta Lam,KH010213,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,2014-10-14,2018-10-16,
