#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:152:3:1101,1101,1603:45:16:152:0,1603:45:16:152:1:1,1603:45:16:152:2:11,1603:45:16:152:3:1101,Iquique,CL01101,,,,Iquique,CL011,Región de Tarapacá,CL01,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:1107,1107,1603:45:16:152:0,1603:45:16:152:1:1,1603:45:16:152:2:11,1603:45:16:152:3:1107,Alto Hospicio,CL01107,,,,Iquique,CL011,Región de Tarapacá,CL01,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:1401,1401,1603:45:16:152:0,1603:45:16:152:1:1,1603:45:16:152:2:14,1603:45:16:152:3:1401,Tocopilla,CL01401,,,,Tamarugal,CL014,Región de Tarapacá,CL01,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:1402,1402,1603:45:16:152:0,1603:45:16:152:1:1,1603:45:16:152:2:14,1603:45:16:152:3:1402,Camiña,CL01402,Camina,,,Tamarugal,CL014,Región de Tarapacá,CL01,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:1403,1403,1603:45:16:152:0,1603:45:16:152:1:1,1603:45:16:152:2:14,1603:45:16:152:3:1403,Colchane,CL01403,,,,Tamarugal,CL014,Región de Tarapacá,CL01,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:1404,1404,1603:45:16:152:0,1603:45:16:152:1:1,1603:45:16:152:2:14,1603:45:16:152:3:1404,Huara,CL01404,,,,Tamarugal,CL014,Región de Tarapacá,CL01,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:1405,1405,1603:45:16:152:0,1603:45:16:152:1:1,1603:45:16:152:2:14,1603:45:16:152:3:1405,Pica,CL01405,,,,Tamarugal,CL014,Región de Tarapacá,CL01,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:2101,2101,1603:45:16:152:0,1603:45:16:152:1:2,1603:45:16:152:2:21,1603:45:16:152:3:2101,Antofagasta,CL02101,,,,Antofagasta,CL021,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:2102,2102,1603:45:16:152:0,1603:45:16:152:1:2,1603:45:16:152:2:21,1603:45:16:152:3:2102,Mejillones,CL02102,,,,Antofagasta,CL021,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:2103,2103,1603:45:16:152:0,1603:45:16:152:1:2,1603:45:16:152:2:21,1603:45:16:152:3:2103,Sierra Gorda,CL02103,,,,Antofagasta,CL021,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:2104,2104,1603:45:16:152:0,1603:45:16:152:1:2,1603:45:16:152:2:21,1603:45:16:152:3:2104,Taltal,CL02104,,,,Antofagasta,CL021,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:2201,2201,1603:45:16:152:0,1603:45:16:152:1:2,1603:45:16:152:2:22,1603:45:16:152:3:2201,Calama,CL02201,,,,El Loa,CL022,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:2202,2202,1603:45:16:152:0,1603:45:16:152:1:2,1603:45:16:152:2:22,1603:45:16:152:3:2202,Ollagüe,CL02202,Ollague,,,El Loa,CL022,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:2203,2203,1603:45:16:152:0,1603:45:16:152:1:2,1603:45:16:152:2:22,1603:45:16:152:3:2203,San Pedro de Atacama,CL02203,,,,El Loa,CL022,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:2301,2301,1603:45:16:152:0,1603:45:16:152:1:2,1603:45:16:152:2:23,1603:45:16:152:3:2301,Tocopilla,CL02301,,,,Tocopilla,CL023,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:2302,2302,1603:45:16:152:0,1603:45:16:152:1:2,1603:45:16:152:2:23,1603:45:16:152:3:2302,María Elena,CL02302,Maria Elena,,,Tocopilla,CL023,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:3101,3101,1603:45:16:152:0,1603:45:16:152:1:3,1603:45:16:152:2:31,1603:45:16:152:3:3101,Copiapó,CL03101,Copiapo,,,Copiapó,CL031,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:3102,3102,1603:45:16:152:0,1603:45:16:152:1:3,1603:45:16:152:2:31,1603:45:16:152:3:3102,Caldera,CL03102,,,,Copiapó,CL031,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:3103,3103,1603:45:16:152:0,1603:45:16:152:1:3,1603:45:16:152:2:31,1603:45:16:152:3:3103,Tierra Amarilla,CL03103,,,,Copiapó,CL031,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:3201,3201,1603:45:16:152:0,1603:45:16:152:1:3,1603:45:16:152:2:32,1603:45:16:152:3:3201,Chañaral,CL03201,Chanaral,,,Chañaral,CL032,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:3202,3202,1603:45:16:152:0,1603:45:16:152:1:3,1603:45:16:152:2:32,1603:45:16:152:3:3202,Diego de Almagro,CL03202,,,,Chañaral,CL032,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:3301,3301,1603:45:16:152:0,1603:45:16:152:1:3,1603:45:16:152:2:33,1603:45:16:152:3:3301,Vallenar,CL03301,,,,Huasco,CL033,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:3302,3302,1603:45:16:152:0,1603:45:16:152:1:3,1603:45:16:152:2:33,1603:45:16:152:3:3302,Alto del Carmen,CL03302,,,,Huasco,CL033,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:3303,3303,1603:45:16:152:0,1603:45:16:152:1:3,1603:45:16:152:2:33,1603:45:16:152:3:3303,Freirina,CL03303,,,,Huasco,CL033,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:3304,3304,1603:45:16:152:0,1603:45:16:152:1:3,1603:45:16:152:2:33,1603:45:16:152:3:3304,Huasco,CL03304,,,,Huasco,CL033,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:4101,4101,1603:45:16:152:0,1603:45:16:152:1:4,1603:45:16:152:2:41,1603:45:16:152:3:4101,La Serena,CL04101,,,,Elqui,CL041,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:4102,4102,1603:45:16:152:0,1603:45:16:152:1:4,1603:45:16:152:2:41,1603:45:16:152:3:4102,Coquimbo,CL04102,,,,Elqui,CL041,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:4103,4103,1603:45:16:152:0,1603:45:16:152:1:4,1603:45:16:152:2:41,1603:45:16:152:3:4103,Andacollo,CL04103,,,,Elqui,CL041,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:4104,4104,1603:45:16:152:0,1603:45:16:152:1:4,1603:45:16:152:2:41,1603:45:16:152:3:4104,La Higuera,CL04104,,,,Elqui,CL041,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:4105,4105,1603:45:16:152:0,1603:45:16:152:1:4,1603:45:16:152:2:41,1603:45:16:152:3:4105,Paihuano,CL04105,,,,Elqui,CL041,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:4106,4106,1603:45:16:152:0,1603:45:16:152:1:4,1603:45:16:152:2:41,1603:45:16:152:3:4106,Vicuña,CL04106,Vicuna,,,Elqui,CL041,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:4201,4201,1603:45:16:152:0,1603:45:16:152:1:4,1603:45:16:152:2:42,1603:45:16:152:3:4201,Illapel,CL04201,,,,Choapa,CL042,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:4202,4202,1603:45:16:152:0,1603:45:16:152:1:4,1603:45:16:152:2:42,1603:45:16:152:3:4202,Canela,CL04202,,,,Choapa,CL042,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:4203,4203,1603:45:16:152:0,1603:45:16:152:1:4,1603:45:16:152:2:42,1603:45:16:152:3:4203,Los Vilos,CL04203,,,,Choapa,CL042,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:4204,4204,1603:45:16:152:0,1603:45:16:152:1:4,1603:45:16:152:2:42,1603:45:16:152:3:4204,Salamanca,CL04204,,,,Choapa,CL042,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:4301,4301,1603:45:16:152:0,1603:45:16:152:1:4,1603:45:16:152:2:43,1603:45:16:152:3:4301,Ovalle,CL04301,Ovalle,,,Limarí,CL043,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:4302,4302,1603:45:16:152:0,1603:45:16:152:1:4,1603:45:16:152:2:43,1603:45:16:152:3:4302,Combarbalá,CL04302,Combarbala,,,Limarí,CL043,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:4303,4303,1603:45:16:152:0,1603:45:16:152:1:4,1603:45:16:152:2:43,1603:45:16:152:3:4303,Monte Patria,CL04303,,,,Limarí,CL043,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:4304,4304,1603:45:16:152:0,1603:45:16:152:1:4,1603:45:16:152:2:43,1603:45:16:152:3:4304,Punitaqui,CL04304,,,,Limarí,CL043,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:4305,4305,1603:45:16:152:0,1603:45:16:152:1:4,1603:45:16:152:2:43,1603:45:16:152:3:4305,Río Hurtado,CL04305,Rio Hurtado,,,Limarí,CL043,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5101,5101,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:51,1603:45:16:152:3:5101,Valparaíso,CL05101,Valparaiso,,,Valparaíso,CL051,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5102,5102,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:51,1603:45:16:152:3:5102,Casablanca,CL05102,,,,Valparaíso,CL051,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5103,5103,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:51,1603:45:16:152:3:5103,Concón,CL05103,Concon,,,Valparaíso,CL051,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5104,5104,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:51,1603:45:16:152:3:5104,Juan Fernández,CL05104,Juan Fernandez,,,Valparaíso,CL051,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5105,5105,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:51,1603:45:16:152:3:5105,Puchuncaví,CL05105,Puchuncavi,,,Valparaíso,CL051,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5107,5107,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:51,1603:45:16:152:3:5107,Quintero,CL05107,,,,Valparaíso,CL051,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5109,5109,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:51,1603:45:16:152:3:5109,Viña del Mar,CL05109,Vina del Mar,,,Valparaíso,CL051,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5201,5201,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:52,1603:45:16:152:3:5201,Isla de Pascua,CL05201,,,,Isla de Pascua,CL052,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5301,5301,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:53,1603:45:16:152:3:5301,Los Andes,CL05301,,,,Los Andes,CL053,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5302,5302,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:53,1603:45:16:152:3:5302,Calle Larga,CL05302,,,,Los Andes,CL053,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5303,5303,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:53,1603:45:16:152:3:5303,Rinconada,CL05303,,,,Los Andes,CL053,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5304,5304,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:53,1603:45:16:152:3:5304,San Esteban,CL05304,,,,Los Andes,CL053,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5401,5401,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:54,1603:45:16:152:3:5401,La Ligua,CL05401,,,,Petorca,CL054,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5402,5402,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:54,1603:45:16:152:3:5402,Cabildo,CL05402,,,,Petorca,CL054,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5403,5403,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:54,1603:45:16:152:3:5403,Papudo,CL05403,,,,Petorca,CL054,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5404,5404,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:54,1603:45:16:152:3:5404,Petorca,CL05404,,,,Petorca,CL054,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
