#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:434:2:211,211,1603:45:16:434:0,1603:45:16:434:1:2,1603:45:16:434:2:211,Tripoli,طرابلس,LY0211,,,,,,West,الغرب,LY02,Libya,ليبيا,LY,2018-11-13,2021-12-31,
1603:45:16:434:2:212,212,1603:45:16:434:0,1603:45:16:434:1:2,1603:45:16:434:2:212,Aljfara,الجفارة,LY0212,,,,,,West,الغرب,LY02,Libya,ليبيا,LY,2018-11-13,2021-12-31,
1603:45:16:434:2:213,213,1603:45:16:434:0,1603:45:16:434:1:2,1603:45:16:434:2:213,Azzawya,الزاوية,LY0213,,,,,,West,الغرب,LY02,Libya,ليبيا,LY,2018-11-13,2021-12-31,
1603:45:16:434:2:214,214,1603:45:16:434:0,1603:45:16:434:1:2,1603:45:16:434:2:214,Misrata,مصراته,LY0214,,,,,,West,الغرب,LY02,Libya,ليبيا,LY,2018-11-13,2021-12-31,
1603:45:16:434:2:215,215,1603:45:16:434:0,1603:45:16:434:1:2,1603:45:16:434:2:215,Zwara,زوارة,LY0215,,,,,,West,الغرب,LY02,Libya,ليبيا,LY,2018-11-13,2021-12-31,
1603:45:16:434:2:216,216,1603:45:16:434:0,1603:45:16:434:1:2,1603:45:16:434:2:216,Al Jabal Al Gharbi,الجبل الغربي,LY0216,,,,,,West,الغرب,LY02,Libya,ليبيا,LY,2018-11-13,2021-12-31,
1603:45:16:434:2:317,317,1603:45:16:434:0,1603:45:16:434:1:3,1603:45:16:434:2:317,Aljufra,الجفرة,LY0317,,,,,,South,الجنوب,LY03,Libya,ليبيا,LY,2018-11-13,2021-12-31,
1603:45:16:434:2:318,318,1603:45:16:434:0,1603:45:16:434:1:3,1603:45:16:434:2:318,Wadi Ashshati,وادى الشاطئ,LY0318,,,,,,South,الجنوب,LY03,Libya,ليبيا,LY,2018-11-13,2021-12-31,
1603:45:16:434:2:319,319,1603:45:16:434:0,1603:45:16:434:1:3,1603:45:16:434:2:319,Sebha,سبها,LY0319,,,,,,South,الجنوب,LY03,Libya,ليبيا,LY,2018-11-13,2021-12-31,
1603:45:16:434:2:320,320,1603:45:16:434:0,1603:45:16:434:1:3,1603:45:16:434:2:320,Ubari,اوباري,LY0320,,,,,,South,الجنوب,LY03,Libya,ليبيا,LY,2018-11-13,2021-12-31,
1603:45:16:434:2:321,321,1603:45:16:434:0,1603:45:16:434:1:3,1603:45:16:434:2:321,Ghat,غات,LY0321,,,,,,South,الجنوب,LY03,Libya,ليبيا,LY,2018-11-13,2021-12-31,
1603:45:16:434:2:322,322,1603:45:16:434:0,1603:45:16:434:1:3,1603:45:16:434:2:322,Murzuq,مرزق,LY0322,,,,,,South,الجنوب,LY03,Libya,ليبيا,LY,2018-11-13,2021-12-31,
