#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_eng+is_latn,#adm1+name+i_fra+is_latn,#adm1+name+i_kin+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_fra+is_latn,#adm1+name+alt2+i_fra+is_latn,#adm1+name+alt1+i_kin+is_latn,#adm1+name+alt2+i_kin+is_latn,#country+name+i_eng+is_latn,#country+name+i_fra+is_latn,#country+name+i_kin+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:646:1:1,1,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,,,,,,,,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:1:2,2,Southern Province,Province du Sud,Amajyepfo,RW2,,,,,,,,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:1:3,3,Western Province,Province de l'Ouest,Iburengerazuba,RW3,,,,,,,,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:1:4,4,Northern Province,Province du Nord,Amajyaruguru,RW4,,,,,,,,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:1:5,5,Eastern Province,Province de l'Est,Iburasirazuba,RW5,,,,,,,,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
